classifier_variant,target_act,arm,predicted_act,count,share
char_svm,probing,adaptive_router,focus,113,0.4708333333333333
char_svm,probing,adaptive_router,generic,14,0.058333333333333334
char_svm,probing,adaptive_router,probing,80,0.3333333333333333
char_svm,probing,adaptive_router,telling,33,0.1375
char_svm,probing,generic,focus,99,0.4125
char_svm,probing,generic,generic,10,0.041666666666666664
char_svm,probing,generic,probing,62,0.25833333333333336
char_svm,probing,generic,telling,69,0.2875
char_svm,probing,oracle_action,focus,108,0.45
char_svm,probing,oracle_action,generic,13,0.05416666666666667
char_svm,probing,oracle_action,probing,109,0.45416666666666666
char_svm,probing,oracle_action,telling,10,0.041666666666666664
char_svm,probing,uniform_scaffold,focus,104,0.43333333333333335
char_svm,probing,uniform_scaffold,generic,19,0.07916666666666666
char_svm,probing,uniform_scaffold,probing,100,0.4166666666666667
char_svm,probing,uniform_scaffold,telling,17,0.07083333333333333
char_svm,telling,adaptive_router,focus,99,0.4125
char_svm,telling,adaptive_router,generic,19,0.07916666666666666
char_svm,telling,adaptive_router,probing,59,0.24583333333333332
char_svm,telling,adaptive_router,telling,63,0.2625
char_svm,telling,generic,focus,110,0.4583333333333333
char_svm,telling,generic,generic,18,0.075
char_svm,telling,generic,probing,22,0.09166666666666666
char_svm,telling,generic,telling,90,0.375
char_svm,telling,oracle_action,focus,39,0.1625
char_svm,telling,oracle_action,generic,6,0.025
char_svm,telling,oracle_action,probing,10,0.041666666666666664
char_svm,telling,oracle_action,telling,185,0.7708333333333334
char_svm,telling,uniform_scaffold,focus,115,0.4791666666666667
char_svm,telling,uniform_scaffold,generic,27,0.1125
char_svm,telling,uniform_scaffold,probing,57,0.2375
char_svm,telling,uniform_scaffold,telling,41,0.17083333333333334
hybrid_svm,probing,adaptive_router,focus,114,0.475
hybrid_svm,probing,adaptive_router,generic,12,0.05
hybrid_svm,probing,adaptive_router,probing,82,0.3416666666666667
hybrid_svm,probing,adaptive_router,telling,32,0.13333333333333333
hybrid_svm,probing,generic,focus,93,0.3875
hybrid_svm,probing,generic,generic,11,0.04583333333333333
hybrid_svm,probing,generic,probing,64,0.26666666666666666
hybrid_svm,probing,generic,telling,72,0.3
hybrid_svm,probing,oracle_action,focus,108,0.45
hybrid_svm,probing,oracle_action,generic,15,0.0625
hybrid_svm,probing,oracle_action,probing,103,0.42916666666666664
hybrid_svm,probing,oracle_action,telling,14,0.058333333333333334
hybrid_svm,probing,uniform_scaffold,focus,114,0.475
hybrid_svm,probing,uniform_scaffold,generic,13,0.05416666666666667
hybrid_svm,probing,uniform_scaffold,probing,101,0.42083333333333334
hybrid_svm,probing,uniform_scaffold,telling,12,0.05
hybrid_svm,telling,adaptive_router,focus,104,0.43333333333333335
hybrid_svm,telling,adaptive_router,generic,15,0.0625
hybrid_svm,telling,adaptive_router,probing,58,0.24166666666666667
hybrid_svm,telling,adaptive_router,telling,63,0.2625
hybrid_svm,telling,generic,focus,102,0.425
hybrid_svm,telling,generic,generic,18,0.075
hybrid_svm,telling,generic,probing,29,0.12083333333333333
hybrid_svm,telling,generic,telling,91,0.37916666666666665
hybrid_svm,telling,oracle_action,focus,40,0.16666666666666666
hybrid_svm,telling,oracle_action,generic,3,0.0125
hybrid_svm,telling,oracle_action,probing,11,0.04583333333333333
hybrid_svm,telling,oracle_action,telling,186,0.775
hybrid_svm,telling,uniform_scaffold,focus,118,0.49166666666666664
hybrid_svm,telling,uniform_scaffold,generic,22,0.09166666666666666
hybrid_svm,telling,uniform_scaffold,probing,72,0.3
hybrid_svm,telling,uniform_scaffold,telling,28,0.11666666666666667
word_svm,probing,adaptive_router,focus,119,0.49583333333333335
word_svm,probing,adaptive_router,generic,6,0.025
word_svm,probing,adaptive_router,probing,87,0.3625
word_svm,probing,adaptive_router,telling,28,0.11666666666666667
word_svm,probing,generic,focus,101,0.42083333333333334
word_svm,probing,generic,generic,9,0.0375
word_svm,probing,generic,probing,63,0.2625
word_svm,probing,generic,telling,67,0.2791666666666667
word_svm,probing,oracle_action,focus,107,0.44583333333333336
word_svm,probing,oracle_action,generic,14,0.058333333333333334
word_svm,probing,oracle_action,probing,105,0.4375
word_svm,probing,oracle_action,telling,14,0.058333333333333334
word_svm,probing,uniform_scaffold,focus,118,0.49166666666666664
word_svm,probing,uniform_scaffold,generic,12,0.05
word_svm,probing,uniform_scaffold,probing,99,0.4125
word_svm,probing,uniform_scaffold,telling,11,0.04583333333333333
word_svm,telling,adaptive_router,focus,108,0.45
word_svm,telling,adaptive_router,generic,17,0.07083333333333333
word_svm,telling,adaptive_router,probing,54,0.225
word_svm,telling,adaptive_router,telling,61,0.25416666666666665
word_svm,telling,generic,focus,103,0.42916666666666664
word_svm,telling,generic,generic,15,0.0625
word_svm,telling,generic,probing,38,0.15833333333333333
word_svm,telling,generic,telling,84,0.35
word_svm,telling,oracle_action,focus,53,0.22083333333333333
word_svm,telling,oracle_action,generic,3,0.0125
word_svm,telling,oracle_action,probing,16,0.06666666666666667
word_svm,telling,oracle_action,telling,168,0.7
word_svm,telling,uniform_scaffold,focus,129,0.5375
word_svm,telling,uniform_scaffold,generic,20,0.08333333333333333
word_svm,telling,uniform_scaffold,probing,63,0.2625
word_svm,telling,uniform_scaffold,telling,28,0.11666666666666667
