classifier_variant,target_act,arm,context_count,model_count,mean_match,context_cluster_ci_low,context_cluster_ci_high
char_svm,probing,adaptive_router,48,5,0.3333333333333333,0.25833333333333336,0.41250000000000003
char_svm,probing,generic,48,5,0.25833333333333336,0.1875,0.32916666666666666
char_svm,probing,oracle_action,48,5,0.45416666666666666,0.3625,0.5499999999999999
char_svm,probing,uniform_scaffold,48,5,0.4166666666666667,0.32916666666666666,0.5041666666666668
char_svm,telling,adaptive_router,48,5,0.2625,0.20000000000000004,0.325
char_svm,telling,generic,48,5,0.375,0.2833333333333334,0.46666666666666673
char_svm,telling,oracle_action,48,5,0.7708333333333334,0.7000000000000001,0.8375
char_svm,telling,uniform_scaffold,48,5,0.17083333333333334,0.1125,0.2333333333333333
hybrid_svm,probing,adaptive_router,48,5,0.3416666666666667,0.2708333333333333,0.4125000000000001
hybrid_svm,probing,generic,48,5,0.26666666666666666,0.19999999999999998,0.33749999999999997
hybrid_svm,probing,oracle_action,48,5,0.42916666666666664,0.3541666666666667,0.5083333333333333
hybrid_svm,probing,uniform_scaffold,48,5,0.42083333333333334,0.33749999999999997,0.5083333333333333
hybrid_svm,telling,adaptive_router,48,5,0.2625,0.19583333333333333,0.32916666666666666
hybrid_svm,telling,generic,48,5,0.37916666666666665,0.29583333333333334,0.4666666666666666
hybrid_svm,telling,oracle_action,48,5,0.775,0.6958333333333333,0.8458333333333333
hybrid_svm,telling,uniform_scaffold,48,5,0.11666666666666667,0.075,0.15833333333333335
word_svm,probing,adaptive_router,48,5,0.3625,0.28750000000000003,0.4375
word_svm,probing,generic,48,5,0.2625,0.19583333333333333,0.3333333333333333
word_svm,probing,oracle_action,48,5,0.4375,0.37083333333333335,0.5000000000000001
word_svm,probing,uniform_scaffold,48,5,0.4125,0.3416666666666666,0.4833333333333334
word_svm,telling,adaptive_router,48,5,0.25416666666666665,0.1875,0.325
word_svm,telling,generic,48,5,0.35,0.2708333333333333,0.43333333333333335
word_svm,telling,oracle_action,48,5,0.7,0.6208333333333333,0.7791666666666667
word_svm,telling,uniform_scaffold,48,5,0.11666666666666667,0.075,0.1625
