classifier_variant,target_act,contrast,context_count,model_count,mean_delta,context_cluster_ci_low,context_cluster_ci_high,positive_models,negative_models,minimum_model_delta,maximum_model_delta
char_svm,ALL,uniform_minus_generic,96,5,-0.022916666666666665,-0.09166666666666666,0.04374999999999999,2,2,-0.08333333333333333,0.010416666666666666
char_svm,ALL,adaptive_minus_uniform,96,5,0.004166666666666667,-0.04583333333333334,0.052083333333333336,2,2,-0.08333333333333333,0.08333333333333333
char_svm,ALL,adaptive_minus_generic,96,5,-0.01875,-0.06875,0.03125,2,2,-0.07291666666666667,0.041666666666666664
char_svm,ALL,oracle_minus_generic,96,5,0.29583333333333334,0.23124999999999998,0.3583854166666669,5,0,0.22916666666666666,0.3541666666666667
char_svm,probing,uniform_minus_generic,48,5,0.15833333333333333,0.07916666666666668,0.24166666666666667,5,0,0.08333333333333333,0.22916666666666666
char_svm,probing,adaptive_minus_uniform,48,5,-0.08333333333333333,-0.16249999999999998,-0.008333333333333333,1,4,-0.16666666666666666,0.020833333333333332
char_svm,probing,adaptive_minus_generic,48,5,0.075,0.02083333333333334,0.13333333333333333,4,0,0.0,0.16666666666666666
char_svm,probing,oracle_minus_generic,48,5,0.19583333333333333,0.11239583333333336,0.28333333333333327,4,0,0.0,0.2916666666666667
char_svm,telling,uniform_minus_generic,48,5,-0.20416666666666666,-0.2791666666666667,-0.12916666666666668,0,5,-0.3333333333333333,-0.0625
char_svm,telling,adaptive_minus_uniform,48,5,0.09166666666666666,0.041666666666666664,0.1416666666666667,4,1,-0.10416666666666667,0.16666666666666666
char_svm,telling,adaptive_minus_generic,48,5,-0.1125,-0.19583333333333333,-0.0375,1,4,-0.22916666666666666,0.020833333333333332
char_svm,telling,oracle_minus_generic,48,5,0.3958333333333333,0.3125,0.4791666666666667,5,0,0.3125,0.5208333333333334
hybrid_svm,ALL,uniform_minus_generic,96,5,-0.05416666666666667,-0.12916666666666668,0.02083333333333333,1,4,-0.16666666666666666,0.010416666666666666
hybrid_svm,ALL,adaptive_minus_uniform,96,5,0.03333333333333333,-0.020833333333333332,0.08749999999999998,3,2,-0.041666666666666664,0.14583333333333334
hybrid_svm,ALL,adaptive_minus_generic,96,5,-0.020833333333333332,-0.07708333333333335,0.03333333333333333,1,4,-0.0625,0.041666666666666664
hybrid_svm,ALL,oracle_minus_generic,96,5,0.2791666666666667,0.21875,0.34375,5,0,0.2604166666666667,0.2916666666666667
hybrid_svm,probing,uniform_minus_generic,48,5,0.15416666666666667,0.06250000000000001,0.24583333333333335,5,0,0.0625,0.22916666666666666
hybrid_svm,probing,adaptive_minus_uniform,48,5,-0.07916666666666666,-0.15833333333333335,0.0,1,4,-0.16666666666666666,0.0625
hybrid_svm,probing,adaptive_minus_generic,48,5,0.075,0.012500000000000002,0.13749999999999998,5,0,0.041666666666666664,0.125
hybrid_svm,probing,oracle_minus_generic,48,5,0.1625,0.08333333333333333,0.23750000000000004,5,0,0.0625,0.22916666666666666
hybrid_svm,telling,uniform_minus_generic,48,5,-0.2625,-0.3458333333333334,-0.18333333333333335,0,5,-0.3958333333333333,-0.10416666666666667
hybrid_svm,telling,adaptive_minus_uniform,48,5,0.14583333333333334,0.09166666666666667,0.2041666666666667,4,0,0.0,0.22916666666666666
hybrid_svm,telling,adaptive_minus_generic,48,5,-0.11666666666666667,-0.2041666666666667,-0.03333333333333333,1,4,-0.22916666666666666,0.020833333333333332
hybrid_svm,telling,oracle_minus_generic,48,5,0.3958333333333333,0.3125,0.48333333333333334,5,0,0.3125,0.5
word_svm,ALL,uniform_minus_generic,96,5,-0.041666666666666664,-0.11874999999999998,0.03125,1,4,-0.10416666666666667,0.020833333333333332
word_svm,ALL,adaptive_minus_uniform,96,5,0.04375,-0.008385416666666656,0.09999999999999998,4,1,-0.010416666666666666,0.08333333333333333
word_svm,ALL,adaptive_minus_generic,96,5,0.0020833333333333333,-0.054166666666666675,0.05833333333333333,4,1,-0.07291666666666667,0.03125
word_svm,ALL,oracle_minus_generic,96,5,0.2625,0.2041666666666667,0.3229166666666667,5,0,0.21875,0.3229166666666667
word_svm,probing,uniform_minus_generic,48,5,0.15,0.05833333333333333,0.23750000000000002,5,0,0.10416666666666667,0.16666666666666666
word_svm,probing,adaptive_minus_uniform,48,5,-0.05,-0.12916666666666668,0.03333333333333333,0,5,-0.10416666666666667,-0.020833333333333332
word_svm,probing,adaptive_minus_generic,48,5,0.1,0.0375,0.1625,5,0,0.0625,0.125
word_svm,probing,oracle_minus_generic,48,5,0.175,0.09583333333333334,0.2541666666666667,5,0,0.041666666666666664,0.2708333333333333
word_svm,telling,uniform_minus_generic,48,5,-0.23333333333333334,-0.32083333333333336,-0.15,0,5,-0.3125,-0.125
word_svm,telling,adaptive_minus_uniform,48,5,0.1375,0.07916666666666666,0.20416666666666664,5,0,0.041666666666666664,0.20833333333333334
word_svm,telling,adaptive_minus_generic,48,5,-0.09583333333333334,-0.18333333333333335,-0.012499999999999997,0,5,-0.22916666666666666,-0.020833333333333332
word_svm,telling,oracle_minus_generic,48,5,0.35,0.26666666666666666,0.43333333333333335,5,0,0.25,0.4791666666666667
