classifier_variant,target_act,contrast,model,context_count,mean_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
char_svm,ALL,uniform_minus_generic,MiniMax-M2.7,96,-0.052083333333333336,-0.17708333333333334,0.07291666666666667
char_svm,ALL,uniform_minus_generic,MiniMax-M3,96,0.0,-0.125,0.125
char_svm,ALL,uniform_minus_generic,deepseek-v4-pro,96,-0.08333333333333333,-0.19791666666666666,0.03125
char_svm,ALL,uniform_minus_generic,doubao-seed-2.0-lite,96,0.010416666666666666,-0.09375,0.11458333333333333
char_svm,ALL,uniform_minus_generic,glm-5.2,96,0.010416666666666666,-0.08333333333333333,0.10416666666666667
char_svm,ALL,adaptive_minus_uniform,MiniMax-M2.7,96,-0.020833333333333332,-0.14583333333333334,0.10416666666666667
char_svm,ALL,adaptive_minus_uniform,MiniMax-M3,96,0.041666666666666664,-0.08333333333333333,0.16666666666666666
char_svm,ALL,adaptive_minus_uniform,deepseek-v4-pro,96,0.08333333333333333,-0.03125,0.19791666666666666
char_svm,ALL,adaptive_minus_uniform,doubao-seed-2.0-lite,96,-0.08333333333333333,-0.1875,0.010416666666666666
char_svm,ALL,adaptive_minus_uniform,glm-5.2,96,0.0,-0.11458333333333333,0.11458333333333333
char_svm,ALL,adaptive_minus_generic,MiniMax-M2.7,96,-0.07291666666666667,-0.17708333333333334,0.03125
char_svm,ALL,adaptive_minus_generic,MiniMax-M3,96,0.041666666666666664,-0.07291666666666667,0.15625
char_svm,ALL,adaptive_minus_generic,deepseek-v4-pro,96,0.0,-0.11458333333333333,0.11458333333333333
char_svm,ALL,adaptive_minus_generic,doubao-seed-2.0-lite,96,-0.07291666666666667,-0.17708333333333334,0.03125
char_svm,ALL,adaptive_minus_generic,glm-5.2,96,0.010416666666666666,-0.09375,0.11484375000000094
char_svm,ALL,oracle_minus_generic,MiniMax-M2.7,96,0.3020833333333333,0.1875,0.4166666666666667
char_svm,ALL,oracle_minus_generic,MiniMax-M3,96,0.3020833333333333,0.1875,0.4166666666666667
char_svm,ALL,oracle_minus_generic,deepseek-v4-pro,96,0.2916666666666667,0.17708333333333334,0.40625
char_svm,ALL,oracle_minus_generic,doubao-seed-2.0-lite,96,0.22916666666666666,0.11458333333333333,0.34375
