classifier_variant,target_act,contrast,context_count,entropy_delta,context_bootstrap_ci_low,context_bootstrap_ci_high
char_svm,probing,uniform_minus_generic,48,-0.021438529282194415,-0.11692922652246131,0.07252540047754967
char_svm,probing,adaptive_minus_uniform,48,0.0349598313565133,-0.05284864331493241,0.12606925334920477
char_svm,probing,adaptive_minus_generic,48,0.013521302074318885,-0.0738900523037836,0.10316770968408341
char_svm,probing,oracle_minus_generic,48,-0.07885098214992566,-0.18065926392713227,0.02405216795807246
char_svm,telling,uniform_minus_generic,48,0.04004016864348673,-0.03613671615973017,0.11881489375058948
char_svm,telling,adaptive_minus_uniform,48,0.0812282340546301,-0.002830551387798754,0.16563420258957814
char_svm,telling,adaptive_minus_generic,48,0.12126840269811683,0.04351294320609819,0.20019554566678413
char_svm,telling,oracle_minus_generic,48,-0.1480767806994047,-0.24914785352276775,-0.042006611973382825
hybrid_svm,probing,uniform_minus_generic,48,-0.08833221225091564,-0.16970295818774594,-0.005604074866443366
hybrid_svm,probing,adaptive_minus_uniform,48,0.06839358629856342,-0.016357528869669014,0.15885324291991793
hybrid_svm,probing,adaptive_minus_generic,48,-0.019938625952352237,-0.1010416107068197,0.06163631711381392
hybrid_svm,probing,oracle_minus_generic,48,-0.07672691963189676,-0.15528886443068549,-0.003400686662339357
hybrid_svm,telling,uniform_minus_generic,48,0.04794871644830282,-0.05219705846943709,0.14771235761763693
hybrid_svm,telling,adaptive_minus_uniform,48,0.05502652155996738,-0.01895217636571375,0.12917120486768296
hybrid_svm,telling,adaptive_minus_generic,48,0.10297523800827019,0.008558530161229592,0.19862988417133678
hybrid_svm,telling,oracle_minus_generic,48,-0.21317076506989752,-0.3070808791026355,-0.11462068066561898
word_svm,probing,uniform_minus_generic,48,-0.06181334568174782,-0.1377860333556289,0.020938482187635204
word_svm,probing,adaptive_minus_uniform,48,0.017479915678256654,-0.08413275214859228,0.11102908470571807
word_svm,probing,adaptive_minus_generic,48,-0.044333430003491166,-0.1283185651673963,0.03642622759185022
word_svm,probing,oracle_minus_generic,48,-0.020543821901213313,-0.09944861977814501,0.0595095638094347
word_svm,telling,uniform_minus_generic,48,0.009959831356513293,-0.06606667204437384,0.08451359998896019
word_svm,telling,adaptive_minus_uniform,48,0.032936190447201176,-0.046305291645032,0.11223014287326526
word_svm,telling,adaptive_minus_generic,48,0.04289602180371447,-0.04106216178386523,0.12746074673333038
word_svm,telling,oracle_minus_generic,48,-0.15716954731732194,-0.24503954958255986,-0.06768006782963058
