classifier_variant,sample_id,context_id,target_act,arm,model,predicted_act,act_match,response_sha256
char_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,MiniMax-M2.7,generic,0,b5853571e6cc014b1135df917e479dae5e93a692a5a94d5812fc58042553f6ad
word_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,MiniMax-M2.7,generic,0,b5853571e6cc014b1135df917e479dae5e93a692a5a94d5812fc58042553f6ad
hybrid_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,MiniMax-M2.7,generic,0,b5853571e6cc014b1135df917e479dae5e93a692a5a94d5812fc58042553f6ad
char_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,MiniMax-M3,generic,0,82bc03e8537c1a1e26c69ddb49c1cd15e773ce149ab430166e1420a5470a09c2
word_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,MiniMax-M3,probing,0,82bc03e8537c1a1e26c69ddb49c1cd15e773ce149ab430166e1420a5470a09c2
hybrid_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,MiniMax-M3,probing,0,82bc03e8537c1a1e26c69ddb49c1cd15e773ce149ab430166e1420a5470a09c2
char_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,deepseek-v4-pro,generic,0,be9cb97f3cd6ee6fafca41b39eb8ec594805c43a2f7a6e568395555bf0ae9331
word_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,deepseek-v4-pro,generic,0,be9cb97f3cd6ee6fafca41b39eb8ec594805c43a2f7a6e568395555bf0ae9331
hybrid_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,deepseek-v4-pro,generic,0,be9cb97f3cd6ee6fafca41b39eb8ec594805c43a2f7a6e568395555bf0ae9331
char_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,doubao-seed-2.0-lite,probing,0,9c591ff7ef0be9283b05501b819d154148a30b6b0d801cc2b4cb85a829f0ed6d
word_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,doubao-seed-2.0-lite,focus,0,9c591ff7ef0be9283b05501b819d154148a30b6b0d801cc2b4cb85a829f0ed6d
hybrid_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,doubao-seed-2.0-lite,focus,0,9c591ff7ef0be9283b05501b819d154148a30b6b0d801cc2b4cb85a829f0ed6d
char_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,glm-5.2,generic,0,01eda797667837e2c57d47df941fd613a516be647f752d156c89d1cb0fcf8934
word_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,glm-5.2,generic,0,01eda797667837e2c57d47df941fd613a516be647f752d156c89d1cb0fcf8934
hybrid_svm,routing-v1|scaffolding-1085|adaptive_router,scaffolding-1085,telling,adaptive_router,glm-5.2,generic,0,01eda797667837e2c57d47df941fd613a516be647f752d156c89d1cb0fcf8934
char_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,MiniMax-M2.7,generic,0,771a33e233d345470ca47d3bf0626ce7609aaf0f683ad9816c0e9d7397533d9d
word_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,MiniMax-M2.7,generic,0,771a33e233d345470ca47d3bf0626ce7609aaf0f683ad9816c0e9d7397533d9d
hybrid_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,MiniMax-M2.7,generic,0,771a33e233d345470ca47d3bf0626ce7609aaf0f683ad9816c0e9d7397533d9d
char_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,MiniMax-M3,probing,0,2e417e831ff249229392fc3ea98a23271613d9cd70bae34feda7e17edf551495
word_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,MiniMax-M3,probing,0,2e417e831ff249229392fc3ea98a23271613d9cd70bae34feda7e17edf551495
hybrid_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,MiniMax-M3,probing,0,2e417e831ff249229392fc3ea98a23271613d9cd70bae34feda7e17edf551495
char_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,deepseek-v4-pro,generic,0,9aa019bad5c68cba947efcc46883b6cc39fd671daa914b5633b6cf6eba6c0fca
word_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,deepseek-v4-pro,probing,0,9aa019bad5c68cba947efcc46883b6cc39fd671daa914b5633b6cf6eba6c0fca
hybrid_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,deepseek-v4-pro,generic,0,9aa019bad5c68cba947efcc46883b6cc39fd671daa914b5633b6cf6eba6c0fca
char_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,doubao-seed-2.0-lite,probing,0,5e7ddc75cc7faf47542dcf3af7fdd9cf96304d95173e3161c27782af0b2f0d5e
word_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,doubao-seed-2.0-lite,probing,0,5e7ddc75cc7faf47542dcf3af7fdd9cf96304d95173e3161c27782af0b2f0d5e
hybrid_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,doubao-seed-2.0-lite,probing,0,5e7ddc75cc7faf47542dcf3af7fdd9cf96304d95173e3161c27782af0b2f0d5e
char_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,glm-5.2,generic,0,7aed2365cc07f8cd4e789293fac0e8ce41aee96eb7163bc9ffc88ab0d96f70b4
word_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,glm-5.2,telling,1,7aed2365cc07f8cd4e789293fac0e8ce41aee96eb7163bc9ffc88ab0d96f70b4
hybrid_svm,routing-v1|scaffolding-1085|generic,scaffolding-1085,telling,generic,glm-5.2,telling,1,7aed2365cc07f8cd4e789293fac0e8ce41aee96eb7163bc9ffc88ab0d96f70b4
char_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,MiniMax-M2.7,telling,1,6c35077f680b5f38ef9895838648eeb96356eb2b1d47ebbc067b4ce86b4b9495
word_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,MiniMax-M2.7,telling,1,6c35077f680b5f38ef9895838648eeb96356eb2b1d47ebbc067b4ce86b4b9495
hybrid_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,MiniMax-M2.7,telling,1,6c35077f680b5f38ef9895838648eeb96356eb2b1d47ebbc067b4ce86b4b9495
char_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,MiniMax-M3,generic,0,9062a2ca6a563abd21d1c5565ee471fedd8774d7f918c5e29bc73ff05c1718ab
word_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,MiniMax-M3,generic,0,9062a2ca6a563abd21d1c5565ee471fedd8774d7f918c5e29bc73ff05c1718ab
hybrid_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,MiniMax-M3,generic,0,9062a2ca6a563abd21d1c5565ee471fedd8774d7f918c5e29bc73ff05c1718ab
char_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,deepseek-v4-pro,generic,0,3a4e3120146b730ff552d8ae5fb8e5ce3de812dd0ab4db4532869e304fde12a0
word_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,deepseek-v4-pro,telling,1,3a4e3120146b730ff552d8ae5fb8e5ce3de812dd0ab4db4532869e304fde12a0
hybrid_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,deepseek-v4-pro,telling,1,3a4e3120146b730ff552d8ae5fb8e5ce3de812dd0ab4db4532869e304fde12a0
char_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,doubao-seed-2.0-lite,generic,0,09d2ef57aaec011f18bcda542533a1b89e52b042ece895cb106728bf8e35797c
word_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,doubao-seed-2.0-lite,probing,0,09d2ef57aaec011f18bcda542533a1b89e52b042ece895cb106728bf8e35797c
hybrid_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,doubao-seed-2.0-lite,probing,0,09d2ef57aaec011f18bcda542533a1b89e52b042ece895cb106728bf8e35797c
char_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,glm-5.2,telling,1,0de55d4560cb030fc5f4f5e6eb1e9008887570e836ddff21c18736cf5b208309
word_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,glm-5.2,telling,1,0de55d4560cb030fc5f4f5e6eb1e9008887570e836ddff21c18736cf5b208309
hybrid_svm,routing-v1|scaffolding-1085|oracle_action,scaffolding-1085,telling,oracle_action,glm-5.2,telling,1,0de55d4560cb030fc5f4f5e6eb1e9008887570e836ddff21c18736cf5b208309
char_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,MiniMax-M2.7,generic,0,082057a3b9e86bd3c62c0b107a3b3dff8b56d0a4d783f514492ad236807c9be1
word_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,MiniMax-M2.7,focus,0,082057a3b9e86bd3c62c0b107a3b3dff8b56d0a4d783f514492ad236807c9be1
hybrid_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,MiniMax-M2.7,focus,0,082057a3b9e86bd3c62c0b107a3b3dff8b56d0a4d783f514492ad236807c9be1
char_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,MiniMax-M3,generic,0,2044e3915e39a86a301e736c8112c30196b1a33ce1df9363b5c04ad9f418800c
word_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,MiniMax-M3,probing,0,2044e3915e39a86a301e736c8112c30196b1a33ce1df9363b5c04ad9f418800c
hybrid_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,MiniMax-M3,probing,0,2044e3915e39a86a301e736c8112c30196b1a33ce1df9363b5c04ad9f418800c
char_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,deepseek-v4-pro,focus,0,148f2b7cd2870cb6d832407c52227e00f3ec2332e32fdc0e5192ef5016ff7f5c
word_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,deepseek-v4-pro,focus,0,148f2b7cd2870cb6d832407c52227e00f3ec2332e32fdc0e5192ef5016ff7f5c
hybrid_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,deepseek-v4-pro,probing,0,148f2b7cd2870cb6d832407c52227e00f3ec2332e32fdc0e5192ef5016ff7f5c
char_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,doubao-seed-2.0-lite,probing,0,ac26ae78c32ea301eaf85e99b1ad17b2f3213631dfd4f9f68658a5706c150a24
word_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,doubao-seed-2.0-lite,probing,0,ac26ae78c32ea301eaf85e99b1ad17b2f3213631dfd4f9f68658a5706c150a24
hybrid_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,doubao-seed-2.0-lite,probing,0,ac26ae78c32ea301eaf85e99b1ad17b2f3213631dfd4f9f68658a5706c150a24
char_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,glm-5.2,generic,0,e5fc2420ca274bdd514538cb0dd17a77f5e775fdd6789a46f010b98db7b3e94a
word_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,glm-5.2,probing,0,e5fc2420ca274bdd514538cb0dd17a77f5e775fdd6789a46f010b98db7b3e94a
hybrid_svm,routing-v1|scaffolding-1085|uniform_scaffold,scaffolding-1085,telling,uniform_scaffold,glm-5.2,focus,0,e5fc2420ca274bdd514538cb0dd17a77f5e775fdd6789a46f010b98db7b3e94a
char_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,MiniMax-M2.7,telling,1,a5a9f3d66f18ac5d0db403dfb98965399596e1796ef49bb5fe3400fae93ff93b
word_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,MiniMax-M2.7,telling,1,a5a9f3d66f18ac5d0db403dfb98965399596e1796ef49bb5fe3400fae93ff93b
hybrid_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,MiniMax-M2.7,telling,1,a5a9f3d66f18ac5d0db403dfb98965399596e1796ef49bb5fe3400fae93ff93b
char_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,MiniMax-M3,telling,1,d1ee03008b016c99a15e2278d65b2417d8e220537d492c3909c543a1c221a0ac
word_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,MiniMax-M3,telling,1,d1ee03008b016c99a15e2278d65b2417d8e220537d492c3909c543a1c221a0ac
hybrid_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,MiniMax-M3,telling,1,d1ee03008b016c99a15e2278d65b2417d8e220537d492c3909c543a1c221a0ac
char_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,deepseek-v4-pro,generic,0,43a3c9deb1df986322e4fdd3328e168d62cafb3e3be8381994d2f9a76a4268e0
word_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,deepseek-v4-pro,telling,1,43a3c9deb1df986322e4fdd3328e168d62cafb3e3be8381994d2f9a76a4268e0
hybrid_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,deepseek-v4-pro,telling,1,43a3c9deb1df986322e4fdd3328e168d62cafb3e3be8381994d2f9a76a4268e0
char_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,doubao-seed-2.0-lite,telling,1,f43ccd7eac3d858f31fd97584b7a25f8da586d87ac4e9bb81964f5a20e812ca9
word_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,doubao-seed-2.0-lite,telling,1,f43ccd7eac3d858f31fd97584b7a25f8da586d87ac4e9bb81964f5a20e812ca9
hybrid_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,doubao-seed-2.0-lite,telling,1,f43ccd7eac3d858f31fd97584b7a25f8da586d87ac4e9bb81964f5a20e812ca9
char_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,glm-5.2,probing,0,43f721e1cfa1897f89e8292fb68f5d3833ee883f6e6cfeebea9f41f927c378ba
word_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,glm-5.2,telling,1,43f721e1cfa1897f89e8292fb68f5d3833ee883f6e6cfeebea9f41f927c378ba
hybrid_svm,routing-v1|scaffolding-11|adaptive_router,scaffolding-11,telling,adaptive_router,glm-5.2,probing,0,43f721e1cfa1897f89e8292fb68f5d3833ee883f6e6cfeebea9f41f927c378ba
char_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,MiniMax-M2.7,telling,1,229f1f7125a21454bd1e09b4bb32eb858c501b6e327f71b1dfd6a9600063c98b
word_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,MiniMax-M2.7,telling,1,229f1f7125a21454bd1e09b4bb32eb858c501b6e327f71b1dfd6a9600063c98b
hybrid_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,MiniMax-M2.7,telling,1,229f1f7125a21454bd1e09b4bb32eb858c501b6e327f71b1dfd6a9600063c98b
char_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,MiniMax-M3,probing,0,8612e97448ff4f4a5a86a6cc98649c9b92a7049b466e86c1b03eb6d8fe711f51
word_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,MiniMax-M3,telling,1,8612e97448ff4f4a5a86a6cc98649c9b92a7049b466e86c1b03eb6d8fe711f51
hybrid_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,MiniMax-M3,telling,1,8612e97448ff4f4a5a86a6cc98649c9b92a7049b466e86c1b03eb6d8fe711f51
char_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,deepseek-v4-pro,telling,1,7fc3394bd96a680ef4b471f51f6ee8b345a7c65f297a75461993ea83f9eb5a72
word_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,deepseek-v4-pro,focus,0,7fc3394bd96a680ef4b471f51f6ee8b345a7c65f297a75461993ea83f9eb5a72
hybrid_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,deepseek-v4-pro,focus,0,7fc3394bd96a680ef4b471f51f6ee8b345a7c65f297a75461993ea83f9eb5a72
char_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,doubao-seed-2.0-lite,focus,0,011308d65011767b3680f2ac8fdb9b94db2cfc7006f598692a7853713a8c092a
word_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,doubao-seed-2.0-lite,focus,0,011308d65011767b3680f2ac8fdb9b94db2cfc7006f598692a7853713a8c092a
hybrid_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,doubao-seed-2.0-lite,probing,0,011308d65011767b3680f2ac8fdb9b94db2cfc7006f598692a7853713a8c092a
char_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,glm-5.2,probing,0,6e473d3f8dbb3f07a482d7d34457c698f5c548f3cfbea5847c552744710e6408
word_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,glm-5.2,probing,0,6e473d3f8dbb3f07a482d7d34457c698f5c548f3cfbea5847c552744710e6408
hybrid_svm,routing-v1|scaffolding-11|generic,scaffolding-11,telling,generic,glm-5.2,probing,0,6e473d3f8dbb3f07a482d7d34457c698f5c548f3cfbea5847c552744710e6408
char_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,MiniMax-M2.7,telling,1,b4bc6ed67df980889b130fd1fb384c8636649af3d6d3a652e73dcd4655b1773b
word_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,MiniMax-M2.7,telling,1,b4bc6ed67df980889b130fd1fb384c8636649af3d6d3a652e73dcd4655b1773b
hybrid_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,MiniMax-M2.7,telling,1,b4bc6ed67df980889b130fd1fb384c8636649af3d6d3a652e73dcd4655b1773b
char_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,MiniMax-M3,telling,1,50589749134dfdd8362bc22643afbe948e23a7a7730ca1947671adace151397a
word_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,MiniMax-M3,telling,1,50589749134dfdd8362bc22643afbe948e23a7a7730ca1947671adace151397a
hybrid_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,MiniMax-M3,telling,1,50589749134dfdd8362bc22643afbe948e23a7a7730ca1947671adace151397a
char_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,deepseek-v4-pro,telling,1,be0dcd7510edf92ba249e59cb3952d721d237b45cfed8699c37e0493c8b891de
word_svm,routing-v1|scaffolding-11|oracle_action,scaffolding-11,telling,oracle_action,deepseek-v4-pro,telling,1,be0dcd7510edf92ba249e59cb3952d721d237b45cfed8699c37e0493c8b891de
