condition,model,affiliative_behavior,benevolent_cost_acceptance,assertive_dominance,surface_warmth,task_effectiveness
default,MiniMax-M2.7,4.194444444444445,3.611111111111111,2.8055555555555554,3.8888888888888893,3.888888888888889
default,MiniMax-M3,4.833333333333333,4.25,3.222222222222222,4.361111111111112,4.722222222222222
default,deepseek-v4-pro,3.6944444444444446,3.4444444444444446,3.25,3.25,4.055555555555555
default,doubao-seed-2.0-lite,4.75,4.527777777777778,3.25,4.666666666666667,4.75
default,glm-5.2,3.944444444444444,3.638888888888889,3.1666666666666665,3.611111111111111,4.194444444444445
high_affiliation,MiniMax-M2.7,4.527777777777778,3.972222222222222,3.0,4.194444444444445,4.027777777777778
high_affiliation,MiniMax-M3,4.638888888888888,4.388888888888888,3.5,4.305555555555556,4.861111111111112
high_affiliation,deepseek-v4-pro,4.083333333333333,3.638888888888889,3.3055555555555554,3.8055555555555554,4.277777777777778
high_affiliation,doubao-seed-2.0-lite,4.583333333333333,4.305555555555555,3.138888888888889,4.75,4.583333333333333
high_affiliation,glm-5.2,4.555555555555555,3.6944444444444446,2.6666666666666665,4.666666666666667,3.9444444444444446
irrelevant_context,MiniMax-M2.7,3.972222222222222,3.277777777777778,2.9444444444444446,3.7777777777777772,3.6666666666666665
irrelevant_context,MiniMax-M3,4.638888888888888,4.111111111111112,3.1666666666666665,4.222222222222222,4.777777777777778
irrelevant_context,deepseek-v4-pro,3.972222222222222,3.5555555555555554,3.1944444444444446,3.472222222222222,4.305555555555555
irrelevant_context,doubao-seed-2.0-lite,4.666666666666667,4.055555555555555,3.1944444444444446,4.666666666666667,4.722222222222222
irrelevant_context,glm-5.2,3.9166666666666665,3.5833333333333335,3.388888888888889,3.6944444444444446,4.305555555555556
low_affiliation,MiniMax-M2.7,4.083333333333333,3.6666666666666665,3.027777777777778,3.638888888888889,4.277777777777778
low_affiliation,MiniMax-M3,3.5,3.75,3.6666666666666665,2.888888888888889,4.777777777777778
low_affiliation,deepseek-v4-pro,2.2222222222222223,2.444444444444444,3.8333333333333335,1.9166666666666667,3.8055555555555554
low_affiliation,doubao-seed-2.0-lite,1.6666666666666667,2.5277777777777777,4.75,1.5277777777777777,3.611111111111111
low_affiliation,glm-5.2,2.4722222222222223,2.75,4.166666666666667,2.0555555555555554,4.194444444444445
