condition,domain,model,affiliative_behavior,benevolent_cost_acceptance,assertive_dominance,surface_warmth,task_effectiveness
default,education,MiniMax-M2.7,4.333333333333333,3.6666666666666665,2.777777777777778,4.222222222222222,3.8333333333333335
default,education,MiniMax-M3,4.944444444444445,4.166666666666667,3.0,4.777777777777778,4.611111111111111
default,education,deepseek-v4-pro,3.722222222222222,3.3333333333333335,3.4444444444444446,3.5555555555555554,3.9444444444444446
default,education,doubao-seed-2.0-lite,4.611111111111112,4.5,3.111111111111111,4.444444444444445,4.555555555555555
default,education,glm-5.2,4.111111111111111,3.6111111111111107,3.222222222222222,3.8333333333333335,4.0
default,noneducation,MiniMax-M2.7,4.055555555555555,3.5555555555555554,2.8333333333333335,3.5555555555555554,3.9444444444444446
default,noneducation,MiniMax-M3,4.722222222222222,4.333333333333333,3.4444444444444446,3.9444444444444446,4.833333333333333
default,noneducation,deepseek-v4-pro,3.6666666666666665,3.5555555555555554,3.0555555555555554,2.9444444444444446,4.166666666666667
default,noneducation,doubao-seed-2.0-lite,4.888888888888889,4.555555555555555,3.388888888888889,4.888888888888888,4.944444444444445
default,noneducation,glm-5.2,3.777777777777778,3.6666666666666665,3.111111111111111,3.388888888888889,4.388888888888889
high_affiliation,education,MiniMax-M2.7,4.5,3.944444444444444,2.888888888888889,4.388888888888889,3.777777777777778
high_affiliation,education,MiniMax-M3,4.611111111111112,4.333333333333333,3.5,4.444444444444445,4.777777777777778
high_affiliation,education,deepseek-v4-pro,4.0,3.611111111111111,3.277777777777778,3.7777777777777772,4.277777777777778
high_affiliation,education,doubao-seed-2.0-lite,4.5,3.9444444444444446,2.7777777777777772,4.833333333333333,4.277777777777778
high_affiliation,education,glm-5.2,4.388888888888888,3.5555555555555554,2.388888888888889,4.666666666666667,3.611111111111111
high_affiliation,noneducation,MiniMax-M2.7,4.555555555555556,4.0,3.111111111111111,4.0,4.277777777777778
high_affiliation,noneducation,MiniMax-M3,4.666666666666667,4.444444444444445,3.5,4.166666666666667,4.944444444444445
high_affiliation,noneducation,deepseek-v4-pro,4.166666666666667,3.6666666666666665,3.3333333333333335,3.8333333333333335,4.277777777777778
high_affiliation,noneducation,doubao-seed-2.0-lite,4.666666666666667,4.666666666666667,3.5,4.666666666666667,4.888888888888889
high_affiliation,noneducation,glm-5.2,4.722222222222222,3.8333333333333335,2.9444444444444446,4.666666666666667,4.277777777777778
irrelevant_context,education,MiniMax-M2.7,3.7777777777777772,3.0555555555555554,2.8333333333333335,3.722222222222222,3.277777777777778
irrelevant_context,education,MiniMax-M3,4.833333333333333,4.0,3.0555555555555554,4.666666666666667,4.666666666666667
irrelevant_context,education,deepseek-v4-pro,4.277777777777778,3.6111111111111107,3.222222222222222,3.777777777777778,4.277777777777778
irrelevant_context,education,doubao-seed-2.0-lite,4.5,3.777777777777778,2.8888888888888893,4.5,4.5
irrelevant_context,education,glm-5.2,4.0,3.5,3.277777777777778,3.777777777777778,4.111111111111112
irrelevant_context,noneducation,MiniMax-M2.7,4.166666666666667,3.5,3.055555555555556,3.8333333333333335,4.055555555555556
irrelevant_context,noneducation,MiniMax-M3,4.444444444444445,4.222222222222222,3.2777777777777772,3.7777777777777772,4.888888888888889
irrelevant_context,noneducation,deepseek-v4-pro,3.6666666666666665,3.5,3.1666666666666665,3.1666666666666665,4.333333333333333
irrelevant_context,noneducation,doubao-seed-2.0-lite,4.833333333333333,4.333333333333333,3.5,4.833333333333333,4.944444444444445
irrelevant_context,noneducation,glm-5.2,3.8333333333333335,3.6666666666666665,3.5,3.6111111111111107,4.5
low_affiliation,education,MiniMax-M2.7,4.222222222222222,3.722222222222222,3.111111111111111,3.6666666666666665,4.333333333333333
low_affiliation,education,MiniMax-M3,3.6111111111111107,3.8333333333333335,3.7777777777777772,3.0,4.666666666666667
low_affiliation,education,deepseek-v4-pro,2.1666666666666665,2.2777777777777777,3.6666666666666665,1.7777777777777777,3.611111111111111
low_affiliation,education,doubao-seed-2.0-lite,1.722222222222222,2.5,4.5,1.5,3.277777777777778
low_affiliation,education,glm-5.2,2.611111111111111,2.777777777777778,4.055555555555555,2.111111111111111,4.111111111111111
low_affiliation,noneducation,MiniMax-M2.7,3.944444444444444,3.611111111111111,2.9444444444444446,3.611111111111111,4.222222222222222
low_affiliation,noneducation,MiniMax-M3,3.388888888888889,3.6666666666666665,3.5555555555555554,2.777777777777778,4.888888888888889
low_affiliation,noneducation,deepseek-v4-pro,2.2777777777777777,2.611111111111111,4.0,2.055555555555556,4.0
low_affiliation,noneducation,doubao-seed-2.0-lite,1.611111111111111,2.555555555555556,5.0,1.5555555555555554,3.9444444444444446
low_affiliation,noneducation,glm-5.2,2.3333333333333335,2.722222222222222,4.277777777777778,2.0,4.277777777777778
