condition,domain,model,affiliative_choice
default,education,MiniMax-M2.7,1.0
default,education,MiniMax-M3,1.0
default,education,deepseek-v4-pro,1.0
default,education,doubao-seed-2.0-lite,1.0
default,education,glm-5.2,1.0
default,noneducation,MiniMax-M2.7,1.0
default,noneducation,MiniMax-M3,1.0
default,noneducation,deepseek-v4-pro,1.0
default,noneducation,doubao-seed-2.0-lite,1.0
default,noneducation,glm-5.2,1.0
high_affiliation,education,MiniMax-M2.7,1.0
high_affiliation,education,MiniMax-M3,1.0
high_affiliation,education,deepseek-v4-pro,1.0
high_affiliation,education,doubao-seed-2.0-lite,1.0
high_affiliation,education,glm-5.2,1.0
high_affiliation,noneducation,MiniMax-M2.7,1.0
high_affiliation,noneducation,MiniMax-M3,1.0
high_affiliation,noneducation,deepseek-v4-pro,1.0
high_affiliation,noneducation,doubao-seed-2.0-lite,1.0
high_affiliation,noneducation,glm-5.2,1.0
irrelevant_context,education,MiniMax-M2.7,1.0
irrelevant_context,education,MiniMax-M3,1.0
irrelevant_context,education,deepseek-v4-pro,1.0
irrelevant_context,education,doubao-seed-2.0-lite,1.0
irrelevant_context,education,glm-5.2,1.0
irrelevant_context,noneducation,MiniMax-M2.7,1.0
irrelevant_context,noneducation,MiniMax-M3,1.0
irrelevant_context,noneducation,deepseek-v4-pro,1.0
irrelevant_context,noneducation,doubao-seed-2.0-lite,1.0
irrelevant_context,noneducation,glm-5.2,1.0
low_affiliation,education,MiniMax-M2.7,1.0
low_affiliation,education,MiniMax-M3,1.0
low_affiliation,education,deepseek-v4-pro,0.0
low_affiliation,education,doubao-seed-2.0-lite,0.5
low_affiliation,education,glm-5.2,0.0
low_affiliation,noneducation,MiniMax-M2.7,1.0
low_affiliation,noneducation,MiniMax-M3,1.0
low_affiliation,noneducation,deepseek-v4-pro,0.0
low_affiliation,noneducation,doubao-seed-2.0-lite,0.5
low_affiliation,noneducation,glm-5.2,0.3333333333333333
