condition,model,agreeableness_self_report,item_sd
default,MiniMax-M3,4.3,0.9
irrelevant_context,MiniMax-M3,4.4,0.9165151389911681
high_affiliation,MiniMax-M3,4.3,0.9
low_affiliation,MiniMax-M3,2.7,1.3453624047073711
default,MiniMax-M2.7,4.2,0.7483314773547882
irrelevant_context,MiniMax-M2.7,4.2,0.7483314773547882
high_affiliation,MiniMax-M2.7,4.8,0.39999999999999997
low_affiliation,MiniMax-M2.7,4.1,1.0440306508910548
default,glm-5.2,4.7,0.9
irrelevant_context,glm-5.2,4.6,0.4898979485566356
high_affiliation,glm-5.2,5.0,0.0
low_affiliation,glm-5.2,1.5,1.2041594578792296
default,deepseek-v4-pro,4.8,0.39999999999999997
irrelevant_context,deepseek-v4-pro,4.8,0.39999999999999997
high_affiliation,deepseek-v4-pro,4.8,0.39999999999999997
low_affiliation,deepseek-v4-pro,1.9,0.8306623862918074
default,doubao-seed-2.0-lite,4.9,0.3
irrelevant_context,doubao-seed-2.0-lite,4.7,0.45825756949558405
high_affiliation,doubao-seed-2.0-lite,5.0,0.0
low_affiliation,doubao-seed-2.0-lite,2.4,1.019803902718557
