dimension,excluded_judge_family,models,model_profile_spearman_full_vs_leaveout,prompt_cells,prompt_cell_spearman_full_vs_leaveout,full_mean_prompt_delta,leaveout_mean_prompt_delta,prompt_direction_retained,full_cross_task_gate,leaveout_cross_task_gate,leaveout_cross_task_icc_3_1,leaveout_cross_task_median_rho
instructional_agency,deepseek-v4-pro,6,1.0,12,0.9510489510489512,-1.0173555908850027,-1.000264970853206,True,True,True,0.6650164942500792,0.8827348295047495
instructional_agency,doubao-seed-2.0-lite,6,0.942857142857143,12,0.9807370556736849,-1.0173555908850027,-0.953961314255432,True,True,True,0.6230277413844169,0.6957252427829382
instructional_agency,glm-5.2,6,1.0,12,0.9790209790209792,-1.0173555908850027,-1.0073529411764708,True,True,True,0.5810978809835224,0.6667366910003157
instructional_agency,minimax-m2.7,6,1.0,12,0.9877423203570683,-1.0173555908850027,-1.1078431372549018,True,True,True,0.5641155180914499,0.6571428571428573
next_step_actionability,deepseek-v4-pro,6,1.0,12,0.9720279720279721,0.9635996290408055,0.9396528881822999,True,False,False,0.029625975433444425,-0.6
next_step_actionability,doubao-seed-2.0-lite,6,0.9856107606091623,12,0.9790209790209792,0.9635996290408055,0.7940514043455221,True,False,False,-0.0666629977236468,-0.8285714285714287
next_step_actionability,glm-5.2,6,0.942857142857143,12,0.9720279720279721,0.9635996290408055,0.9898648648648649,True,False,False,-0.09486158027970791,-0.7714285714285715
next_step_actionability,minimax-m2.7,6,0.942857142857143,12,0.965034965034965,0.9635996290408055,1.1308293587705351,True,False,False,-0.13457184393505375,-0.8285714285714287
relational_communion,deepseek-v4-pro,6,1.0,12,0.99124495269876,-0.18296237413884472,-0.16593799682034976,True,True,True,0.47324146618948226,0.8823529411764706
relational_communion,doubao-seed-2.0-lite,6,1.0,12,0.9860139860139862,-0.18296237413884472,-0.19488606253312135,True,True,True,0.47753119890826473,0.9856107606091624
relational_communion,glm-5.2,6,1.0,12,0.99124495269876,-0.18296237413884472,-0.19674085850556441,True,True,True,0.4780589859302315,0.942857142857143
relational_communion,minimax-m2.7,6,1.0,12,0.9859709816806179,-0.18296237413884472,-0.1742845786963434,True,True,True,0.47383631056870584,0.8857142857142858
