held_out_model,feature_set,n_test,auc,brier,accuracy,auc_gain_vs_transparent
deepseek-v4-pro,task_item_only,290,0.9125760260523921,0.12437157318511893,0.8172413793103448,-0.02037737656242522
deepseek-v4-pro,transparent_only,290,0.9329534026148173,0.10713681501791619,0.8517241379310345,0.0
deepseek-v4-pro,transparent_plus_all_confirmatory,290,0.9355873760835208,0.10433281796193272,0.8586206896551725,0.002633973468703532
deepseek-v4-pro,transparent_plus_instructional_agency,290,0.9359704994971505,0.10483506827348331,0.8517241379310345,0.0030170968823332034
deepseek-v4-pro,transparent_plus_next_step_actionability,290,0.9340548824290025,0.10564057848519279,0.8551724137931035,0.00110147981418518
deepseek-v4-pro,transparent_plus_relational_communion,290,0.9330970738949284,0.1071569347081706,0.8517241379310345,0.00014367128011105734
doubao-seed-2.0-pro,task_item_only,290,0.8899387874076953,0.13339186018933324,0.8103448275862069,-0.03286533229692967
doubao-seed-2.0-pro,transparent_only,290,0.922804119704625,0.11074588374270668,0.8482758620689655,0.0
doubao-seed-2.0-pro,transparent_plus_all_confirmatory,290,0.9260590750097163,0.10842811198971689,0.8482758620689655,0.003254955305091345
doubao-seed-2.0-pro,transparent_plus_instructional_agency,290,0.9231441896618733,0.11021018912662713,0.8482758620689655,0.00034006995724833455
doubao-seed-2.0-pro,transparent_plus_next_step_actionability,290,0.9275165176836379,0.10793366041891668,0.8551724137931035,0.004712397979012906
doubao-seed-2.0-pro,transparent_plus_relational_communion,290,0.9223183054799845,0.11126404516010426,0.8517241379310345,-0.0004858142246404462
glm-5.2,task_item_only,290,0.8782801290384707,0.15877462208880946,0.7689655172413793,-0.02855216909817515
glm-5.2,transparent_only,290,0.9068322981366459,0.1302607386592135,0.8206896551724138,0.0
glm-5.2,transparent_plus_all_confirmatory,290,0.9139101545572729,0.12129854916271561,0.8103448275862069,0.007077856420626971
glm-5.2,transparent_plus_instructional_agency,290,0.9129471808946025,0.12254910015166814,0.8137931034482758,0.0061148827579565745
glm-5.2,transparent_plus_next_step_actionability,290,0.9119360585487987,0.1276637885758838,0.8103448275862069,0.005103760412152769
glm-5.2,transparent_plus_relational_communion,290,0.9065434060378448,0.13027967336190316,0.8206896551724138,-0.000288892098801119
minimax-m2.7,task_item_only,290,0.9216077207582061,0.14441899624587387,0.7862068965517242,0.002282709200184807
minimax-m2.7,transparent_only,290,0.9193250115580213,0.1217670014046135,0.8275862068965517,0.0
minimax-m2.7,transparent_plus_all_confirmatory,290,0.9238326398520573,0.11379184130330604,0.8137931034482758,0.004507628294036059
minimax-m2.7,transparent_plus_instructional_agency,290,0.9231969486823856,0.11301816708738116,0.8310344827586207,0.0038719371243642886
minimax-m2.7,transparent_plus_next_step_actionability,290,0.9219833564493758,0.12190542683781053,0.8068965517241379,0.002658344891354525
minimax-m2.7,transparent_plus_relational_communion,290,0.9199029126213593,0.12256073107056602,0.8310344827586207,0.0005779010633379933
minimax-m3,task_item_only,290,0.8839141414141415,0.13949791475167608,0.7931034482758621,0.006944444444444531
minimax-m3,transparent_only,290,0.876969696969697,0.13929133976982577,0.8137931034482758,0.0
minimax-m3,transparent_plus_all_confirmatory,290,0.8776767676767678,0.1370631133710664,0.8068965517241379,0.0007070707070708782
minimax-m3,transparent_plus_instructional_agency,290,0.8841919191919193,0.13230936556375827,0.8103448275862069,0.007222222222222352
minimax-m3,transparent_plus_next_step_actionability,290,0.8751515151515152,0.14151664786142484,0.7965517241379311,-0.0018181818181817189
minimax-m3,transparent_plus_relational_communion,290,0.8736363636363637,0.1414203566020309,0.803448275862069,-0.0033333333333332993
qwen3.5-4b,task_item_only,290,0.852278190267614,0.16262062043603914,0.7586206896551724,-0.006810533625340565
qwen3.5-4b,transparent_only,290,0.8590887238929545,0.1587117265379814,0.7689655172413793,0.0
qwen3.5-4b,transparent_plus_all_confirmatory,290,0.8619731851930986,0.15286924560157675,0.7862068965517242,0.002884461300144081
qwen3.5-4b,transparent_plus_instructional_agency,290,0.8556166871427808,0.1555020536731111,0.7827586206896552,-0.0034720367501737126
qwen3.5-4b,transparent_plus_next_step_actionability,290,0.8648042305432403,0.15523501800747788,0.7758620689655172,0.005715506650285751
qwen3.5-4b,transparent_plus_relational_communion,290,0.8590353079429518,0.15874504518487184,0.7689655172413793,-5.341595000274424e-05
