classifier_variant,label,precision,recall,f1-score,support
char_svm,probing,0.38991248272685397,0.39966949952785646,0.39473070645838193,4236.0
char_svm,focus,0.5518331226295828,0.5143614670790986,0.5324388198521003,6789.0
char_svm,telling,0.5010872941907425,0.5226830848995463,0.5116574147501982,3086.0
char_svm,generic,0.7783748925193466,0.8173814898419864,0.7974014534243559,4430.0
char_svm,accuracy,0.561943800226525,0.561943800226525,0.561943800226525,0.561943800226525
char_svm,macro avg,0.5553019480166315,0.5635238853371219,0.5590570986212591,18541.0
char_svm,weighted avg,0.5605210350087119,0.561943800226525,0.5608257181987284,18541.0
word_svm,probing,0.39502762430939226,0.40509915014164305,0.4,4236.0
word_svm,focus,0.547360594795539,0.5422006186478127,0.5447683883380199,6789.0
word_svm,telling,0.5084802128367143,0.49546338302009074,0.5018874117840144,3086.0
word_svm,generic,0.8091825307950727,0.8155756207674943,0.8123664980326026,4430.0
word_svm,accuracy,0.5684159430451432,0.5684159430451432,0.5684159430451432,0.5684159430451432
word_svm,macro avg,0.5650127406841796,0.5645846931442602,0.5647555745386592,18541.0
word_svm,weighted avg,0.5686433656694769,0.5684159430451432,0.5684936479950765,18541.0
hybrid_svm,probing,0.39735560194850383,0.40439093484419264,0.40084240084240086,4236.0
hybrid_svm,focus,0.5506686478454681,0.5458830461039917,0.5482654042458762,6789.0
hybrid_svm,telling,0.5345174262734584,0.516850291639663,0.5255354200988468,3086.0
hybrid_svm,generic,0.8029229406554473,0.818510158013544,0.810641627543036,4430.0
hybrid_svm,accuracy,0.5738633299174801,0.5738633299174801,0.5738633299174801,0.5738633299174801
hybrid_svm,macro avg,0.5713661541807195,0.5714086076503478,0.57132121318254,18541.0
hybrid_svm,weighted avg,0.5732245933153697,0.5738633299174801,0.5734904781745512,18541.0
