classifier_variant,family,arm,target_act,count,mean
char_svm,hard,generic,generic,9,0.1111111111111111
char_svm,hard,generic,probing,2385,0.18071278825995807
char_svm,hard,pedagogy,generic,9,0.2222222222222222
char_svm,hard,pedagogy,probing,2385,0.36058700209643607
char_svm,standard,generic,focus,4221,0.4619758351101635
char_svm,standard,generic,generic,693,0.15295815295815296
char_svm,standard,generic,probing,3690,0.22303523035230352
char_svm,standard,generic,telling,432,0.41435185185185186
char_svm,standard,pedagogy,focus,4221,0.5422885572139303
char_svm,standard,pedagogy,generic,693,0.17893217893217894
char_svm,standard,pedagogy,probing,3690,0.42872628726287265
char_svm,standard,pedagogy,telling,432,0.125
hybrid_svm,hard,generic,generic,9,0.1111111111111111
hybrid_svm,hard,generic,probing,2385,0.16729559748427672
hybrid_svm,hard,pedagogy,generic,9,0.1111111111111111
hybrid_svm,hard,pedagogy,probing,2385,0.3366876310272537
hybrid_svm,standard,generic,focus,4221,0.46363420990286663
hybrid_svm,standard,generic,generic,693,0.15007215007215008
hybrid_svm,standard,generic,probing,3690,0.2105691056910569
hybrid_svm,standard,generic,telling,432,0.44212962962962965
hybrid_svm,standard,pedagogy,focus,4221,0.5787728026533997
hybrid_svm,standard,pedagogy,generic,693,0.1774891774891775
hybrid_svm,standard,pedagogy,probing,3690,0.3897018970189702
hybrid_svm,standard,pedagogy,telling,432,0.125
word_svm,hard,generic,generic,9,0.1111111111111111
word_svm,hard,generic,probing,2385,0.1811320754716981
word_svm,hard,pedagogy,generic,9,0.0
word_svm,hard,pedagogy,probing,2385,0.3270440251572327
word_svm,standard,generic,focus,4221,0.49869699123430467
word_svm,standard,generic,generic,693,0.13564213564213565
word_svm,standard,generic,probing,3690,0.22655826558265582
word_svm,standard,generic,telling,432,0.39351851851851855
word_svm,standard,pedagogy,focus,4221,0.5880123193556029
word_svm,standard,pedagogy,generic,693,0.18037518037518038
word_svm,standard,pedagogy,probing,3690,0.37073170731707317
word_svm,standard,pedagogy,telling,432,0.1111111111111111
