classifier_variant,family,arm,model,count,mean
char_svm,hard,generic,deepseek-v4-flash,266,0.14661654135338345
char_svm,hard,generic,deepseek-v4-pro,266,0.18421052631578946
char_svm,hard,generic,doubao-seed-2.0-lite,266,0.22180451127819548
char_svm,hard,generic,doubao-seed-2.0-pro,266,0.16541353383458646
char_svm,hard,generic,glm-5.2,266,0.3007518796992481
char_svm,hard,generic,minimax-m2.7,266,0.11654135338345864
char_svm,hard,generic,minimax-m3,266,0.16541353383458646
char_svm,hard,generic,qwen3.5-4b,266,0.19172932330827067
char_svm,hard,generic,qwen3.8-27b,266,0.13157894736842105
char_svm,hard,pedagogy,deepseek-v4-flash,266,0.33458646616541354
char_svm,hard,pedagogy,deepseek-v4-pro,266,0.40977443609022557
char_svm,hard,pedagogy,doubao-seed-2.0-lite,266,0.34962406015037595
char_svm,hard,pedagogy,doubao-seed-2.0-pro,266,0.3308270676691729
char_svm,hard,pedagogy,glm-5.2,266,0.42857142857142855
char_svm,hard,pedagogy,minimax-m2.7,266,0.3684210526315789
char_svm,hard,pedagogy,minimax-m3,266,0.424812030075188
char_svm,hard,pedagogy,qwen3.5-4b,266,0.2857142857142857
char_svm,hard,pedagogy,qwen3.8-27b,266,0.3082706766917293
char_svm,standard,generic,deepseek-v4-flash,1004,0.3147410358565737
char_svm,standard,generic,deepseek-v4-pro,1004,0.3804780876494024
char_svm,standard,generic,doubao-seed-2.0-lite,1004,0.37749003984063745
char_svm,standard,generic,doubao-seed-2.0-pro,1004,0.3754980079681275
char_svm,standard,generic,glm-5.2,1004,0.4262948207171315
char_svm,standard,generic,minimax-m2.7,1004,0.2649402390438247
char_svm,standard,generic,minimax-m3,1004,0.30776892430278885
char_svm,standard,generic,qwen3.5-4b,1004,0.3426294820717131
char_svm,standard,generic,qwen3.8-27b,1004,0.2559760956175299
char_svm,standard,pedagogy,deepseek-v4-flash,1004,0.4292828685258964
char_svm,standard,pedagogy,deepseek-v4-pro,1004,0.4800796812749004
char_svm,standard,pedagogy,doubao-seed-2.0-lite,1004,0.4362549800796813
char_svm,standard,pedagogy,doubao-seed-2.0-pro,1004,0.45119521912350596
char_svm,standard,pedagogy,glm-5.2,1004,0.46613545816733065
char_svm,standard,pedagogy,minimax-m2.7,1004,0.43326693227091634
char_svm,standard,pedagogy,minimax-m3,1004,0.46713147410358563
char_svm,standard,pedagogy,qwen3.5-4b,1004,0.4352589641434263
char_svm,standard,pedagogy,qwen3.8-27b,1004,0.4342629482071713
hybrid_svm,hard,generic,deepseek-v4-flash,266,0.14285714285714285
hybrid_svm,hard,generic,deepseek-v4-pro,266,0.16165413533834586
hybrid_svm,hard,generic,doubao-seed-2.0-lite,266,0.16541353383458646
hybrid_svm,hard,generic,doubao-seed-2.0-pro,266,0.16165413533834586
hybrid_svm,hard,generic,glm-5.2,266,0.2781954887218045
hybrid_svm,hard,generic,minimax-m2.7,266,0.10902255639097744
hybrid_svm,hard,generic,minimax-m3,266,0.15037593984962405
hybrid_svm,hard,generic,qwen3.5-4b,266,0.16917293233082706
hybrid_svm,hard,generic,qwen3.8-27b,266,0.16541353383458646
hybrid_svm,hard,pedagogy,deepseek-v4-flash,266,0.3082706766917293
hybrid_svm,hard,pedagogy,deepseek-v4-pro,266,0.39097744360902253
hybrid_svm,hard,pedagogy,doubao-seed-2.0-lite,266,0.2894736842105263
hybrid_svm,hard,pedagogy,doubao-seed-2.0-pro,266,0.3233082706766917
hybrid_svm,hard,pedagogy,glm-5.2,266,0.43609022556390975
hybrid_svm,hard,pedagogy,minimax-m2.7,266,0.3007518796992481
hybrid_svm,hard,pedagogy,minimax-m3,266,0.40977443609022557
hybrid_svm,hard,pedagogy,qwen3.5-4b,266,0.2894736842105263
hybrid_svm,hard,pedagogy,qwen3.8-27b,266,0.2744360902255639
hybrid_svm,standard,generic,deepseek-v4-flash,1004,0.351593625498008
hybrid_svm,standard,generic,deepseek-v4-pro,1004,0.3715139442231076
hybrid_svm,standard,generic,doubao-seed-2.0-lite,1004,0.36254980079681276
hybrid_svm,standard,generic,doubao-seed-2.0-pro,1004,0.33565737051792827
hybrid_svm,standard,generic,glm-5.2,1004,0.40836653386454186
hybrid_svm,standard,generic,minimax-m2.7,1004,0.26095617529880477
hybrid_svm,standard,generic,minimax-m3,1004,0.31772908366533864
hybrid_svm,standard,generic,qwen3.5-4b,1004,0.3197211155378486
hybrid_svm,standard,generic,qwen3.8-27b,1004,0.28884462151394424
hybrid_svm,standard,pedagogy,deepseek-v4-flash,1004,0.44721115537848605
hybrid_svm,standard,pedagogy,deepseek-v4-pro,1004,0.46613545816733065
hybrid_svm,standard,pedagogy,doubao-seed-2.0-lite,1004,0.44223107569721115
hybrid_svm,standard,pedagogy,doubao-seed-2.0-pro,1004,0.449203187250996
hybrid_svm,standard,pedagogy,glm-5.2,1004,0.4701195219123506
hybrid_svm,standard,pedagogy,minimax-m2.7,1004,0.4452191235059761
hybrid_svm,standard,pedagogy,minimax-m3,1004,0.45617529880478086
hybrid_svm,standard,pedagogy,qwen3.5-4b,1004,0.4292828685258964
hybrid_svm,standard,pedagogy,qwen3.8-27b,1004,0.4362549800796813
word_svm,hard,generic,deepseek-v4-flash,266,0.16165413533834586
word_svm,hard,generic,deepseek-v4-pro,266,0.20300751879699247
word_svm,hard,generic,doubao-seed-2.0-lite,266,0.15037593984962405
word_svm,hard,generic,doubao-seed-2.0-pro,266,0.18796992481203006
word_svm,hard,generic,glm-5.2,266,0.2669172932330827
word_svm,hard,generic,minimax-m2.7,266,0.12781954887218044
word_svm,hard,generic,minimax-m3,266,0.18796992481203006
word_svm,hard,generic,qwen3.5-4b,266,0.14661654135338345
word_svm,hard,generic,qwen3.8-27b,266,0.19548872180451127
word_svm,hard,pedagogy,deepseek-v4-flash,266,0.32706766917293234
word_svm,hard,pedagogy,deepseek-v4-pro,266,0.3533834586466165
word_svm,hard,pedagogy,doubao-seed-2.0-lite,266,0.24812030075187969
word_svm,hard,pedagogy,doubao-seed-2.0-pro,266,0.3383458646616541
word_svm,hard,pedagogy,glm-5.2,266,0.39473684210526316
word_svm,hard,pedagogy,minimax-m2.7,266,0.2706766917293233
word_svm,hard,pedagogy,minimax-m3,266,0.37218045112781956
word_svm,hard,pedagogy,qwen3.5-4b,266,0.30451127819548873
word_svm,hard,pedagogy,qwen3.8-27b,266,0.3233082706766917
word_svm,standard,generic,deepseek-v4-flash,1004,0.36752988047808766
word_svm,standard,generic,deepseek-v4-pro,1004,0.39641434262948205
word_svm,standard,generic,doubao-seed-2.0-lite,1004,0.38745019920318724
word_svm,standard,generic,doubao-seed-2.0-pro,1004,0.35856573705179284
word_svm,standard,generic,glm-5.2,1004,0.4123505976095618
word_svm,standard,generic,minimax-m2.7,1004,0.2958167330677291
word_svm,standard,generic,minimax-m3,1004,0.33167330677290835
word_svm,standard,generic,qwen3.5-4b,1004,0.3107569721115538
word_svm,standard,generic,qwen3.8-27b,1004,0.33167330677290835
word_svm,standard,pedagogy,deepseek-v4-flash,1004,0.44223107569721115
word_svm,standard,pedagogy,deepseek-v4-pro,1004,0.46912350597609564
word_svm,standard,pedagogy,doubao-seed-2.0-lite,1004,0.4402390438247012
word_svm,standard,pedagogy,doubao-seed-2.0-pro,1004,0.4452191235059761
word_svm,standard,pedagogy,glm-5.2,1004,0.47908366533864544
word_svm,standard,pedagogy,minimax-m2.7,1004,0.4452191235059761
word_svm,standard,pedagogy,minimax-m3,1004,0.44322709163346613
word_svm,standard,pedagogy,qwen3.5-4b,1004,0.4252988047808765
word_svm,standard,pedagogy,qwen3.8-27b,1004,0.41733067729083667
