classifier_variant,family,model,n_pairs,generic_match,pedagogy_match,mean_delta,bootstrap_ci_low,bootstrap_ci_high,improved_pairs,worsened_pairs,mcnemar_exact_p
char_svm,hard,deepseek-v4-flash,266,0.14661654135338345,0.33458646616541354,0.18796992481203006,0.12406015037593984,0.2556390977443609,72,22,2.2605981543610277e-07
char_svm,hard,deepseek-v4-pro,266,0.18421052631578946,0.40977443609022557,0.22556390977443608,0.16165413533834586,0.2932330827067669,77,17,2.7046423167464105e-10
char_svm,hard,doubao-seed-2.0-lite,266,0.22180451127819548,0.34962406015037595,0.12781954887218044,0.06015037593984962,0.19548872180451127,62,28,0.0004379221966341338
char_svm,hard,doubao-seed-2.0-pro,266,0.16541353383458646,0.3308270676691729,0.16541353383458646,0.09774436090225563,0.23308270676691728,68,24,4.935351419046992e-06
char_svm,hard,glm-5.2,266,0.3007518796992481,0.42857142857142855,0.12781954887218044,0.06390977443609022,0.19548872180451127,60,26,0.00031699928227764087
char_svm,hard,minimax-m2.7,266,0.11654135338345864,0.3684210526315789,0.2518796992481203,0.18421052631578946,0.3233082706766917,84,17,7.85196723436316e-12
char_svm,hard,minimax-m3,266,0.16541353383458646,0.424812030075188,0.2593984962406015,0.18796992481203006,0.3308270676691729,88,19,8.481335709263928e-12
char_svm,hard,qwen3.5-4b,266,0.19172932330827067,0.2857142857142857,0.09398496240601503,0.03007518796992481,0.15789473684210525,52,27,0.006553297670283778
char_svm,hard,qwen3.8-27b,266,0.13157894736842105,0.3082706766917293,0.17669172932330826,0.11278195488721804,0.24060150375939848,65,18,2.1054542433593656e-07
char_svm,standard,deepseek-v4-flash,1004,0.3147410358565737,0.4292828685258964,0.1145418326693227,0.07669322709163347,0.15239043824701196,256,141,8.371882541060226e-09
char_svm,standard,deepseek-v4-pro,1004,0.3804780876494024,0.4800796812749004,0.099601593625498,0.06274900398406374,0.13645418326693226,239,139,3.043818584300446e-07
char_svm,standard,doubao-seed-2.0-lite,1004,0.37749003984063745,0.4362549800796813,0.05876494023904383,0.0218874501992032,0.09561752988047809,204,145,0.0018636852623713505
char_svm,standard,doubao-seed-2.0-pro,1004,0.3754980079681275,0.45119521912350596,0.07569721115537849,0.03884462151394422,0.11155378486055777,214,138,6.02248732958845e-05
char_svm,standard,glm-5.2,1004,0.4262948207171315,0.46613545816733065,0.0398406374501992,0.00298804780876494,0.07768924302788845,210,170,0.045286981400180656
char_svm,standard,minimax-m2.7,1004,0.2649402390438247,0.43326693227091634,0.16832669322709162,0.13147410358565736,0.20717131474103587,283,114,1.0849247892815597e-17
char_svm,standard,minimax-m3,1004,0.30776892430278885,0.46713147410358563,0.1593625498007968,0.1205179282868526,0.19721115537848605,284,124,1.5175383703299502e-15
char_svm,standard,qwen3.5-4b,1004,0.3426294820717131,0.4352589641434263,0.09262948207171315,0.052788844621513946,0.13247011952191234,243,150,3.140548539911173e-06
char_svm,standard,qwen3.8-27b,1004,0.2559760956175299,0.4342629482071713,0.17828685258964144,0.14143426294820718,0.2151394422310757,281,102,1.8391601394374433e-20
hybrid_svm,hard,deepseek-v4-flash,266,0.14285714285714285,0.3082706766917293,0.16541353383458646,0.10526315789473684,0.22556390977443608,60,16,3.850977823529725e-07
hybrid_svm,hard,deepseek-v4-pro,266,0.16165413533834586,0.39097744360902253,0.22932330827067668,0.16165413533834586,0.3007518796992481,82,21,1.0696750216702928e-09
hybrid_svm,hard,doubao-seed-2.0-lite,266,0.16541353383458646,0.2894736842105263,0.12406015037593984,0.06766917293233082,0.18421052631578946,50,17,6.73797366691546e-05
hybrid_svm,hard,doubao-seed-2.0-pro,266,0.16165413533834586,0.3233082706766917,0.16165413533834586,0.08646616541353383,0.22941729323308305,72,29,2.2369582656172593e-05
hybrid_svm,hard,glm-5.2,266,0.2781954887218045,0.43609022556390975,0.15789473684210525,0.08646616541353383,0.22932330827067668,71,29,3.2160015295666335e-05
hybrid_svm,hard,minimax-m2.7,266,0.10902255639097744,0.3007518796992481,0.19172932330827067,0.12781954887218044,0.2556390977443609,69,18,3.321617372543578e-08
hybrid_svm,hard,minimax-m3,266,0.15037593984962405,0.40977443609022557,0.2593984962406015,0.18796992481203006,0.3308270676691729,92,23,5.7870792629827734e-11
hybrid_svm,hard,qwen3.5-4b,266,0.16917293233082706,0.2894736842105263,0.12030075187969924,0.04877819548872184,0.18806390977443643,65,33,0.0016005802102081264
hybrid_svm,hard,qwen3.8-27b,266,0.16541353383458646,0.2744360902255639,0.10902255639097744,0.045112781954887216,0.17293233082706766,56,27,0.0019314374822250477
hybrid_svm,standard,deepseek-v4-flash,1004,0.351593625498008,0.44721115537848605,0.09561752988047809,0.05776892430278884,0.13346613545816732,244,148,1.4271145073122018e-06
hybrid_svm,standard,deepseek-v4-pro,1004,0.3715139442231076,0.46613545816733065,0.0946215139442231,0.05776892430278884,0.13247011952191234,231,136,8.093416997692548e-07
hybrid_svm,standard,doubao-seed-2.0-lite,1004,0.36254980079681276,0.44223107569721115,0.0796812749003984,0.04282868525896414,0.11752988047808766,228,148,4.343062279935412e-05
hybrid_svm,standard,doubao-seed-2.0-pro,1004,0.33565737051792827,0.449203187250996,0.11354581673306773,0.07669322709163347,0.150398406374502,251,137,7.591743762976493e-09
hybrid_svm,standard,glm-5.2,1004,0.40836653386454186,0.4701195219123506,0.061752988047808766,0.02390438247011952,0.09860557768924302,226,164,0.0019711711146985457
