classifier_variant,family,predicted_act,generic,pedagogy,pedagogy_minus_generic
char_svm,hard,focus,0.3742690058479532,0.47869674185463656,0.10442773600668337
char_svm,hard,generic,0.03258145363408521,0.06432748538011696,0.031746031746031744
char_svm,hard,probing,0.1808688387635756,0.36006683375104426,0.17919799498746866
char_svm,hard,telling,0.41228070175438597,0.09690893901420217,-0.3153717627401838
char_svm,standard,focus,0.417220008853475,0.4807436918990704,0.06352368304559541
char_svm,standard,generic,0.05555555555555555,0.08455068614431165,0.028995130588756093
char_svm,standard,probing,0.17253209384683488,0.3598937583001328,0.18736166445329794
char_svm,standard,telling,0.35469234174413455,0.07481186365648516,-0.2798804780876494
hybrid_svm,hard,focus,0.40601503759398494,0.5146198830409356,0.1086048454469507
hybrid_svm,hard,generic,0.03759398496240601,0.054720133667502086,0.017126148705096073
hybrid_svm,hard,probing,0.1670843776106934,0.33709273182957394,0.17000835421888055
hybrid_svm,hard,telling,0.3893065998329156,0.0935672514619883,-0.2957393483709273
hybrid_svm,standard,focus,0.43382027445772464,0.5252324037184595,0.09141212926073483
hybrid_svm,standard,generic,0.060756972111553786,0.08233731739707835,0.021580345285524563
hybrid_svm,standard,probing,0.1615759185480301,0.3265825586542718,0.16500664010624172
hybrid_svm,standard,telling,0.34384683488269147,0.06584772023019035,-0.2779991146525011
word_svm,hard,focus,0.42314118629908104,0.5334168755221387,0.11027568922305764
word_svm,hard,generic,0.032999164578111945,0.04469507101086048,0.011695906432748537
word_svm,hard,probing,0.18170426065162906,0.3283208020050125,0.14661654135338345
word_svm,hard,telling,0.36215538847117795,0.0935672514619883,-0.26858813700918965
word_svm,standard,focus,0.46879150066401065,0.5384019477644976,0.06961044710048692
word_svm,standard,generic,0.055002213368747235,0.08421868083222665,0.029216467463479417
word_svm,standard,probing,0.17983621071270472,0.3147410358565737,0.13490482514386898
word_svm,standard,telling,0.2963700752545374,0.06263833554670208,-0.23373173970783534
