benchmark,family,item_id,target_act,target_source
mathtutorbench_scaffolding,standard,scaffolding-0,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-1,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-2,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-3,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-4,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-5,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-6,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-7,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-8,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-9,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-10,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-11,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-12,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-13,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-14,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-15,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-16,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-17,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-18,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-19,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-20,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-21,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-22,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-23,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-24,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-25,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-26,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-27,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-28,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-29,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-30,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-31,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-32,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-33,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-34,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-35,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-36,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-37,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-38,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-39,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-40,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-41,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-42,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-43,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-44,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-45,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-46,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-47,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-48,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-49,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-50,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-51,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-52,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-53,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-54,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-55,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-56,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-57,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-58,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-59,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-60,telling,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-61,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-62,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-63,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-64,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-65,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-66,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-67,generic,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-68,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-69,generic,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-70,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-71,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-72,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-73,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-74,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-75,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-76,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-77,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-78,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-79,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-80,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-81,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-82,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-83,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-84,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-85,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-86,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-87,generic,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-88,generic,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-89,probing,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-90,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-91,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-92,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-93,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-94,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-95,focus,exact_human_lookup
mathtutorbench_scaffolding,standard,scaffolding-96,probing,exact_human_lookup
