task,model,axis,contexts,mean_delta,source
mathdial_hard,deepseek-v4-pro,instructional_agency,34,-1.3088235294117647,confirmatory_formal
mathdial_hard,deepseek-v4-pro,next_step_actionability,34,0.8088235294117647,confirmatory_formal
mathdial_hard,deepseek-v4-pro,relational_communion,34,0.0441176470588235,confirmatory_formal
mathdial_hard,doubao-seed-2.0-pro,instructional_agency,34,-1.0588235294117647,confirmatory_formal
mathdial_hard,doubao-seed-2.0-pro,next_step_actionability,34,1.0,confirmatory_formal
mathdial_hard,doubao-seed-2.0-pro,relational_communion,34,-0.5441176470588235,confirmatory_formal
mathdial_hard,glm-5.2,instructional_agency,34,-0.4117647058823529,confirmatory_formal
mathdial_hard,glm-5.2,next_step_actionability,34,0.3970588235294117,confirmatory_formal
mathdial_hard,glm-5.2,relational_communion,34,-0.3529411764705882,confirmatory_formal
mathdial_hard,minimax-m2.7,instructional_agency,34,-1.2794117647058822,confirmatory_formal
mathdial_hard,minimax-m2.7,next_step_actionability,34,1.4264705882352942,confirmatory_formal
mathdial_hard,minimax-m2.7,relational_communion,34,0.1764705882352941,confirmatory_formal
mathdial_hard,minimax-m3,instructional_agency,34,-1.0735294117647058,confirmatory_formal
mathdial_hard,minimax-m3,next_step_actionability,34,0.7794117647058824,confirmatory_formal
mathdial_hard,minimax-m3,relational_communion,34,-0.088235294117647,confirmatory_formal
mathdial_hard,qwen3.5-4b,instructional_agency,34,-1.1029411764705883,confirmatory_formal
mathdial_hard,qwen3.5-4b,next_step_actionability,34,0.8676470588235294,confirmatory_formal
mathdial_hard,qwen3.5-4b,relational_communion,34,-0.3970588235294117,confirmatory_formal
mathdial_standard,deepseek-v4-pro,instructional_agency,74,-0.7432432432432432,confirmatory_formal
mathdial_standard,deepseek-v4-pro,next_step_actionability,74,0.7972972972972973,confirmatory_formal
mathdial_standard,deepseek-v4-pro,relational_communion,74,-0.1621621621621621,confirmatory_formal
mathdial_standard,doubao-seed-2.0-pro,instructional_agency,74,-1.351351351351351,confirmatory_formal
mathdial_standard,doubao-seed-2.0-pro,next_step_actionability,74,1.148648648648649,confirmatory_formal
mathdial_standard,doubao-seed-2.0-pro,relational_communion,74,-0.3716216216216216,confirmatory_formal
mathdial_standard,glm-5.2,instructional_agency,74,-0.3445945945945945,confirmatory_formal
mathdial_standard,glm-5.2,next_step_actionability,74,0.3310810810810811,confirmatory_formal
mathdial_standard,glm-5.2,relational_communion,74,-0.2635135135135135,confirmatory_formal
mathdial_standard,minimax-m2.7,instructional_agency,74,-1.5337837837837838,confirmatory_formal
mathdial_standard,minimax-m2.7,next_step_actionability,74,1.864864864864865,confirmatory_formal
mathdial_standard,minimax-m2.7,relational_communion,74,0.2229729729729729,confirmatory_formal
mathdial_standard,minimax-m3,instructional_agency,74,-1.087837837837838,confirmatory_formal
mathdial_standard,minimax-m3,next_step_actionability,74,0.9594594594594594,confirmatory_formal
mathdial_standard,minimax-m3,relational_communion,74,-0.1689189189189189,confirmatory_formal
mathdial_standard,qwen3.5-4b,instructional_agency,74,-0.9121621621621622,confirmatory_formal
mathdial_standard,qwen3.5-4b,next_step_actionability,74,1.1824324324324325,confirmatory_formal
mathdial_standard,qwen3.5-4b,relational_communion,74,-0.2905405405405405,confirmatory_formal
mathdial_hard,deepseek-v4-pro,assistance_directness,40,-1.7,frozen_semantic_panel
mathdial_hard,doubao-seed-2.0-pro,assistance_directness,40,-1.875,frozen_semantic_panel
mathdial_hard,glm-5.2,assistance_directness,40,-0.6,frozen_semantic_panel
mathdial_hard,minimax-m2.7,assistance_directness,40,-1.95,frozen_semantic_panel
mathdial_hard,minimax-m3,assistance_directness,40,-1.9,frozen_semantic_panel
mathdial_hard,qwen3.5-4b,assistance_directness,40,-1.225,frozen_semantic_panel
mathdial_standard,deepseek-v4-pro,assistance_directness,79,-1.3924050632911391,frozen_semantic_panel
mathdial_standard,doubao-seed-2.0-pro,assistance_directness,79,-2.316455696202532,frozen_semantic_panel
mathdial_standard,glm-5.2,assistance_directness,79,-1.1012658227848102,frozen_semantic_panel
mathdial_standard,minimax-m2.7,assistance_directness,79,-2.2278481012658227,frozen_semantic_panel
mathdial_standard,minimax-m3,assistance_directness,79,-2.151898734177215,frozen_semantic_panel
mathdial_standard,qwen3.5-4b,assistance_directness,79,-1.0632911392405062,frozen_semantic_panel
