event,comparison,baseline,model,sources,mean_difference,source_standard_error,test_note,bootstrap_95_low,bootstrap_95_high,t_interval_alpha,t_interval_low,t_interval_high,judge_panel
answer_reveal,default_vs_context,context,default_profile,32,0.09066600906746664,0.009320307258910752,,0.0720774482979939,0.10739076583877111,0.05,0.07165711708837211,0.10967490104656116,all_three_soft
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.00047430405751897194,0.0004267116108124501,,-0.0003305607198366022,0.0013234888083196472,0.05,-0.00039598001046649105,0.0013445881255044348,all_three_soft
reasoning_elicitation,default_vs_context,context,default_profile,32,0.1276295821882592,0.0038215339462329507,,0.12026716279384131,0.1348487721695888,0.05,0.11983551231905677,0.13542365205746162,all_three_soft
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,2.2573970661688737e-06,0.00039291810860728904,,-0.0007314300003648492,0.0007503463450637527,0.05,-0.0007991043687710414,0.0008036191629033791,all_three_soft
affect_acknowledgement,default_vs_context,context,default_profile,32,0.018875086644766465,0.0027200894972490195,,0.013469190405027887,0.023883268856460006,0.05,0.013327427539725444,0.024422745749807486,all_three_soft
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.008927817425427805,0.0021833953714416776,,0.004627858278229295,0.013052721069361534,0.05,0.004474753206572824,0.013380881644282788,all_three_soft
answer_reveal,default_vs_context,context,default_profile,32,0.09072725163105994,0.008902664351419242,,0.07295387676766303,0.10686904809022992,0.05,0.07257014797758643,0.10888435528453344,exclude_generator_family
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0005109258200197472,0.00043531756342268585,,-0.000309115307785296,0.0013772097440228601,0.05,-0.0003769102040333418,0.001398761844072836,exclude_generator_family
reasoning_elicitation,default_vs_context,context,default_profile,32,0.12633719338825178,0.003978548673458754,,0.11863968995020129,0.1337888633935346,0.05,0.11822288987159006,0.1344514969049135,exclude_generator_family
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.00012279986009487817,0.0003899143524968877,,-0.0008378287675279005,0.0006199875032682598,0.05,-0.0009180354249552295,0.0006724357047654732,exclude_generator_family
affect_acknowledgement,default_vs_context,context,default_profile,32,0.01837721490560805,0.0026493101988072196,,0.013141053488452707,0.02328578981803616,0.05,0.012973911131465583,0.023780518679750517,exclude_generator_family
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.008353112224512608,0.0020773422886793498,,0.004295982453079694,0.012311744433523501,0.05,0.004116344693983184,0.01258987975504203,exclude_generator_family
answer_reveal,default_vs_context,context,default_profile,32,0.09561581738275723,0.008575512490233438,,0.07836796666235697,0.11126043230221709,0.05,0.0781259443491858,0.11310569041632867,single_MiniMax-M3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.000592954779815847,0.00044089923471191323,,-0.00023823085179504325,0.0014816653422456674,0.05,-0.000306265137884986,0.00149217469751668,single_MiniMax-M3
reasoning_elicitation,default_vs_context,context,default_profile,32,0.13110612863684323,0.004014850180255811,,0.12336239425615277,0.138766079529028,0.05,0.12291778770894446,0.139294469564742,single_MiniMax-M3
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.0002896344742871204,0.0005416871584212117,,-0.0013261657275555892,0.0007644536394206793,0.05,-0.001394412717627443,0.0008151437690532021,single_MiniMax-M3
affect_acknowledgement,default_vs_context,context,default_profile,32,0.020170543116199553,0.0029740598934787747,,0.014246945586138926,0.025614745644405593,0.05,0.014104907973061322,0.026236178259337783,single_MiniMax-M3
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.00696994734476397,0.0023424537923347187,,0.002397349082166213,0.011410649494457952,0.05,0.0021924813377350513,0.011747413351792888,single_MiniMax-M3
answer_reveal,default_vs_context,context,default_profile,32,0.08570522376798291,0.009446093889749258,,0.06704368895040785,0.10298749821439673,0.05,0.06643978826391635,0.10497065927204947,single_deepseek-v4-pro
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0004325973503629578,0.00048104163311785483,,-0.0004617662290046482,0.0013966526187235476,0.05,-0.0005484935286573948,0.0014136882293833103,single_deepseek-v4-pro
reasoning_elicitation,default_vs_context,context,default_profile,32,0.1244151707156482,0.0043577999382953345,,0.11582602678012435,0.13261512368738781,0.05,0.11552737914478943,0.13330296228650698,single_deepseek-v4-pro
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.00029719098569997663,0.0003724245704182293,,-0.0010026888292276814,0.0004580143666542245,0.05,-0.0010567559048363612,0.000462373933436408,single_deepseek-v4-pro
affect_acknowledgement,default_vs_context,context,default_profile,32,0.019143955796399627,0.0030293859577789997,,0.013127812679872666,0.024662899341473872,0.05,0.012965482401184895,0.02532242919161436,single_deepseek-v4-pro
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.010032011647852451,0.0023779925749288014,,0.005379685725735451,0.014570354902903928,0.05,0.005182063815854342,0.014881959479850559,single_deepseek-v4-pro
answer_reveal,default_vs_context,context,default_profile,32,0.09069469450062853,0.010241572522091858,,0.06998982175571836,0.10897825206762644,0.05,0.06980686962957822,0.11158251937167885,single_glm-5.3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.0003686386287913144,0.0003882197452762164,,-0.00035395938741518385,0.0011571811103110727,0.05,-0.0004231407618561175,0.0011604180194387463,single_glm-5.3
reasoning_elicitation,default_vs_context,context,default_profile,32,0.1276540687756522,0.004416320108478552,,0.11922585130192412,0.13594546286400958,0.05,0.11864692453081933,0.13666121302048503,single_glm-5.3
reasoning_elicitation,student_state_vs_domain,domain_profile,conditional_profile,32,-0.0003006504091022763,0.0006339529273825956,,-0.0014953140291848906,0.000941880760375801,0.05,-0.0015936059288814458,0.0009923051106768932,single_glm-5.3
affect_acknowledgement,default_vs_context,context,default_profile,32,0.016988522612246704,0.0023648331029549,,0.012268345730918062,0.02141147105151238,0.05,0.012165413700286842,0.021811631524206565,single_glm-5.3
affect_acknowledgement,student_state_vs_domain,domain_profile,conditional_profile,32,0.010522442228293582,0.0021734111032878064,,0.006346675387161217,0.014564546311328704,0.05,0.006089741058590848,0.014955143397996315,single_glm-5.3
answer_reveal,default_vs_context,context,default_profile,32,0.08820252383814674,0.009729851172264662,,0.06874654011813995,0.10559273377560444,0.05,0.0683583615408771,0.10804668613541638,without_MiniMax-M3
answer_reveal,student_state_vs_domain,domain_profile,conditional_profile,32,0.00040449926122137407,0.0004215972484501245,,-0.00038517706492998365,0.001250261236849647,0.05,-0.0004553539959563822,0.0012643525183991303,without_MiniMax-M3
