model,event,size,mean
MiniMax-M2.7,affect_acknowledgement,256,0.26953125
MiniMax-M2.7,answer_reveal,256,0.99609375
MiniMax-M2.7,epistemic_qualification,256,0.046875
MiniMax-M2.7,information_request,256,0.0
MiniMax-M2.7,learner_choice,256,0.1171875
MiniMax-M2.7,reasoning_elicitation,256,0.08203125
MiniMax-M2.7,unsupported_ability_claim,256,0.06640625
MiniMax-M2.7,worked_explanation,256,0.98046875
MiniMax-M3,affect_acknowledgement,256,0.69921875
MiniMax-M3,answer_reveal,256,0.83203125
MiniMax-M3,epistemic_qualification,256,0.05859375
MiniMax-M3,information_request,256,0.0
MiniMax-M3,learner_choice,256,0.2578125
MiniMax-M3,reasoning_elicitation,256,0.484375
MiniMax-M3,unsupported_ability_claim,256,0.1796875
MiniMax-M3,worked_explanation,256,0.921875
deepseek-v4-pro,affect_acknowledgement,256,0.58984375
deepseek-v4-pro,answer_reveal,256,1.0
deepseek-v4-pro,epistemic_qualification,256,0.09375
deepseek-v4-pro,information_request,256,0.0
deepseek-v4-pro,learner_choice,256,0.04296875
deepseek-v4-pro,reasoning_elicitation,256,0.01953125
deepseek-v4-pro,unsupported_ability_claim,256,0.01953125
deepseek-v4-pro,worked_explanation,256,0.96875
doubao-seed-2.0-lite,affect_acknowledgement,256,0.609375
doubao-seed-2.0-lite,answer_reveal,256,1.0
doubao-seed-2.0-lite,epistemic_qualification,256,0.03125
doubao-seed-2.0-lite,information_request,256,0.0
doubao-seed-2.0-lite,learner_choice,256,0.0390625
doubao-seed-2.0-lite,reasoning_elicitation,256,0.04296875
doubao-seed-2.0-lite,unsupported_ability_claim,256,0.01171875
doubao-seed-2.0-lite,worked_explanation,256,0.9921875
glm-5.3,affect_acknowledgement,256,0.51171875
glm-5.3,answer_reveal,256,0.22265625
glm-5.3,epistemic_qualification,256,0.04296875
glm-5.3,information_request,256,0.0
glm-5.3,learner_choice,256,0.0390625
glm-5.3,reasoning_elicitation,256,0.96484375
glm-5.3,unsupported_ability_claim,256,0.0234375
glm-5.3,worked_explanation,256,0.7890625
