model,event,progress,affect,size,mean
MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,64,0.03125
MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,64,0.25
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,64,0.140625
MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,64,0.65625
MiniMax-M2.7,answer_reveal,correct_partial,calm,64,0.984375
MiniMax-M2.7,answer_reveal,correct_partial,frustrated,64,1.0
MiniMax-M2.7,answer_reveal,wrong_attempt,calm,64,1.0
MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,64,1.0
MiniMax-M2.7,epistemic_qualification,correct_partial,calm,64,0.03125
MiniMax-M2.7,epistemic_qualification,correct_partial,frustrated,64,0.03125
MiniMax-M2.7,epistemic_qualification,wrong_attempt,calm,64,0.03125
MiniMax-M2.7,epistemic_qualification,wrong_attempt,frustrated,64,0.09375
MiniMax-M2.7,information_request,correct_partial,calm,64,0.0
MiniMax-M2.7,information_request,correct_partial,frustrated,64,0.0
MiniMax-M2.7,information_request,wrong_attempt,calm,64,0.0
MiniMax-M2.7,information_request,wrong_attempt,frustrated,64,0.0
MiniMax-M2.7,learner_choice,correct_partial,calm,64,0.109375
MiniMax-M2.7,learner_choice,correct_partial,frustrated,64,0.046875
MiniMax-M2.7,learner_choice,wrong_attempt,calm,64,0.078125
MiniMax-M2.7,learner_choice,wrong_attempt,frustrated,64,0.234375
MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,64,0.046875
MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,64,0.046875
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,64,0.140625
MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,64,0.09375
MiniMax-M2.7,unsupported_ability_claim,correct_partial,calm,64,0.0
MiniMax-M2.7,unsupported_ability_claim,correct_partial,frustrated,64,0.0625
MiniMax-M2.7,unsupported_ability_claim,wrong_attempt,calm,64,0.046875
MiniMax-M2.7,unsupported_ability_claim,wrong_attempt,frustrated,64,0.15625
MiniMax-M2.7,worked_explanation,correct_partial,calm,64,0.984375
MiniMax-M2.7,worked_explanation,correct_partial,frustrated,64,0.9375
MiniMax-M2.7,worked_explanation,wrong_attempt,calm,64,1.0
MiniMax-M2.7,worked_explanation,wrong_attempt,frustrated,64,1.0
MiniMax-M3,affect_acknowledgement,correct_partial,calm,64,0.40625
MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,64,0.890625
MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,64,0.5625
MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,64,0.9375
MiniMax-M3,answer_reveal,correct_partial,calm,64,0.75
MiniMax-M3,answer_reveal,correct_partial,frustrated,64,0.875
MiniMax-M3,answer_reveal,wrong_attempt,calm,64,0.828125
MiniMax-M3,answer_reveal,wrong_attempt,frustrated,64,0.875
MiniMax-M3,epistemic_qualification,correct_partial,calm,64,0.046875
MiniMax-M3,epistemic_qualification,correct_partial,frustrated,64,0.0625
MiniMax-M3,epistemic_qualification,wrong_attempt,calm,64,0.078125
MiniMax-M3,epistemic_qualification,wrong_attempt,frustrated,64,0.046875
MiniMax-M3,information_request,correct_partial,calm,64,0.0
MiniMax-M3,information_request,correct_partial,frustrated,64,0.0
MiniMax-M3,information_request,wrong_attempt,calm,64,0.0
MiniMax-M3,information_request,wrong_attempt,frustrated,64,0.0
MiniMax-M3,learner_choice,correct_partial,calm,64,0.234375
MiniMax-M3,learner_choice,correct_partial,frustrated,64,0.234375
MiniMax-M3,learner_choice,wrong_attempt,calm,64,0.265625
MiniMax-M3,learner_choice,wrong_attempt,frustrated,64,0.296875
MiniMax-M3,reasoning_elicitation,correct_partial,calm,64,0.421875
MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,64,0.40625
MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,64,0.546875
MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,64,0.5625
MiniMax-M3,unsupported_ability_claim,correct_partial,calm,64,0.109375
MiniMax-M3,unsupported_ability_claim,correct_partial,frustrated,64,0.25
MiniMax-M3,unsupported_ability_claim,wrong_attempt,calm,64,0.046875
MiniMax-M3,unsupported_ability_claim,wrong_attempt,frustrated,64,0.3125
MiniMax-M3,worked_explanation,correct_partial,calm,64,0.796875
MiniMax-M3,worked_explanation,correct_partial,frustrated,64,0.96875
MiniMax-M3,worked_explanation,wrong_attempt,calm,64,0.921875
MiniMax-M3,worked_explanation,wrong_attempt,frustrated,64,1.0
deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,64,0.34375
deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,64,0.53125
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,64,0.71875
deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,64,0.765625
