request_id,judge_requested,judge_returned,valid,error
fc820c11fa1c663621ba:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
14e1ef957c0f6daac21e:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e2228c138ed945a05240:glm-5.3,glm-5.3,glm-5.3,True,
6b91cb308b6c34ead1a8:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
4d5e70246f4fee788e41:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
ea5e8ae881ea968a1fb1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
d45752e5cdf3ccaa55f5:glm-5.3,glm-5.3,glm-5.3,True,
ed8397f6a67bff369c24:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
7b48b8341b45ab4400d7:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ff809ab7f97c213dad2c:glm-5.3,glm-5.3,glm-5.3,True,
26c3d590aad03f70a27b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
06fded11864a412d307e:glm-5.3,glm-5.3,glm-5.3,True,
dc81b028d978160d8e21:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
7964e8712a903259008b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
876fa475344c2455dde0:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b8fdb864dc97a996a48b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
2bb0f6f8bf02abfc32ed:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
98c2996d9a66cdec8328:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
24822662a2c616760071:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
98807dbd123314dad4b3:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
3de9d2ec065032b4633d:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
12d2ae3ff52168998a58:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d0333c83491743a57d50:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
4a504dd7629865e98b06:glm-5.3,glm-5.3,glm-5.3,True,
335c445af0558b6829f4:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ca894ff205a8684a66be:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
1ff53b80c21397f7fcdc:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
38380290adee4904d55a:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
cd252a86fb9b79698d2f:glm-5.3,glm-5.3,glm-5.3,True,
54cd011e50dbf2d0f78e:glm-5.3,glm-5.3,glm-5.3,True,
ed951dfcb5b9b91c49ba:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
da0ae8d080a33cf3d8f8:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ef959a131581af84250e:glm-5.3,glm-5.3,glm-5.3,True,
db227da31ee04ea45ff2:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
3bb44276bbea9d77e325:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
1bbdc2fd7aa76fa0a651:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5ae2f1a2d2fa45f85011:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
4ce27619edf7cdc46f4d:glm-5.3,glm-5.3,glm-5.3,True,
5ea1bc510cea626d99c3:glm-5.3,glm-5.3,glm-5.3,True,
77243df565523511a12a:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
