event,model,assignment,n,agreement,positive_agreement,negative_agreement
affect_acknowledgement,MiniMax-M2.7,case_00,128,0.7109375,0.463768115942029,0.8021390374331551
affect_acknowledgement,MiniMax-M3,case_00,128,0.7109375,0.7932960893854749,0.5194805194805194
affect_acknowledgement,deepseek-v4-pro,case_00,128,0.7109375,0.7549668874172185,0.6476190476190476
affect_acknowledgement,doubao-seed-2.0-lite,case_00,128,0.90625,0.9230769230769231,0.88
affect_acknowledgement,glm-5.3,case_00,128,0.7109375,0.7175572519083969,0.704
affect_acknowledgement,MiniMax-M2.7,case_01,128,0.7109375,0.463768115942029,0.8021390374331551
affect_acknowledgement,MiniMax-M3,case_01,128,0.7109375,0.7932960893854749,0.5194805194805194
affect_acknowledgement,deepseek-v4-pro,case_01,128,0.7109375,0.7549668874172185,0.6476190476190476
affect_acknowledgement,doubao-seed-2.0-lite,case_01,128,0.90625,0.9230769230769231,0.88
affect_acknowledgement,glm-5.3,case_01,128,0.7109375,0.7175572519083969,0.704
affect_acknowledgement,MiniMax-M2.7,case_10,128,0.7109375,0.463768115942029,0.8021390374331551
affect_acknowledgement,MiniMax-M3,case_10,128,0.7109375,0.7932960893854749,0.5194805194805194
affect_acknowledgement,deepseek-v4-pro,case_10,128,0.7109375,0.7549668874172185,0.6476190476190476
affect_acknowledgement,doubao-seed-2.0-lite,case_10,128,0.90625,0.9230769230769231,0.88
affect_acknowledgement,glm-5.3,case_10,128,0.7109375,0.7175572519083969,0.704
affect_acknowledgement,MiniMax-M2.7,case_11,128,0.7109375,0.463768115942029,0.8021390374331551
affect_acknowledgement,MiniMax-M3,case_11,128,0.7109375,0.7932960893854749,0.5194805194805194
affect_acknowledgement,deepseek-v4-pro,case_11,128,0.7109375,0.7549668874172185,0.6476190476190476
affect_acknowledgement,doubao-seed-2.0-lite,case_11,128,0.90625,0.9230769230769231,0.88
affect_acknowledgement,glm-5.3,case_11,128,0.7109375,0.7175572519083969,0.704
answer_reveal,MiniMax-M2.7,case_00,128,0.9921875,0.996078431372549,0.0
answer_reveal,MiniMax-M3,case_00,128,0.7890625,0.8732394366197183,0.37209302325581395
answer_reveal,deepseek-v4-pro,case_00,128,1.0,1.0,
answer_reveal,doubao-seed-2.0-lite,case_00,128,1.0,1.0,
answer_reveal,glm-5.3,case_00,128,0.7734375,0.49122807017543857,0.8542713567839196
answer_reveal,MiniMax-M2.7,case_01,128,0.9921875,0.996078431372549,0.0
answer_reveal,MiniMax-M3,case_01,128,0.7890625,0.8732394366197183,0.37209302325581395
answer_reveal,deepseek-v4-pro,case_01,128,1.0,1.0,
answer_reveal,doubao-seed-2.0-lite,case_01,128,1.0,1.0,
answer_reveal,glm-5.3,case_01,128,0.7734375,0.49122807017543857,0.8542713567839196
answer_reveal,MiniMax-M2.7,case_10,128,0.9921875,0.996078431372549,0.0
answer_reveal,MiniMax-M3,case_10,128,0.7890625,0.8732394366197183,0.37209302325581395
answer_reveal,deepseek-v4-pro,case_10,128,1.0,1.0,
answer_reveal,doubao-seed-2.0-lite,case_10,128,1.0,1.0,
answer_reveal,glm-5.3,case_10,128,0.7734375,0.49122807017543857,0.8542713567839196
answer_reveal,MiniMax-M2.7,case_11,128,0.9921875,0.996078431372549,0.0
answer_reveal,MiniMax-M3,case_11,128,0.7890625,0.8732394366197183,0.37209302325581395
answer_reveal,deepseek-v4-pro,case_11,128,1.0,1.0,
answer_reveal,doubao-seed-2.0-lite,case_11,128,1.0,1.0,
answer_reveal,glm-5.3,case_11,128,0.7734375,0.49122807017543857,0.8542713567839196
epistemic_qualification,MiniMax-M2.7,case_00,128,0.921875,0.16666666666666666,0.9590163934426229
epistemic_qualification,MiniMax-M3,case_00,128,0.890625,0.0,0.9421487603305785
epistemic_qualification,deepseek-v4-pro,case_00,128,0.9375,0.6666666666666666,0.9655172413793104
epistemic_qualification,doubao-seed-2.0-lite,case_00,128,0.9375,0.0,0.967741935483871
epistemic_qualification,glm-5.3,case_00,128,0.9140625,0.0,0.9551020408163265
epistemic_qualification,MiniMax-M2.7,case_01,128,0.921875,0.16666666666666666,0.9590163934426229
epistemic_qualification,MiniMax-M3,case_01,128,0.8828125,0.0,0.9377593360995851
epistemic_qualification,deepseek-v4-pro,case_01,128,0.9375,0.6666666666666666,0.9655172413793104
epistemic_qualification,doubao-seed-2.0-lite,case_01,128,0.9375,0.0,0.967741935483871
epistemic_qualification,glm-5.3,case_01,128,0.9140625,0.0,0.9551020408163265
epistemic_qualification,MiniMax-M2.7,case_10,128,0.921875,0.16666666666666666,0.9590163934426229
epistemic_qualification,MiniMax-M3,case_10,128,0.8984375,0.13333333333333333,0.946058091286307
epistemic_qualification,deepseek-v4-pro,case_10,128,0.9375,0.6666666666666666,0.9655172413793104
epistemic_qualification,doubao-seed-2.0-lite,case_10,128,0.9375,0.0,0.967741935483871
