event,model,repeat_0_rate,repeat_1_rate
affect_acknowledgement,MiniMax-M2.7,0.25,0.2890625
affect_acknowledgement,MiniMax-M3,0.71875,0.6796875
affect_acknowledgement,deepseek-v4-pro,0.578125,0.6015625
affect_acknowledgement,doubao-seed-2.0-lite,0.609375,0.609375
affect_acknowledgement,glm-5.3,0.5078125,0.515625
answer_reveal,MiniMax-M2.7,0.9921875,1.0
answer_reveal,MiniMax-M3,0.828125,0.8359375
answer_reveal,deepseek-v4-pro,1.0,1.0
answer_reveal,doubao-seed-2.0-lite,1.0,1.0
answer_reveal,glm-5.3,0.2265625,0.21875
epistemic_qualification,MiniMax-M2.7,0.0546875,0.0390625
epistemic_qualification,MiniMax-M3,0.0625,0.0546875
epistemic_qualification,deepseek-v4-pro,0.09375,0.09375
epistemic_qualification,doubao-seed-2.0-lite,0.046875,0.015625
epistemic_qualification,glm-5.3,0.03125,0.0546875
information_request,MiniMax-M2.7,0.0,0.0
information_request,MiniMax-M3,0.0,0.0
information_request,deepseek-v4-pro,0.0,0.0
information_request,doubao-seed-2.0-lite,0.0,0.0
information_request,glm-5.3,0.0,0.0
learner_choice,MiniMax-M2.7,0.1328125,0.1015625
learner_choice,MiniMax-M3,0.2890625,0.2265625
learner_choice,deepseek-v4-pro,0.046875,0.0390625
learner_choice,doubao-seed-2.0-lite,0.0390625,0.0390625
learner_choice,glm-5.3,0.0390625,0.0390625
reasoning_elicitation,MiniMax-M2.7,0.0703125,0.09375
reasoning_elicitation,MiniMax-M3,0.5078125,0.4609375
reasoning_elicitation,deepseek-v4-pro,0.015625,0.0234375
reasoning_elicitation,doubao-seed-2.0-lite,0.046875,0.0390625
reasoning_elicitation,glm-5.3,0.9609375,0.96875
unsupported_ability_claim,MiniMax-M2.7,0.0859375,0.046875
unsupported_ability_claim,MiniMax-M3,0.1640625,0.1953125
unsupported_ability_claim,deepseek-v4-pro,0.0234375,0.015625
unsupported_ability_claim,doubao-seed-2.0-lite,0.0234375,0.0
unsupported_ability_claim,glm-5.3,0.03125,0.015625
worked_explanation,MiniMax-M2.7,0.9765625,0.984375
worked_explanation,MiniMax-M3,0.9296875,0.9140625
worked_explanation,deepseek-v4-pro,0.96875,0.96875
worked_explanation,doubao-seed-2.0-lite,0.9921875,0.9921875
worked_explanation,glm-5.3,0.765625,0.8125
