event,baseline,source_group,brier,judge_panel
affect_acknowledgement,conditional_profile,active_passive_voice,0.1717960565273043,exclude_generator_family
affect_acknowledgement,conditional_profile,all_different_constraint,0.1815973138114736,exclude_generator_family
affect_acknowledgement,conditional_profile,apostrophe_possession,0.16364897970174683,exclude_generator_family
affect_acknowledgement,conditional_profile,binary_place_value,0.19543471714178826,exclude_generator_family
affect_acknowledgement,conditional_profile,binary_search_interval,0.13568006137238137,exclude_generator_family
affect_acknowledgement,conditional_profile,boyles_law,0.1307360199904709,exclude_generator_family
affect_acknowledgement,conditional_profile,chemical_equation_balance,0.1228516033546179,exclude_generator_family
affect_acknowledgement,conditional_profile,contrast_connective,0.19041965262553767,exclude_generator_family
affect_acknowledgement,conditional_profile,direct_speech_punctuation,0.11867369143579531,exclude_generator_family
affect_acknowledgement,conditional_profile,exclusive_or,0.10135423033709381,exclude_generator_family
affect_acknowledgement,conditional_profile,exponent_product,0.14979028560343866,exclude_generator_family
affect_acknowledgement,conditional_profile,factorial_counting,0.10249335780923312,exclude_generator_family
affect_acknowledgement,conditional_profile,figurative_metaphor,0.15730209597399508,exclude_generator_family
affect_acknowledgement,conditional_profile,half_life,0.10054123657244352,exclude_generator_family
affect_acknowledgement,conditional_profile,homophone_selection,0.12648024346647652,exclude_generator_family
affect_acknowledgement,conditional_profile,kinetic_energy,0.13056710817575856,exclude_generator_family
affect_acknowledgement,conditional_profile,least_common_multiple,0.194006753713803,exclude_generator_family
affect_acknowledgement,conditional_profile,loop_accumulation,0.15487681980504933,exclude_generator_family
affect_acknowledgement,conditional_profile,median,0.21137882376209824,exclude_generator_family
affect_acknowledgement,conditional_profile,parallel_structure,0.14418478507073212,exclude_generator_family
affect_acknowledgement,conditional_profile,photosynthesis_inputs,0.2072232110956702,exclude_generator_family
affect_acknowledgement,conditional_profile,pigeonhole_principle,0.12087526884182846,exclude_generator_family
affect_acknowledgement,conditional_profile,pressure,0.148495752547765,exclude_generator_family
affect_acknowledgement,conditional_profile,pythagorean_length,0.14383905318399548,exclude_generator_family
affect_acknowledgement,conditional_profile,rectangular_prism_volume,0.16517575594305073,exclude_generator_family
affect_acknowledgement,conditional_profile,relative_clause_attachment,0.1332404374873654,exclude_generator_family
affect_acknowledgement,conditional_profile,sampling_frame_bias,0.11936545700123458,exclude_generator_family
affect_acknowledgement,conditional_profile,signed_integer_addition,0.15518488516940093,exclude_generator_family
affect_acknowledgement,conditional_profile,triangle_area,0.1416786295467123,exclude_generator_family
affect_acknowledgement,conditional_profile,trophic_energy_transfer,0.0908128764674754,exclude_generator_family
affect_acknowledgement,conditional_profile,turning_moment,0.12362246986563827,exclude_generator_family
affect_acknowledgement,conditional_profile,weighted_graph_path,0.14583594775418499,exclude_generator_family
affect_acknowledgement,context,active_passive_voice,0.19465465702181883,exclude_generator_family
affect_acknowledgement,context,all_different_constraint,0.2133445150106525,exclude_generator_family
affect_acknowledgement,context,apostrophe_possession,0.18303672271180893,exclude_generator_family
affect_acknowledgement,context,binary_place_value,0.20836688249819169,exclude_generator_family
affect_acknowledgement,context,binary_search_interval,0.14405985021457463,exclude_generator_family
affect_acknowledgement,context,boyles_law,0.178025561805681,exclude_generator_family
affect_acknowledgement,context,chemical_equation_balance,0.162759679360992,exclude_generator_family
affect_acknowledgement,context,contrast_connective,0.16957803459581194,exclude_generator_family
affect_acknowledgement,context,direct_speech_punctuation,0.1499873601775129,exclude_generator_family
affect_acknowledgement,context,exclusive_or,0.14228692217026995,exclude_generator_family
affect_acknowledgement,context,exponent_product,0.18521047998837986,exclude_generator_family
affect_acknowledgement,context,factorial_counting,0.16004422900307133,exclude_generator_family
affect_acknowledgement,context,figurative_metaphor,0.14300116057374296,exclude_generator_family
affect_acknowledgement,context,half_life,0.10962079588179992,exclude_generator_family
affect_acknowledgement,context,homophone_selection,0.1702947120398371,exclude_generator_family
affect_acknowledgement,context,kinetic_energy,0.16705581423423524,exclude_generator_family
affect_acknowledgement,context,least_common_multiple,0.22528479920379932,exclude_generator_family
affect_acknowledgement,context,loop_accumulation,0.19592560826525857,exclude_generator_family
affect_acknowledgement,context,median,0.21279710987017347,exclude_generator_family
affect_acknowledgement,context,parallel_structure,0.1878921747913203,exclude_generator_family
affect_acknowledgement,context,photosynthesis_inputs,0.22052033680677335,exclude_generator_family
affect_acknowledgement,context,pigeonhole_principle,0.17408548739074514,exclude_generator_family
affect_acknowledgement,context,pressure,0.18561426085326455,exclude_generator_family
affect_acknowledgement,context,pythagorean_length,0.16252164736540328,exclude_generator_family
affect_acknowledgement,context,rectangular_prism_volume,0.18146550052367288,exclude_generator_family
affect_acknowledgement,context,relative_clause_attachment,0.16117113195313215,exclude_generator_family
affect_acknowledgement,context,sampling_frame_bias,0.14074289778157503,exclude_generator_family
affect_acknowledgement,context,signed_integer_addition,0.22140588707958306,exclude_generator_family
affect_acknowledgement,context,triangle_area,0.18789722337620712,exclude_generator_family
affect_acknowledgement,context,trophic_energy_transfer,0.12075327557140292,exclude_generator_family
affect_acknowledgement,context,turning_moment,0.1610065938952465,exclude_generator_family
affect_acknowledgement,context,weighted_graph_path,0.1925031096095253,exclude_generator_family
affect_acknowledgement,default_profile,active_passive_voice,0.1948712305195624,exclude_generator_family
