event,replicate,comparison,gain,training_rows,unique_original_training_sources,default_minus_style_risk
answer_reveal,0,default_vs_context,0.08995259543696804,1320,19,-0.08178732540833428
answer_reveal,0,student_state_vs_domain,0.00032022885949953284,1320,19,-0.08178732540833428
answer_reveal,1,default_vs_context,0.0918053789177606,1280,21,-0.06901638519531557
answer_reveal,1,student_state_vs_domain,-0.0002644820648122215,1280,21,-0.06901638519531557
answer_reveal,2,default_vs_context,0.09272786663147674,1280,19,-0.0749076821884594
answer_reveal,2,student_state_vs_domain,0.0001808929609553936,1280,19,-0.0749076821884594
answer_reveal,3,default_vs_context,0.09099340482652732,1280,17,-0.06931221376860897
answer_reveal,3,student_state_vs_domain,0.00032805521417550443,1280,17,-0.06931221376860897
answer_reveal,4,default_vs_context,0.09057174709860429,1240,20,-0.07743356679259876
answer_reveal,4,student_state_vs_domain,0.00042885177642573713,1240,20,-0.07743356679259876
answer_reveal,5,default_vs_context,0.08872043181285871,1320,19,-0.08100560286321784
answer_reveal,5,student_state_vs_domain,0.0002000967319448349,1320,19,-0.08100560286321784
answer_reveal,6,default_vs_context,0.08915388206812046,1320,22,-0.07099281044067944
answer_reveal,6,student_state_vs_domain,-0.000117850588067403,1320,22,-0.07099281044067944
answer_reveal,7,default_vs_context,0.09096953403221551,1240,20,-0.07860402341010846
answer_reveal,7,student_state_vs_domain,6.646336995133617e-05,1240,20,-0.07860402341010846
answer_reveal,8,default_vs_context,0.09242445879798233,1200,22,-0.07526212829756954
answer_reveal,8,student_state_vs_domain,0.00019183109381549351,1200,22,-0.07526212829756954
answer_reveal,9,default_vs_context,0.08972586491027819,1320,18,-0.07490872360627866
answer_reveal,9,student_state_vs_domain,0.00039747297519229785,1320,18,-0.07490872360627866
answer_reveal,10,default_vs_context,0.09188996479569617,1200,18,-0.07286591539808701
answer_reveal,10,student_state_vs_domain,-7.348435036294565e-05,1200,18,-0.07286591539808701
answer_reveal,11,default_vs_context,0.09062287554467982,1360,17,-0.07247059196538078
answer_reveal,11,student_state_vs_domain,-0.0015696281907522647,1360,17,-0.07247059196538078
answer_reveal,12,default_vs_context,0.08966438325498104,1360,18,-0.07869364738333486
answer_reveal,12,student_state_vs_domain,-0.000187413147796342,1360,18,-0.07869364738333486
answer_reveal,13,default_vs_context,0.09009965400839409,1320,20,-0.07157527744941608
answer_reveal,13,student_state_vs_domain,-0.00023717854458846221,1320,20,-0.07157527744941608
answer_reveal,14,default_vs_context,0.09141596145458768,1320,18,-0.07905937940092521
answer_reveal,14,student_state_vs_domain,0.0005915879019410403,1320,18,-0.07905937940092521
answer_reveal,15,default_vs_context,0.09004688334603073,1280,20,-0.066731187412986
answer_reveal,15,student_state_vs_domain,0.0005482271354109308,1280,20,-0.066731187412986
answer_reveal,16,default_vs_context,0.08505488800814415,1240,17,-0.07899415175067293
answer_reveal,16,student_state_vs_domain,-0.00024053904181764452,1240,17,-0.07899415175067293
answer_reveal,17,default_vs_context,0.0895861346194487,1240,21,-0.08358622916454228
answer_reveal,17,student_state_vs_domain,5.325460306848662e-06,1240,21,-0.08358622916454228
answer_reveal,18,default_vs_context,0.08885577621963328,1320,17,-0.0783173572999532
answer_reveal,18,student_state_vs_domain,0.0008454686195825123,1320,17,-0.0783173572999532
answer_reveal,19,default_vs_context,0.09091560802146297,1240,18,-0.06439550519604768
answer_reveal,19,student_state_vs_domain,-0.00011180445475964668,1240,18,-0.06439550519604768
answer_reveal,20,default_vs_context,0.09233501707809808,1280,21,-0.07178267460723134
answer_reveal,20,student_state_vs_domain,9.914974736335846e-05,1280,21,-0.07178267460723134
answer_reveal,21,default_vs_context,0.08907781765151893,1240,20,-0.06775465685205564
answer_reveal,21,student_state_vs_domain,0.0002168477057362811,1240,20,-0.06775465685205564
