model,domain,n,unanimous_errors,any_errors,uncertain,reviewer_agreement
MiniMax-M2.7,language,64,0,5,0,0.921875
MiniMax-M2.7,logic_and_data,64,1,3,0,0.96875
MiniMax-M2.7,mathematics,64,1,7,0,0.90625
MiniMax-M2.7,science,64,0,2,0,0.96875
MiniMax-M3,language,64,1,7,0,0.90625
MiniMax-M3,logic_and_data,64,0,3,0,0.953125
MiniMax-M3,mathematics,64,1,5,0,0.9375
MiniMax-M3,science,64,1,5,0,0.9375
deepseek-v4-pro,language,64,0,0,0,1.0
deepseek-v4-pro,logic_and_data,64,0,0,0,1.0
deepseek-v4-pro,mathematics,64,0,0,0,1.0
deepseek-v4-pro,science,64,0,0,0,1.0
doubao-seed-2.0-lite,language,64,0,0,0,1.0
doubao-seed-2.0-lite,logic_and_data,64,0,0,0,1.0
doubao-seed-2.0-lite,mathematics,64,0,2,0,0.96875
doubao-seed-2.0-lite,science,64,0,0,0,1.0
glm-5.3,language,64,0,4,0,0.9375
glm-5.3,logic_and_data,64,0,3,0,0.953125
glm-5.3,mathematics,64,0,2,0,0.96875
glm-5.3,science,64,0,1,0,0.984375
