scenario,canonical_state_probabilities,alternative_state_probabilities,true_mean_difference,canonical_mean_probability,trials,t_interval_noncoverage_rate,numerical_equivalence_rate,nondegenerate_equivalence_rate,simulation_rate_mc_95_low,simulation_rate_mc_95_high,degenerate_source_interval_rate,expected_source_variance,simulated_source_variance
no_shift_p0,"[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",0.0,0.0,100000,0.0,1.0,0.0,0.0,3.68881141579242e-05,1.0,0.0,0.0
no_shift_p0.01,"[0.01, 0.01, 0.01, 0.01]","[0.01, 0.01, 0.01, 0.01]",0.0,0.01,100000,1e-05,0.97145,0.88691,0.8849308607760342,0.8888666672144679,0.08454,0.002475,0.002476698928686523
no_shift_p0.05,"[0.05, 0.05, 0.05, 0.05]","[0.05, 0.05, 0.05, 0.05]",0.0,0.05,100000,0.00133,0.17907,0.17904,0.17666812724356593,0.18143050344597433,3e-05,0.011875,0.011895229247436523
no_shift_p0.1,"[0.1, 0.1, 0.1, 0.1]","[0.1, 0.1, 0.1, 0.1]",0.0,0.1,100000,0.0016,0.01113,0.01113,0.010488981945469284,0.011799603997091646,0.0,0.022500000000000003,0.02249120504882202
no_shift_p0.25,"[0.25, 0.25, 0.25, 0.25]","[0.25, 0.25, 0.25, 0.25]",0.0,0.25,100000,0.00162,0.00012,0.00012,6.20072391173597e-05,0.00020960645805018213,0.0,0.046875,0.046849845260198975
no_shift_p0.5,"[0.5, 0.5, 0.5, 0.5]","[0.5, 0.5, 0.5, 0.5]",0.0,0.5,100000,0.00159,3e-05,3e-05,6.18676395892203e-06,8.767020256633676e-05,0.0,0.0625,0.06253554999364623
no_shift_strong_state_cues,"[0.05, 0.95, 0.05, 0.95]","[0.05, 0.95, 0.05, 0.95]",0.0,0.5,100000,0.00114,0.1802,0.18015,0.1777723525184109,0.18254621361485013,5e-05,0.011875000000000005,0.011882109110937499
boundary_from_zero,"[0.0, 0.0, 0.0, 0.0]","[0.1, 0.1, 0.1, 0.1]",0.1,0.0,100000,0.00604,0.00591,0.00591,0.005444309830969999,0.0064046878327683405,0.0,0.011250000000000001,0.011250777849310303
boundary_to_zero,"[0.1, 0.1, 0.1, 0.1]","[0.0, 0.0, 0.0, 0.0]",-0.1,0.1,100000,0.00567,0.00554,0.00554,0.0050893482780973364,0.006019683996064267,0.0,0.011250000000000001,0.011236177252435305
boundary_interior_low,"[0.05, 0.05, 0.05, 0.05]","[0.15, 0.15, 0.15, 0.15]",0.09999999999999999,0.05,100000,0.0014,0.00054,0.00054,0.00040568984352502244,0.0007045248784734503,0.0,0.021875,0.0218482419
boundary_interior_mid,"[0.4, 0.4, 0.4, 0.4]","[0.5, 0.5, 0.5, 0.5]",0.09999999999999998,0.4,100000,0.00185,0.0,0.0,0.0,3.68881141579242e-05,0.0,0.06125,0.06118119072479857
