request_id,judge_requested,judge_returned,valid,error
0b2a30d705a3378cbfe9:glm-5.3,glm-5.3,glm-5.3,True,
c8a2a0a3b9c8ee6885cc:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e13851009b3e36a1ad6e:glm-5.3,glm-5.3,glm-5.3,True,
5ba5ceaae66b84512d7a:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
a76235be6bd2d416655c:glm-5.3,glm-5.3,glm-5.3,True,
3fdbaa3447b1491b725d:glm-5.3,glm-5.3,glm-5.3,True,
07f512d41882fdfc3353:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
d341c28625af8ce4cb9f:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
2171f9535ad7f2303f49:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
bc0dfa73a84a9280a02d:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
1ef05eb397f995b277c5:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
50f4f033ffebed23ebb0:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
6a017bf64a52277475aa:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
2c069b192edd21973d0b:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
3eca1532d5c646218a5b:glm-5.3,glm-5.3,glm-5.3,True,
65659e30c4646b8a01e0:glm-5.3,glm-5.3,glm-5.3,True,
ae4e986a983c433e9767:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a095282df5c6519f81b4:glm-5.3,glm-5.3,glm-5.3,True,
48db7355665a9283e7f3:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d6341159d5c7eedea555:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
b139f125d6cda2137d5d:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b3ba23259effddccdf4c:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
dbab2a9abcd26db63951:glm-5.3,glm-5.3,glm-5.3,True,
