request_id,judge_requested,judge_returned,valid,error
f9a3ab4a6ebfcf8d4c59:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a8aacd19e079ded840e8:glm-5.2,glm-5.2,glm-5.3,True,
f9a3ab4a6ebfcf8d4c59:glm-5.2,glm-5.2,glm-5.3,True,
b7d2a6ff11e475aebddb:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
123ab30e850aec171348:glm-5.2,glm-5.2,glm-5.3,True,
24f0913b22e3488aa7d9:glm-5.2,glm-5.2,glm-5.3,True,
a8aacd19e079ded840e8:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d7bee3298c547b003a25:glm-5.2,glm-5.2,glm-5.3,True,
a52bbeb0d1b4ac696f22:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d4dd2e236676a7caac27:glm-5.2,glm-5.2,glm-5.3,True,
d4dd2e236676a7caac27:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a52bbeb0d1b4ac696f22:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
08cf7a67f5201b16e0db:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
74838bf9fc5b52be8f39:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
08cf7a67f5201b16e0db:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
14d0c8a0e56f6f909dba:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
c932bbee58ee0bde20c1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
d7bee3298c547b003a25:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
acd2d2ca2db79557b406:glm-5.2,glm-5.2,glm-5.3,True,
14d0c8a0e56f6f909dba:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
acd2d2ca2db79557b406:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
24f0913b22e3488aa7d9:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
123ab30e850aec171348:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
1cf56141d68b5b8d284d:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
c932bbee58ee0bde20c1:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
14d0c8a0e56f6f909dba:glm-5.2,glm-5.2,glm-5.3,True,
057cc0ee14a95dd0ed1c:glm-5.2,glm-5.2,glm-5.3,True,
a8aacd19e079ded840e8:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
057cc0ee14a95dd0ed1c:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
d4dd2e236676a7caac27:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
74838bf9fc5b52be8f39:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
f9a3ab4a6ebfcf8d4c59:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
2e8aba971ea676d6ba79:glm-5.2,glm-5.2,glm-5.3,True,
1cf56141d68b5b8d284d:glm-5.2,glm-5.2,glm-5.3,True,
1cf56141d68b5b8d284d:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a52bbeb0d1b4ac696f22:glm-5.2,glm-5.2,glm-5.3,True,
acd2d2ca2db79557b406:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
c932bbee58ee0bde20c1:glm-5.2,glm-5.2,glm-5.3,True,
123ab30e850aec171348:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b7d2a6ff11e475aebddb:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
24f0913b22e3488aa7d9:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
74838bf9fc5b52be8f39:glm-5.2,glm-5.2,glm-5.3,True,
2e8aba971ea676d6ba79:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
08cf7a67f5201b16e0db:glm-5.2,glm-5.2,glm-5.3,True,
2e8aba971ea676d6ba79:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
057cc0ee14a95dd0ed1c:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
b7d2a6ff11e475aebddb:glm-5.2,glm-5.2,glm-5.3,True,
d7bee3298c547b003a25:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
