request_id,judge_requested,judge_returned,valid,error
0e58106b3dddcb8b9b40:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e4fdebe023ea393a2822:glm-5.2,glm-5.2,glm-5.3,True,
f9a3ab4a6ebfcf8d4c59:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
4e746d30d45e933c1256:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
307896dc53cb353d903e:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
4817e7e2abaf30c641a5:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
78fc696e8d16b3a9e573:glm-5.2,glm-5.2,glm-5.3,True,
cc75a143d13a52081913:glm-5.2,glm-5.2,glm-5.3,True,
edc02d8d3924a3b8c1de:glm-5.2,glm-5.2,glm-5.3,True,
a8aacd19e079ded840e8:glm-5.2,glm-5.2,glm-5.3,True,
f9a3ab4a6ebfcf8d4c59:glm-5.2,glm-5.2,glm-5.3,True,
b7d2a6ff11e475aebddb:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
123ab30e850aec171348:glm-5.2,glm-5.2,glm-5.3,True,
307896dc53cb353d903e:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
bab3320226f9aec709db:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
24f0913b22e3488aa7d9:glm-5.2,glm-5.2,glm-5.3,True,
78fc696e8d16b3a9e573:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
a8aacd19e079ded840e8:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d7bee3298c547b003a25:glm-5.2,glm-5.2,glm-5.3,True,
a52bbeb0d1b4ac696f22:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d4dd2e236676a7caac27:glm-5.2,glm-5.2,glm-5.3,True,
d4dd2e236676a7caac27:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a52bbeb0d1b4ac696f22:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e4fdebe023ea393a2822:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
307896dc53cb353d903e:glm-5.2,glm-5.2,glm-5.3,True,
08cf7a67f5201b16e0db:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
cc75a143d13a52081913:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
74838bf9fc5b52be8f39:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
efdcf9fae4bd50b6ef7e:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
08cf7a67f5201b16e0db:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
14d0c8a0e56f6f909dba:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
c932bbee58ee0bde20c1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
4e746d30d45e933c1256:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
d7bee3298c547b003a25:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
acd2d2ca2db79557b406:glm-5.2,glm-5.2,glm-5.3,True,
