event,model,size,mean
affect_acknowledgement,MiniMax-M2.7,32,0.375
affect_acknowledgement,MiniMax-M3,32,0.875
affect_acknowledgement,deepseek-v4-pro,32,0.84375
affect_acknowledgement,doubao-seed-2.0-lite,32,0.6875
affect_acknowledgement,glm-5.3,32,0.6875
answer_reveal,MiniMax-M2.7,32,0.96875
answer_reveal,MiniMax-M3,32,0.875
answer_reveal,deepseek-v4-pro,32,1.0
answer_reveal,doubao-seed-2.0-lite,32,1.0
answer_reveal,glm-5.3,32,0.1875
epistemic_qualification,MiniMax-M2.7,32,0.28125
epistemic_qualification,MiniMax-M3,32,0.25
epistemic_qualification,deepseek-v4-pro,32,0.25
epistemic_qualification,doubao-seed-2.0-lite,32,0.25
epistemic_qualification,glm-5.3,32,0.21875
information_request,MiniMax-M2.7,32,0.0
information_request,MiniMax-M3,32,0.0
information_request,deepseek-v4-pro,32,0.03125
information_request,doubao-seed-2.0-lite,32,0.0
information_request,glm-5.3,32,0.0
learner_choice,MiniMax-M2.7,32,0.21875
learner_choice,MiniMax-M3,32,0.28125
learner_choice,deepseek-v4-pro,32,0.0625
learner_choice,doubao-seed-2.0-lite,32,0.03125
learner_choice,glm-5.3,32,0.125
reasoning_elicitation,MiniMax-M2.7,32,0.25
reasoning_elicitation,MiniMax-M3,32,0.4375
reasoning_elicitation,deepseek-v4-pro,32,0.1875
reasoning_elicitation,doubao-seed-2.0-lite,32,0.03125
reasoning_elicitation,glm-5.3,32,1.0
unsupported_ability_claim,MiniMax-M2.7,32,0.0625
unsupported_ability_claim,MiniMax-M3,32,0.25
unsupported_ability_claim,deepseek-v4-pro,32,0.03125
unsupported_ability_claim,doubao-seed-2.0-lite,32,0.0
unsupported_ability_claim,glm-5.3,32,0.0
worked_explanation,MiniMax-M2.7,32,1.0
worked_explanation,MiniMax-M3,32,1.0
worked_explanation,deepseek-v4-pro,32,1.0
worked_explanation,doubao-seed-2.0-lite,32,1.0
worked_explanation,glm-5.3,32,0.71875
