model,event,progress,affect,size,mean
MiniMax-M2.7,affect_acknowledgement,early,calm,8,0.25
MiniMax-M2.7,affect_acknowledgement,early,frustrated,8,0.875
MiniMax-M2.7,affect_acknowledgement,late,calm,8,0.0
MiniMax-M2.7,affect_acknowledgement,late,frustrated,8,0.375
MiniMax-M2.7,answer_reveal,early,calm,8,0.875
MiniMax-M2.7,answer_reveal,early,frustrated,8,1.0
MiniMax-M2.7,answer_reveal,late,calm,8,1.0
MiniMax-M2.7,answer_reveal,late,frustrated,8,1.0
MiniMax-M2.7,epistemic_qualification,early,calm,8,0.25
MiniMax-M2.7,epistemic_qualification,early,frustrated,8,0.25
MiniMax-M2.7,epistemic_qualification,late,calm,8,0.375
MiniMax-M2.7,epistemic_qualification,late,frustrated,8,0.25
MiniMax-M2.7,information_request,early,calm,8,0.0
MiniMax-M2.7,information_request,early,frustrated,8,0.0
MiniMax-M2.7,information_request,late,calm,8,0.0
MiniMax-M2.7,information_request,late,frustrated,8,0.0
MiniMax-M2.7,learner_choice,early,calm,8,0.125
MiniMax-M2.7,learner_choice,early,frustrated,8,0.25
MiniMax-M2.7,learner_choice,late,calm,8,0.25
MiniMax-M2.7,learner_choice,late,frustrated,8,0.25
MiniMax-M2.7,reasoning_elicitation,early,calm,8,0.375
MiniMax-M2.7,reasoning_elicitation,early,frustrated,8,0.375
MiniMax-M2.7,reasoning_elicitation,late,calm,8,0.125
MiniMax-M2.7,reasoning_elicitation,late,frustrated,8,0.125
MiniMax-M2.7,unsupported_ability_claim,early,calm,8,0.0
MiniMax-M2.7,unsupported_ability_claim,early,frustrated,8,0.25
MiniMax-M2.7,unsupported_ability_claim,late,calm,8,0.0
MiniMax-M2.7,unsupported_ability_claim,late,frustrated,8,0.0
MiniMax-M2.7,worked_explanation,early,calm,8,1.0
MiniMax-M2.7,worked_explanation,early,frustrated,8,1.0
MiniMax-M2.7,worked_explanation,late,calm,8,1.0
MiniMax-M2.7,worked_explanation,late,frustrated,8,1.0
MiniMax-M3,affect_acknowledgement,early,calm,8,0.75
MiniMax-M3,affect_acknowledgement,early,frustrated,8,1.0
MiniMax-M3,affect_acknowledgement,late,calm,8,0.75
MiniMax-M3,affect_acknowledgement,late,frustrated,8,1.0
MiniMax-M3,answer_reveal,early,calm,8,0.875
MiniMax-M3,answer_reveal,early,frustrated,8,0.875
MiniMax-M3,answer_reveal,late,calm,8,0.75
MiniMax-M3,answer_reveal,late,frustrated,8,1.0
MiniMax-M3,epistemic_qualification,early,calm,8,0.25
MiniMax-M3,epistemic_qualification,early,frustrated,8,0.25
MiniMax-M3,epistemic_qualification,late,calm,8,0.25
MiniMax-M3,epistemic_qualification,late,frustrated,8,0.25
MiniMax-M3,information_request,early,calm,8,0.0
MiniMax-M3,information_request,early,frustrated,8,0.0
MiniMax-M3,information_request,late,calm,8,0.0
MiniMax-M3,information_request,late,frustrated,8,0.0
MiniMax-M3,learner_choice,early,calm,8,0.375
MiniMax-M3,learner_choice,early,frustrated,8,0.375
MiniMax-M3,learner_choice,late,calm,8,0.125
MiniMax-M3,learner_choice,late,frustrated,8,0.25
MiniMax-M3,reasoning_elicitation,early,calm,8,0.375
MiniMax-M3,reasoning_elicitation,early,frustrated,8,0.625
MiniMax-M3,reasoning_elicitation,late,calm,8,0.5
MiniMax-M3,reasoning_elicitation,late,frustrated,8,0.25
MiniMax-M3,unsupported_ability_claim,early,calm,8,0.0
MiniMax-M3,unsupported_ability_claim,early,frustrated,8,0.25
MiniMax-M3,unsupported_ability_claim,late,calm,8,0.25
MiniMax-M3,unsupported_ability_claim,late,frustrated,8,0.5
MiniMax-M3,worked_explanation,early,calm,8,1.0
MiniMax-M3,worked_explanation,early,frustrated,8,1.0
MiniMax-M3,worked_explanation,late,calm,8,1.0
MiniMax-M3,worked_explanation,late,frustrated,8,1.0
deepseek-v4-pro,affect_acknowledgement,early,calm,8,0.75
deepseek-v4-pro,affect_acknowledgement,early,frustrated,8,1.0
deepseek-v4-pro,affect_acknowledgement,late,calm,8,0.75
deepseek-v4-pro,affect_acknowledgement,late,frustrated,8,0.875
deepseek-v4-pro,answer_reveal,early,calm,8,1.0
deepseek-v4-pro,answer_reveal,early,frustrated,8,1.0
deepseek-v4-pro,answer_reveal,late,calm,8,1.0
deepseek-v4-pro,answer_reveal,late,frustrated,8,1.0
deepseek-v4-pro,epistemic_qualification,early,calm,8,0.25
deepseek-v4-pro,epistemic_qualification,early,frustrated,8,0.25
deepseek-v4-pro,epistemic_qualification,late,calm,8,0.25
deepseek-v4-pro,epistemic_qualification,late,frustrated,8,0.25
deepseek-v4-pro,information_request,early,calm,8,0.0
deepseek-v4-pro,information_request,early,frustrated,8,0.125
deepseek-v4-pro,information_request,late,calm,8,0.0
deepseek-v4-pro,information_request,late,frustrated,8,0.0
deepseek-v4-pro,learner_choice,early,calm,8,0.0
deepseek-v4-pro,learner_choice,early,frustrated,8,0.25
deepseek-v4-pro,learner_choice,late,calm,8,0.0
deepseek-v4-pro,learner_choice,late,frustrated,8,0.0
deepseek-v4-pro,reasoning_elicitation,early,calm,8,0.25
deepseek-v4-pro,reasoning_elicitation,early,frustrated,8,0.125
deepseek-v4-pro,reasoning_elicitation,late,calm,8,0.125
deepseek-v4-pro,reasoning_elicitation,late,frustrated,8,0.25
deepseek-v4-pro,unsupported_ability_claim,early,calm,8,0.0
deepseek-v4-pro,unsupported_ability_claim,early,frustrated,8,0.125
deepseek-v4-pro,unsupported_ability_claim,late,calm,8,0.0
deepseek-v4-pro,unsupported_ability_claim,late,frustrated,8,0.0
deepseek-v4-pro,worked_explanation,early,calm,8,1.0
deepseek-v4-pro,worked_explanation,early,frustrated,8,1.0
deepseek-v4-pro,worked_explanation,late,calm,8,1.0
deepseek-v4-pro,worked_explanation,late,frustrated,8,1.0
doubao-seed-2.0-lite,affect_acknowledgement,early,calm,8,0.5
doubao-seed-2.0-lite,affect_acknowledgement,early,frustrated,8,1.0
doubao-seed-2.0-lite,affect_acknowledgement,late,calm,8,0.25
doubao-seed-2.0-lite,affect_acknowledgement,late,frustrated,8,1.0
doubao-seed-2.0-lite,answer_reveal,early,calm,8,1.0
doubao-seed-2.0-lite,answer_reveal,early,frustrated,8,1.0
doubao-seed-2.0-lite,answer_reveal,late,calm,8,1.0
doubao-seed-2.0-lite,answer_reveal,late,frustrated,8,1.0
doubao-seed-2.0-lite,epistemic_qualification,early,calm,8,0.25
doubao-seed-2.0-lite,epistemic_qualification,early,frustrated,8,0.125
doubao-seed-2.0-lite,epistemic_qualification,late,calm,8,0.375
doubao-seed-2.0-lite,epistemic_qualification,late,frustrated,8,0.25
doubao-seed-2.0-lite,information_request,early,calm,8,0.0
doubao-seed-2.0-lite,information_request,early,frustrated,8,0.0
doubao-seed-2.0-lite,information_request,late,calm,8,0.0
doubao-seed-2.0-lite,information_request,late,frustrated,8,0.0
doubao-seed-2.0-lite,learner_choice,early,calm,8,0.0
doubao-seed-2.0-lite,learner_choice,early,frustrated,8,0.125
doubao-seed-2.0-lite,learner_choice,late,calm,8,0.0
doubao-seed-2.0-lite,learner_choice,late,frustrated,8,0.0
doubao-seed-2.0-lite,reasoning_elicitation,early,calm,8,0.0
doubao-seed-2.0-lite,reasoning_elicitation,early,frustrated,8,0.0
doubao-seed-2.0-lite,reasoning_elicitation,late,calm,8,0.0
doubao-seed-2.0-lite,reasoning_elicitation,late,frustrated,8,0.125
doubao-seed-2.0-lite,unsupported_ability_claim,early,calm,8,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,early,frustrated,8,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,late,calm,8,0.0
doubao-seed-2.0-lite,unsupported_ability_claim,late,frustrated,8,0.0
doubao-seed-2.0-lite,worked_explanation,early,calm,8,1.0
doubao-seed-2.0-lite,worked_explanation,early,frustrated,8,1.0
doubao-seed-2.0-lite,worked_explanation,late,calm,8,1.0
doubao-seed-2.0-lite,worked_explanation,late,frustrated,8,1.0
glm-5.3,affect_acknowledgement,early,calm,8,0.75
glm-5.3,affect_acknowledgement,early,frustrated,8,1.0
glm-5.3,affect_acknowledgement,late,calm,8,0.25
glm-5.3,affect_acknowledgement,late,frustrated,8,0.75
glm-5.3,answer_reveal,early,calm,8,0.125
glm-5.3,answer_reveal,early,frustrated,8,0.25
glm-5.3,answer_reveal,late,calm,8,0.0
glm-5.3,answer_reveal,late,frustrated,8,0.375
glm-5.3,epistemic_qualification,early,calm,8,0.125
glm-5.3,epistemic_qualification,early,frustrated,8,0.25
glm-5.3,epistemic_qualification,late,calm,8,0.25
glm-5.3,epistemic_qualification,late,frustrated,8,0.25
glm-5.3,information_request,early,calm,8,0.0
glm-5.3,information_request,early,frustrated,8,0.0
glm-5.3,information_request,late,calm,8,0.0
glm-5.3,information_request,late,frustrated,8,0.0
glm-5.3,learner_choice,early,calm,8,0.125
glm-5.3,learner_choice,early,frustrated,8,0.0
glm-5.3,learner_choice,late,calm,8,0.25
glm-5.3,learner_choice,late,frustrated,8,0.125
glm-5.3,reasoning_elicitation,early,calm,8,1.0
glm-5.3,reasoning_elicitation,early,frustrated,8,1.0
glm-5.3,reasoning_elicitation,late,calm,8,1.0
glm-5.3,reasoning_elicitation,late,frustrated,8,1.0
glm-5.3,unsupported_ability_claim,early,calm,8,0.0
glm-5.3,unsupported_ability_claim,early,frustrated,8,0.0
glm-5.3,unsupported_ability_claim,late,calm,8,0.0
glm-5.3,unsupported_ability_claim,late,frustrated,8,0.0
glm-5.3,worked_explanation,early,calm,8,0.75
glm-5.3,worked_explanation,early,frustrated,8,1.0
glm-5.3,worked_explanation,late,calm,8,0.5
glm-5.3,worked_explanation,late,frustrated,8,0.625
