blind_id,event,present,unanimous,template,progress,affect,repeat,model
0010b5a166668babdfc2,affect_acknowledgement,1,1,pilot_fractions,late,calm,1,deepseek-v4-pro
0142f9f4b822ffbd8c37,affect_acknowledgement,0,1,pilot_causal_claim,early,calm,0,MiniMax-M3
0210c34e3a3b13838b44,affect_acknowledgement,1,1,pilot_fractions,early,calm,0,glm-5.2
02b9a480c64163fa9bcf,affect_acknowledgement,0,1,pilot_density,early,calm,1,glm-5.2
043e9320e6b1d199ab05,affect_acknowledgement,1,1,pilot_equation,late,frustrated,1,glm-5.2
051ed8dcf7bd5daf4976,affect_acknowledgement,0,1,pilot_equation,late,calm,1,glm-5.2
07b147af9ee3e40c35f4,affect_acknowledgement,1,1,pilot_causal_claim,early,frustrated,0,MiniMax-M2.7
09ee3c79cec447d7cf01,affect_acknowledgement,0,1,pilot_fractions,late,frustrated,0,MiniMax-M2.7
0af631542fc1eae3c4a6,affect_acknowledgement,0,1,pilot_density,late,calm,1,MiniMax-M2.7
122bf31ca16ea698450c,affect_acknowledgement,1,1,pilot_equation,early,calm,1,doubao-seed-2.0-lite
14a80826ddbcaa2e74fa,affect_acknowledgement,0,1,pilot_fractions,late,calm,0,doubao-seed-2.0-lite
15600eb4d05de50949a5,affect_acknowledgement,1,1,pilot_density,late,frustrated,1,doubao-seed-2.0-lite
18716221a8a15a38c150,affect_acknowledgement,0,1,pilot_density,early,calm,0,MiniMax-M2.7
1b2a52778d56eacdf3c0,affect_acknowledgement,1,1,pilot_causal_claim,early,frustrated,0,doubao-seed-2.0-lite
1e1bbce52a853d183ce7,affect_acknowledgement,1,1,pilot_density,late,calm,1,MiniMax-M3
1f861c2d51283e59dcaa,affect_acknowledgement,1,1,pilot_fractions,late,frustrated,0,MiniMax-M3
216b846d8089a6a00f90,affect_acknowledgement,0,1,pilot_equation,late,calm,0,MiniMax-M2.7
21bac1cc58db3be4664f,affect_acknowledgement,0,1,pilot_density,early,calm,1,deepseek-v4-pro
2253628d77aba30e6daf,affect_acknowledgement,1,1,pilot_equation,early,frustrated,0,glm-5.2
25cb7b626f8264469349,affect_acknowledgement,1,1,pilot_density,early,frustrated,1,glm-5.2
269bb34fe216b418592b,affect_acknowledgement,1,1,pilot_equation,late,calm,0,doubao-seed-2.0-lite
2b24c41786a09c5cea47,affect_acknowledgement,1,1,pilot_fractions,early,frustrated,0,deepseek-v4-pro
2becb439e217006ec8b2,affect_acknowledgement,0,1,pilot_causal_claim,late,calm,1,glm-5.2
2cfaff627a6db474883f,affect_acknowledgement,0,1,pilot_density,late,calm,0,MiniMax-M3
2dd614f61c7e8b71ee56,affect_acknowledgement,0,0,pilot_fractions,early,calm,0,doubao-seed-2.0-lite
2f3ca1b90a5983b4ea10,affect_acknowledgement,0,1,pilot_causal_claim,early,calm,1,glm-5.2
330f04660e19950af8bf,affect_acknowledgement,1,1,pilot_causal_claim,late,frustrated,1,glm-5.2
33557f69dc0498a4f855,affect_acknowledgement,0,1,pilot_density,late,calm,0,glm-5.2
33b15e63590b5bce8a60,affect_acknowledgement,0,1,pilot_density,late,frustrated,0,deepseek-v4-pro
340ffcee3d9af24c5cb2,affect_acknowledgement,0,1,pilot_causal_claim,early,calm,0,doubao-seed-2.0-lite
37a41187fe8703f43f63,affect_acknowledgement,1,1,pilot_density,late,frustrated,0,doubao-seed-2.0-lite
3887e355cac64864874b,affect_acknowledgement,1,1,pilot_equation,late,frustrated,1,doubao-seed-2.0-lite
388d9717c4eeba768a71,affect_acknowledgement,0,1,pilot_fractions,late,calm,1,MiniMax-M2.7
3a03a3bf5edf63de0b41,affect_acknowledgement,1,1,pilot_equation,early,frustrated,0,MiniMax-M2.7
3a56c500a46c715f68ca,affect_acknowledgement,1,1,pilot_equation,early,frustrated,1,MiniMax-M2.7
3aba688cd99bccc84e28,affect_acknowledgement,1,1,pilot_causal_claim,late,frustrated,1,MiniMax-M2.7
3b96bd4e791a39f2196e,affect_acknowledgement,1,1,pilot_fractions,early,frustrated,1,MiniMax-M3
3c650b339867eebbd7ff,affect_acknowledgement,0,1,pilot_density,late,calm,0,doubao-seed-2.0-lite
3ed857d28be1767f4f19,affect_acknowledgement,0,1,pilot_causal_claim,late,calm,1,deepseek-v4-pro
41abaf653d02c2d43587,affect_acknowledgement,0,1,pilot_causal_claim,late,calm,0,MiniMax-M2.7
43e3b4dd4d0253ef5042,affect_acknowledgement,1,1,pilot_fractions,early,calm,0,deepseek-v4-pro
45a0c066f4c769f45668,affect_acknowledgement,1,1,pilot_equation,late,frustrated,0,glm-5.2
4918ca2110b5676eb25b,affect_acknowledgement,1,1,pilot_causal_claim,late,calm,0,deepseek-v4-pro
4b22d5d542e59472299d,affect_acknowledgement,1,1,pilot_fractions,late,frustrated,1,deepseek-v4-pro
4d32c7535150f80f34b5,affect_acknowledgement,1,1,pilot_equation,late,frustrated,1,MiniMax-M3
52eef16d6a654ea51571,affect_acknowledgement,1,1,pilot_density,early,calm,0,MiniMax-M3
54dc8e523fd1dc34a1bf,affect_acknowledgement,0,1,pilot_fractions,late,calm,0,glm-5.2
59268659c3b2e8b6664e,affect_acknowledgement,0,1,pilot_causal_claim,late,calm,0,doubao-seed-2.0-lite
