model_requested,event,n,prevalence,unanimity
MiniMax-M2.7,affect_acknowledgement,32,0.375,0.96875
MiniMax-M2.7,answer_reveal,32,0.96875,0.9375
MiniMax-M2.7,epistemic_qualification,32,0.28125,0.8125
MiniMax-M2.7,information_request,32,0.0,0.96875
MiniMax-M2.7,learner_choice,32,0.21875,0.75
MiniMax-M2.7,reasoning_elicitation,32,0.25,0.8125
MiniMax-M2.7,unsupported_ability_claim,32,0.0625,0.8125
MiniMax-M2.7,worked_explanation,32,1.0,1.0
MiniMax-M3,affect_acknowledgement,32,0.875,0.96875
MiniMax-M3,answer_reveal,32,0.875,0.9375
MiniMax-M3,epistemic_qualification,32,0.25,0.875
MiniMax-M3,information_request,32,0.0,1.0
MiniMax-M3,learner_choice,32,0.28125,0.75
MiniMax-M3,reasoning_elicitation,32,0.4375,0.78125
MiniMax-M3,unsupported_ability_claim,32,0.25,0.65625
MiniMax-M3,worked_explanation,32,1.0,1.0
deepseek-v4-pro,affect_acknowledgement,31,0.8387096774193549,0.967741935483871
deepseek-v4-pro,answer_reveal,31,1.0,1.0
deepseek-v4-pro,epistemic_qualification,31,0.22580645161290322,0.9032258064516129
deepseek-v4-pro,information_request,31,0.03225806451612903,0.967741935483871
deepseek-v4-pro,learner_choice,31,0.06451612903225806,0.9354838709677419
deepseek-v4-pro,reasoning_elicitation,31,0.1935483870967742,0.967741935483871
deepseek-v4-pro,unsupported_ability_claim,31,0.03225806451612903,0.8709677419354839
deepseek-v4-pro,worked_explanation,31,1.0,0.9354838709677419
doubao-seed-2.0-lite,affect_acknowledgement,32,0.6875,0.90625
doubao-seed-2.0-lite,answer_reveal,32,1.0,1.0
doubao-seed-2.0-lite,epistemic_qualification,32,0.25,0.84375
doubao-seed-2.0-lite,information_request,32,0.0,1.0
doubao-seed-2.0-lite,learner_choice,32,0.03125,1.0
doubao-seed-2.0-lite,reasoning_elicitation,32,0.03125,0.96875
doubao-seed-2.0-lite,unsupported_ability_claim,32,0.0,0.875
doubao-seed-2.0-lite,worked_explanation,32,1.0,1.0
glm-5.2,affect_acknowledgement,31,0.7096774193548387,0.967741935483871
glm-5.2,answer_reveal,31,0.1935483870967742,0.9354838709677419
glm-5.2,epistemic_qualification,31,0.22580645161290322,0.7419354838709677
glm-5.2,information_request,31,0.0,0.967741935483871
glm-5.2,learner_choice,31,0.12903225806451613,0.8709677419354839
glm-5.2,reasoning_elicitation,31,1.0,1.0
glm-5.2,unsupported_ability_claim,31,0.0,0.9354838709677419
glm-5.2,worked_explanation,31,0.7096774193548387,0.8387096774193549
