model_requested,event,n,prevalence,unanimity
MiniMax-M2.7,affect_acknowledgement,32,0.375,0.96875
MiniMax-M2.7,answer_reveal,32,0.96875,0.9375
MiniMax-M2.7,epistemic_qualification,32,0.28125,0.8125
MiniMax-M2.7,information_request,32,0.0,0.96875
MiniMax-M2.7,learner_choice,32,0.21875,0.75
MiniMax-M2.7,reasoning_elicitation,32,0.25,0.8125
MiniMax-M2.7,unsupported_ability_claim,32,0.0625,0.8125
MiniMax-M2.7,worked_explanation,32,1.0,1.0
MiniMax-M3,affect_acknowledgement,32,0.875,0.96875
MiniMax-M3,answer_reveal,32,0.875,0.9375
MiniMax-M3,epistemic_qualification,32,0.25,0.875
MiniMax-M3,information_request,32,0.0,1.0
MiniMax-M3,learner_choice,32,0.28125,0.75
MiniMax-M3,reasoning_elicitation,32,0.4375,0.78125
MiniMax-M3,unsupported_ability_claim,32,0.25,0.65625
MiniMax-M3,worked_explanation,32,1.0,1.0
deepseek-v4-pro,affect_acknowledgement,32,0.84375,0.96875
deepseek-v4-pro,answer_reveal,32,1.0,1.0
deepseek-v4-pro,epistemic_qualification,32,0.25,0.90625
deepseek-v4-pro,information_request,32,0.03125,0.9375
deepseek-v4-pro,learner_choice,32,0.0625,0.9375
deepseek-v4-pro,reasoning_elicitation,32,0.1875,0.9375
deepseek-v4-pro,unsupported_ability_claim,32,0.03125,0.875
deepseek-v4-pro,worked_explanation,32,1.0,0.9375
doubao-seed-2.0-lite,affect_acknowledgement,32,0.6875,0.90625
doubao-seed-2.0-lite,answer_reveal,32,1.0,1.0
doubao-seed-2.0-lite,epistemic_qualification,32,0.25,0.84375
doubao-seed-2.0-lite,information_request,32,0.0,1.0
doubao-seed-2.0-lite,learner_choice,32,0.03125,1.0
doubao-seed-2.0-lite,reasoning_elicitation,32,0.03125,0.96875
doubao-seed-2.0-lite,unsupported_ability_claim,32,0.0,0.875
doubao-seed-2.0-lite,worked_explanation,32,1.0,1.0
glm-5.2,affect_acknowledgement,32,0.6875,0.96875
glm-5.2,answer_reveal,32,0.1875,0.9375
glm-5.2,epistemic_qualification,32,0.21875,0.75
glm-5.2,information_request,32,0.0,0.96875
glm-5.2,learner_choice,32,0.125,0.875
glm-5.2,reasoning_elicitation,32,1.0,1.0
glm-5.2,unsupported_ability_claim,32,0.0,0.9375
glm-5.2,worked_explanation,32,0.71875,0.84375
