request_id,judge_requested,judge_returned,valid,error
5ed0b92674b9c4dc0ae4:glm-5.3,glm-5.3,glm-5.3,True,
b5583ef9a5bf8f372191:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5edf0ae67f09b3a6c257:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
c8f60d6c3a941c46464a:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
80a47e6c5d7231e2751b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ceb76023e02779aaaebb:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
33557f69dc0498a4f855:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a3cd2bff7780acd7ef74:glm-5.3,glm-5.3,glm-5.3,True,
b82e05d798ed9d62d46f:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5edf0ae67f09b3a6c257:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b5583ef9a5bf8f372191:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
6b967cdfbda0a7700cf3:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
33557f69dc0498a4f855:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ceb76023e02779aaaebb:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e9de51ca1069f2d4999d:glm-5.3,glm-5.3,glm-5.3,True,
c9c385feb42fe3c24a0f:glm-5.3,glm-5.3,glm-5.3,True,
33557f69dc0498a4f855:glm-5.3,glm-5.3,glm-5.3,True,
80a47e6c5d7231e2751b:glm-5.3,glm-5.3,glm-5.3,True,
b5583ef9a5bf8f372191:glm-5.3,glm-5.3,glm-5.3,True,
9f5c557faec6e4ad38fc:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
ceb76023e02779aaaebb:glm-5.3,glm-5.3,glm-5.3,True,
a3cd2bff7780acd7ef74:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
59268659c3b2e8b6664e:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
6b967cdfbda0a7700cf3:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e9de51ca1069f2d4999d:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5edf0ae67f09b3a6c257:glm-5.3,glm-5.3,glm-5.3,True,
3aba688cd99bccc84e28:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
7d1c6c28017d7ac3b845:glm-5.3,glm-5.3,glm-5.3,True,
e9de51ca1069f2d4999d:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
7d1c6c28017d7ac3b845:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b82e05d798ed9d62d46f:glm-5.3,glm-5.3,glm-5.3,True,
9b38451e3f725056f428:glm-5.3,glm-5.3,glm-5.3,True,
c8f60d6c3a941c46464a:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e741484691388821e7a1:glm-5.3,glm-5.3,glm-5.3,True,
a57f3e700321f6075726:glm-5.3,glm-5.3,glm-5.3,True,
9f5c557faec6e4ad38fc:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5ed0b92674b9c4dc0ae4:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
5ed0b92674b9c4dc0ae4:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
80a47e6c5d7231e2751b:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
c9c385feb42fe3c24a0f:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
6b967cdfbda0a7700cf3:glm-5.3,glm-5.3,glm-5.3,True,
3aba688cd99bccc84e28:glm-5.3,glm-5.3,glm-5.3,True,
59268659c3b2e8b6664e:glm-5.3,glm-5.3,glm-5.3,True,
a57f3e700321f6075726:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b82e05d798ed9d62d46f:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
6bccfcfc31d66662754b:glm-5.3,glm-5.3,glm-5.3,True,
9f5c557faec6e4ad38fc:glm-5.3,glm-5.3,glm-5.3,True,
6bccfcfc31d66662754b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
6bccfcfc31d66662754b:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
9b38451e3f725056f428:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
c8f60d6c3a941c46464a:glm-5.3,glm-5.3,glm-5.3,True,
c9c385feb42fe3c24a0f:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
3aba688cd99bccc84e28:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
a3cd2bff7780acd7ef74:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
a57f3e700321f6075726:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
9b38451e3f725056f428:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e741484691388821e7a1:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e741484691388821e7a1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
7d1c6c28017d7ac3b845:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
59268659c3b2e8b6664e:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
