phase,provider,requested_model,max_tokens,saved_attempts,complete_attempts,failed_attempts,single_attempt_top_level_usage_used,reported_prompt_tokens,reported_completion_tokens,reported_total_tokens,prompt_tokens_unknown_attempts,completion_tokens_unknown_attempts,total_tokens_unknown_attempts,unique_saved_records
confirmation_coding,gateway,deepseek-v4-pro,16384,67,67,0,0,78614,236665,315279,0,0,0,67
confirmation_coding,gateway,glm-5.3,16384,62,62,0,0,67447,164439,231886,0,0,0,62
confirmation_coding,minimax,MiniMax-M3,16384,366,361,5,0,446735,365774,812509,5,5,5,361
confirmation_generation,gateway,deepseek-v4-pro,8192,808,808,0,0,163758,432039,595797,0,0,0,808
confirmation_generation,gateway,doubao-seed-2.0-lite,8192,808,808,0,0,133454,539698,673152,0,0,0,808
confirmation_generation,gateway,glm-5.3,8192,808,808,0,0,108510,630080,738590,0,0,0,808
confirmation_generation,minimax,MiniMax-M2.7,8192,808,808,0,0,106720,397025,503745,0,0,0,808
confirmation_generation,minimax,MiniMax-M3,8192,808,808,0,0,232768,354520,587288,0,0,0,808
material_review,gateway,deepseek-v4-pro,8192,64,64,0,0,23598,29862,53460,0,0,0,64
material_review,minimax,MiniMax-M3,8192,64,64,0,0,28404,30969,59373,0,0,0,64
pilot_generation,gateway,deepseek-v4-pro,8192,32,32,0,32,5088,21933,27021,0,0,0,32
pilot_generation,gateway,doubao-seed-2.0-lite,8192,32,32,0,32,3800,31348,35148,0,0,0,32
pilot_generation,gateway,glm-5.2,8192,32,32,0,32,2884,41371,44255,0,0,0,32
pilot_generation,minimax,MiniMax-M2.7,8192,32,32,0,32,2860,16637,19497,0,0,0,32
pilot_generation,minimax,MiniMax-M3,8192,32,32,0,32,7852,18181,26033,0,0,0,32
pilot_measurement_development,gateway,deepseek-v4-pro,4096,87,61,26,57,46963,56182,103145,30,30,30,72
pilot_measurement_development,gateway,deepseek-v4-pro,16384,192,192,0,0,234159,727348,961507,0,0,0,192
pilot_measurement_development,gateway,glm-5.2,4096,50,48,2,46,31355,31854,63209,4,4,4,48
pilot_measurement_development,gateway,glm-5.3,16384,196,193,3,0,223876,568827,792703,0,0,0,194
pilot_measurement_development,minimax,MiniMax-M3,4096,209,208,1,207,228321,186651,414972,2,2,2,208
pilot_measurement_development,minimax,MiniMax-M3,16384,192,192,0,0,246762,193510,440272,0,0,0,192
runtime_diagnostic,gateway,deepseek-v4-pro,1024,1,1,0,1,94,35,129,0,0,0,1
runtime_diagnostic,gateway,doubao-seed-2.0-lite,1024,1,1,0,1,60,37,97,0,0,0,1
runtime_diagnostic,gateway,glm-5.2,1024,1,1,0,1,23,45,68,0,0,0,1
runtime_diagnostic,minimax,MiniMax-M2.7,1024,1,1,0,1,52,97,149,0,0,0,1
runtime_diagnostic,minimax,MiniMax-M3,1024,1,1,0,1,187,28,215,0,0,0,1
training_coding,gateway,deepseek-v4-pro,16384,1282,1282,0,0,1515455,5020871,6536326,0,0,0,1282
training_coding,gateway,glm-5.3,16384,1306,1282,24,0,1443071,3856135,5299206,0,0,0,1287
training_coding,gateway,glm-5.3,32768,1,1,0,0,1078,3511,4589,0,0,0,1
training_coding,minimax,MiniMax-M3,16384,1280,1280,0,0,1598382,1340430,2938812,0,0,0,1280
training_generation,gateway,deepseek-v4-pro,8192,256,256,0,0,53520,142379,195899,0,0,0,256
training_generation,gateway,doubao-seed-2.0-lite,8192,256,256,0,0,44172,175061,219233,0,0,0,256
training_generation,gateway,glm-5.3,8192,256,256,0,0,35864,229715,265579,0,0,0,256
training_generation,minimax,MiniMax-M2.7,8192,256,256,0,0,35320,108036,143356,0,0,0,256
training_generation,minimax,MiniMax-M3,8192,256,256,0,0,75256,117449,192705,0,0,0,256
