source_policy,score_panel,dimension,task,null_mse,global_model_mse,task_model_mse,relative_mse_reduction,split_p05,split_p95,fraction_splits_improved
conservative_cohort,consensus,affective_warmth,ALL_EQUAL_TASK_WEIGHT,0.828950784796556,0.6032202155604351,0.5844815741303102,0.03109566579342391,-0.0012570679604456119,0.06072665769560106,0.94
conservative_cohort,consensus,affective_warmth,longtutor,0.7013888888888888,0.5327806550546522,0.4650561793340165,0.1270887513054133,0.07038815770989208,0.17556355991132724,1.0
conservative_cohort,consensus,affective_warmth,mathdial_hard,0.9278198653198654,0.6730985408101372,0.6883253201524863,-0.0220282789445932,-0.08269157779141421,0.02873210094864019,0.36
conservative_cohort,consensus,affective_warmth,mathdial_standard,0.8576436001809137,0.603781450816516,0.6000632229044279,0.0061812740367464866,-0.04762122960757477,0.038528948798502854,0.66
conservative_cohort,consensus,autonomy_support,ALL_EQUAL_TASK_WEIGHT,0.9141719851918857,0.698841594101541,0.667411841650427,0.04502520998653146,0.006083646771861262,0.0700140244192804,0.98
conservative_cohort,consensus,autonomy_support,longtutor,0.7027777777777777,0.5869414848405297,0.5078750330010695,0.13473925322913063,0.06494999133464407,0.18609553707187598,0.99
conservative_cohort,consensus,autonomy_support,mathdial_hard,1.0690235690235692,0.8420578921118859,0.8280345669807825,0.017017960465396515,-0.06624141688457257,0.06847446678096906,0.71
conservative_cohort,consensus,autonomy_support,mathdial_standard,0.9707146087743103,0.6675254053522073,0.6663259249694291,0.0019197280601569134,-0.054333201970520426,0.03283700319907117,0.65
conservative_cohort,consensus,cognitive_load,ALL_EQUAL_TASK_WEIGHT,0.45539798901117307,0.38334517712883953,0.3759193705451543,0.019461661027575336,-0.013511707017718843,0.04495288267109832,0.85
conservative_cohort,consensus,cognitive_load,longtutor,0.4673611111111111,0.35881185867422893,0.33691767822726276,0.06123049888049174,-0.029469032179741072,0.10340209806200984,0.9
conservative_cohort,consensus,cognitive_load,mathdial_hard,0.4465488215488216,0.40252019889922097,0.4010973305760339,0.003961315387085088,-0.0626043898275154,0.051026066178049806,0.63
conservative_cohort,consensus,cognitive_load,mathdial_standard,0.45228403437358655,0.3887034738130687,0.3897431028321662,-0.002692972235286638,-0.04948973362708912,0.029665004058053494,0.59
conservative_cohort,consensus,diagnostic_specificity,ALL_EQUAL_TASK_WEIGHT,0.9622284550870787,0.9084592432764265,0.8840584164392976,0.02695194737861396,-0.013903061379093862,0.05129431358818019,0.86
conservative_cohort,consensus,diagnostic_specificity,longtutor,1.042361111111111,0.9026311381841998,0.8251456437020933,0.08598620579994837,0.0225492243299859,0.1295921127342213,1.0
conservative_cohort,consensus,diagnostic_specificity,mathdial_hard,1.1837822671156004,1.1350946242938529,1.1631422972735428,-0.024257706758925544,-0.11594921852000842,0.021195555673351695,0.36
conservative_cohort,consensus,diagnostic_specificity,mathdial_standard,0.6605419870345243,0.6876519673512269,0.6638873083422568,0.03441875842521907,-0.00691418989461442,0.06318432841457398,0.92
conservative_cohort,consensus,elicitation,ALL_EQUAL_TASK_WEIGHT,1.4616151495608378,1.0969011292587068,1.0617700134102268,0.03206956788284959,-0.0050191592635025475,0.05917295525107773,0.88
conservative_cohort,consensus,elicitation,longtutor,1.1965277777777776,0.9376791474141116,0.8379045523252112,0.10650364447224915,0.04047549525770401,0.15308054802925877,0.99
conservative_cohort,consensus,elicitation,mathdial_hard,1.6884118967452302,1.2824495309334136,1.270117762420757,0.010030899735346108,-0.06984808082406888,0.06619785481086729,0.64
conservative_cohort,consensus,elicitation,mathdial_standard,1.4999057741595054,1.070574709428595,1.0772877254847117,-0.006213636317629882,-0.054418007382976266,0.024553334137560726,0.4
