arm,event,comparison,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note
canonical,affect_acknowledgement,conditional,32,0.012483396190722964,0.008879170619300188,0.01623953963068098,0.0020217314214390383,3.736635351806832e-07,
canonical,affect_acknowledgement,default,32,0.023163669369460578,0.019435439631716237,0.0267892328241634,0.0019811893976052378,3.3813420503082165e-13,
canonical,answer_reveal,conditional,32,-0.0007204096573677792,-0.001404466450312363,1.680987163264244e-05,0.0003707537070880163,0.9694332657016207,
canonical,answer_reveal,default,32,0.09538893293946599,0.08158134918907411,0.10951713194065057,0.00954033606558074,1.608195917050501e-11,
canonical,reasoning_elicitation,conditional,32,-0.001295135249923687,-0.0021141984290061226,-0.0004623640415795072,0.00046224715886605746,0.9956604636228864,
canonical,reasoning_elicitation,default,32,0.13828297388813188,0.13169802340326192,0.14486309813533554,0.003639792087616491,7.222128894444926e-28,
explicit,affect_acknowledgement,conditional,32,-0.0036606026688863562,-0.007934292319992308,0.0009027517430699722,0.002329770924418585,0.9368591495569968,
explicit,affect_acknowledgement,default,32,0.008286726319987912,0.0041822993737792346,0.0124692971234088,0.0022102714937115605,0.00036482537264552895,
explicit,answer_reveal,conditional,32,-0.00010768884138118834,-0.0008154681003981961,0.000603580807020497,0.000389635310655752,0.6079561207699082,
explicit,answer_reveal,default,32,0.09730160984058583,0.08094559717472452,0.11319711729470533,0.00980148577042082,1.907205413248808e-11,
explicit,reasoning_elicitation,conditional,32,-0.0003526094080087126,-0.0011370577248261443,0.0004651034679635311,0.0004530314858142178,0.7788633625183762,
explicit,reasoning_elicitation,default,32,0.1306990967620108,0.12266342811850618,0.13825147968965334,0.004343901830207313,8.276997407147151e-25,
implicit,affect_acknowledgement,conditional,32,-0.006277331495212696,-0.009599900107224495,-0.002726416056543286,0.0018579716769755868,0.9990097386595712,
implicit,affect_acknowledgement,default,32,0.007920352612240212,0.0034429967697223716,0.012151332413664187,0.0023364429590805617,0.0009609729302179179,
implicit,answer_reveal,conditional,32,-0.0005043140182626415,-0.0013717738470082881,0.0003839806838547582,0.0004927385347425821,0.8430019120324295,
implicit,answer_reveal,default,32,0.0823134009787593,0.06656693000864847,0.0969478711079327,0.009826702531775817,9.19649464189414e-10,
implicit,reasoning_elicitation,conditional,32,-0.0006149441366086882,-0.001493576871610662,0.00021995117190775165,0.0004517723941434868,0.9083652292945722,
implicit,reasoning_elicitation,default,32,0.12747521006281096,0.11660228202460533,0.13806271452261074,0.005925432893966058,1.7011084265752533e-20,
peer_control,affect_acknowledgement,conditional,32,0.006451968551957501,0.0023169434896200903,0.010837038484615393,0.0023208716658797033,0.00457902400451251,
peer_control,affect_acknowledgement,default,32,0.007063080649763495,0.0014403292990979152,0.01274258929899913,0.0031259725860539917,0.015514480760315833,
peer_control,answer_reveal,conditional,32,1.2560190018997609e-05,-0.001183125840960342,0.0011290988069475672,0.0006468940488541543,0.4923167814851686,
peer_control,answer_reveal,default,32,0.0882991964515207,0.0706112173606644,0.10477234073669903,0.010212964002668926,4.587019650150933e-10,
peer_control,reasoning_elicitation,conditional,32,0.0010991756669684132,0.0003392220647216968,0.001868762926774012,0.00043458911373142405,0.00836663672681609,
peer_control,reasoning_elicitation,default,32,0.12559340584453804,0.118016648301413,0.13278122186827168,0.003996496106538429,2.239592872228843e-25,
