arm,model,event,progress,cue_pole,size,mean
canonical,MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,64,0.046875
canonical,MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,64,0.296875
canonical,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,64,0.109375
canonical,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,64,0.5625
canonical,MiniMax-M2.7,answer_reveal,correct_partial,calm,64,0.96875
canonical,MiniMax-M2.7,answer_reveal,correct_partial,frustrated,64,0.984375
canonical,MiniMax-M2.7,answer_reveal,wrong_attempt,calm,64,1.0
canonical,MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,64,1.0
canonical,MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,64,0.0625
canonical,MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,64,0.046875
canonical,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,64,0.109375
canonical,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,64,0.078125
canonical,MiniMax-M3,affect_acknowledgement,correct_partial,calm,64,0.5625
canonical,MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,64,0.890625
canonical,MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,64,0.5625
canonical,MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,64,0.890625
canonical,MiniMax-M3,answer_reveal,correct_partial,calm,64,0.6875
canonical,MiniMax-M3,answer_reveal,correct_partial,frustrated,64,0.90625
canonical,MiniMax-M3,answer_reveal,wrong_attempt,calm,64,0.828125
canonical,MiniMax-M3,answer_reveal,wrong_attempt,frustrated,64,0.84375
canonical,MiniMax-M3,reasoning_elicitation,correct_partial,calm,64,0.578125
canonical,MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,64,0.328125
canonical,MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,64,0.484375
canonical,MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,64,0.53125
canonical,deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,64,0.171875
canonical,deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,64,0.5
canonical,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,64,0.75
canonical,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,64,0.796875
canonical,deepseek-v4-pro,answer_reveal,correct_partial,calm,64,0.953125
canonical,deepseek-v4-pro,answer_reveal,correct_partial,frustrated,64,1.0
canonical,deepseek-v4-pro,answer_reveal,wrong_attempt,calm,64,1.0
canonical,deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,64,1.0
canonical,deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,64,0.046875
canonical,deepseek-v4-pro,reasoning_elicitation,correct_partial,frustrated,64,0.03125
canonical,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,calm,64,0.0
canonical,deepseek-v4-pro,reasoning_elicitation,wrong_attempt,frustrated,64,0.015625
canonical,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,calm,64,0.0
canonical,doubao-seed-2.0-lite,affect_acknowledgement,correct_partial,frustrated,64,0.9375
canonical,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,calm,64,0.4375
canonical,doubao-seed-2.0-lite,affect_acknowledgement,wrong_attempt,frustrated,64,1.0
canonical,doubao-seed-2.0-lite,answer_reveal,correct_partial,calm,64,1.0
canonical,doubao-seed-2.0-lite,answer_reveal,correct_partial,frustrated,64,1.0
canonical,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,calm,64,1.0
canonical,doubao-seed-2.0-lite,answer_reveal,wrong_attempt,frustrated,64,1.0
canonical,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,calm,64,0.03125
canonical,doubao-seed-2.0-lite,reasoning_elicitation,correct_partial,frustrated,64,0.015625
canonical,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,calm,64,0.015625
canonical,doubao-seed-2.0-lite,reasoning_elicitation,wrong_attempt,frustrated,64,0.015625
canonical,glm-5.3,affect_acknowledgement,correct_partial,calm,64,0.0625
canonical,glm-5.3,affect_acknowledgement,correct_partial,frustrated,64,0.765625
canonical,glm-5.3,affect_acknowledgement,wrong_attempt,calm,64,0.4375
canonical,glm-5.3,affect_acknowledgement,wrong_attempt,frustrated,64,0.953125
canonical,glm-5.3,answer_reveal,correct_partial,calm,64,0.0625
canonical,glm-5.3,answer_reveal,correct_partial,frustrated,64,0.25
canonical,glm-5.3,answer_reveal,wrong_attempt,calm,64,0.234375
canonical,glm-5.3,answer_reveal,wrong_attempt,frustrated,64,0.28125
canonical,glm-5.3,reasoning_elicitation,correct_partial,calm,64,1.0
canonical,glm-5.3,reasoning_elicitation,correct_partial,frustrated,64,0.984375
canonical,glm-5.3,reasoning_elicitation,wrong_attempt,calm,64,1.0
canonical,glm-5.3,reasoning_elicitation,wrong_attempt,frustrated,64,0.96875
explicit,MiniMax-M2.7,affect_acknowledgement,correct_partial,calm,64,0.015625
explicit,MiniMax-M2.7,affect_acknowledgement,correct_partial,frustrated,64,0.328125
explicit,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,calm,64,0.078125
explicit,MiniMax-M2.7,affect_acknowledgement,wrong_attempt,frustrated,64,0.640625
explicit,MiniMax-M2.7,answer_reveal,correct_partial,calm,64,0.96875
explicit,MiniMax-M2.7,answer_reveal,correct_partial,frustrated,64,1.0
explicit,MiniMax-M2.7,answer_reveal,wrong_attempt,calm,64,1.0
explicit,MiniMax-M2.7,answer_reveal,wrong_attempt,frustrated,64,1.0
explicit,MiniMax-M2.7,reasoning_elicitation,correct_partial,calm,64,0.0625
explicit,MiniMax-M2.7,reasoning_elicitation,correct_partial,frustrated,64,0.0625
explicit,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,calm,64,0.125
explicit,MiniMax-M2.7,reasoning_elicitation,wrong_attempt,frustrated,64,0.046875
explicit,MiniMax-M3,affect_acknowledgement,correct_partial,calm,64,0.046875
explicit,MiniMax-M3,affect_acknowledgement,correct_partial,frustrated,64,0.890625
explicit,MiniMax-M3,affect_acknowledgement,wrong_attempt,calm,64,0.25
explicit,MiniMax-M3,affect_acknowledgement,wrong_attempt,frustrated,64,0.9375
explicit,MiniMax-M3,answer_reveal,correct_partial,calm,64,0.71875
explicit,MiniMax-M3,answer_reveal,correct_partial,frustrated,64,0.765625
explicit,MiniMax-M3,answer_reveal,wrong_attempt,calm,64,0.78125
explicit,MiniMax-M3,answer_reveal,wrong_attempt,frustrated,64,0.90625
explicit,MiniMax-M3,reasoning_elicitation,correct_partial,calm,64,0.484375
explicit,MiniMax-M3,reasoning_elicitation,correct_partial,frustrated,64,0.375
explicit,MiniMax-M3,reasoning_elicitation,wrong_attempt,calm,64,0.546875
explicit,MiniMax-M3,reasoning_elicitation,wrong_attempt,frustrated,64,0.546875
explicit,deepseek-v4-pro,affect_acknowledgement,correct_partial,calm,64,0.078125
explicit,deepseek-v4-pro,affect_acknowledgement,correct_partial,frustrated,64,0.671875
explicit,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,calm,64,0.484375
explicit,deepseek-v4-pro,affect_acknowledgement,wrong_attempt,frustrated,64,0.859375
explicit,deepseek-v4-pro,answer_reveal,correct_partial,calm,64,1.0
explicit,deepseek-v4-pro,answer_reveal,correct_partial,frustrated,64,1.0
explicit,deepseek-v4-pro,answer_reveal,wrong_attempt,calm,64,1.0
explicit,deepseek-v4-pro,answer_reveal,wrong_attempt,frustrated,64,1.0
explicit,deepseek-v4-pro,reasoning_elicitation,correct_partial,calm,64,0.03125
