arm,event,comparison,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note,panel
canonical,affect_acknowledgement,conditional,32,0.012197796503722293,0.00880830533280205,0.015755343673873986,0.001962150399585575,3.318030411463182e-07,,single_coder:MiniMax-M3
canonical,affect_acknowledgement,default,32,0.02191126556694825,0.018070696334866652,0.02558974426235209,0.0020505223331053245,3.2116980589135406e-12,,single_coder:MiniMax-M3
canonical,answer_reveal,conditional,32,-0.0008261896966200007,-0.0016319721988355392,-1.3540655817158953e-05,0.0004339689945347193,0.9668722585291483,,single_coder:MiniMax-M3
canonical,answer_reveal,default,32,0.09784697181825631,0.0846576701017661,0.11124748106422833,0.009139130222096153,3.0626070036069735e-12,,single_coder:MiniMax-M3
canonical,reasoning_elicitation,conditional,32,-0.0011337265914014756,-0.001971703729708637,-0.0003033589876975931,0.00044759817402143746,0.9917054992751441,,single_coder:MiniMax-M3
canonical,reasoning_elicitation,default,32,0.13578984448405168,0.1292930224995958,0.14200180041538712,0.003662181083702378,1.5112299527220831e-27,,single_coder:MiniMax-M3
explicit,affect_acknowledgement,conditional,32,-0.0020539115823952664,-0.006134572574311195,0.002327552847635192,0.0021801102908221796,0.8232905250738182,,single_coder:MiniMax-M3
explicit,affect_acknowledgement,default,32,0.008786570997011656,0.005379610002685202,0.012189789753989565,0.0018585853510208598,2.34138735419849e-05,,single_coder:MiniMax-M3
explicit,answer_reveal,conditional,32,-0.00018204237408112425,-0.0008553575196772396,0.0005067880744560722,0.00037111829852579754,0.6863912385732487,,single_coder:MiniMax-M3
explicit,answer_reveal,default,32,0.09996242816933174,0.08637613993640288,0.11313660123879046,0.007927818402758899,4.8272862776941004e-14,,single_coder:MiniMax-M3
explicit,reasoning_elicitation,conditional,32,-0.00021164203945905728,-0.0010029982123572923,0.0006166558472730427,0.0004482138629291532,0.679950781535698,,single_coder:MiniMax-M3
explicit,reasoning_elicitation,default,32,0.13671651189494843,0.13010058389057438,0.14293441547004954,0.0035577383036713055,5.106959170225523e-28,,single_coder:MiniMax-M3
implicit,affect_acknowledgement,conditional,32,-0.004956012923382699,-0.008353059297242922,-0.0012750561973134639,0.001936199250989046,0.9922126087049369,,single_coder:MiniMax-M3
implicit,affect_acknowledgement,default,32,0.00782757574644433,0.0030861916188862607,0.0123500728895706,0.002485721715596796,0.0018059031623893025,,single_coder:MiniMax-M3
implicit,answer_reveal,conditional,32,-0.0004783030607779801,-0.0012171436750895341,0.00026381156077599343,0.00039813784936526325,0.8806431918432996,,single_coder:MiniMax-M3
implicit,answer_reveal,default,32,0.08366396620562475,0.06817431390535407,0.09800389219191781,0.009089984064783677,1.1179499516517441e-10,,single_coder:MiniMax-M3
implicit,reasoning_elicitation,conditional,32,-0.0007904857041888746,-0.0017447233660133087,0.000174943803092354,0.0005258200649315904,0.9285640671496401,,single_coder:MiniMax-M3
implicit,reasoning_elicitation,default,32,0.12619578250551333,0.11547880996512674,0.13654650401935126,0.005950293309717119,2.5766127883030764e-20,,single_coder:MiniMax-M3
