source_family,domain,arm,event,comparison,gain
active_passive_voice,language,canonical,affect_acknowledgement,default,0.03581128285889343
active_passive_voice,language,canonical,answer_reveal,default,0.07815800203445061
active_passive_voice,language,canonical,reasoning_elicitation,default,0.1416895868316222
active_passive_voice,language,explicit,affect_acknowledgement,default,0.012352306632845811
active_passive_voice,language,explicit,answer_reveal,default,0.14281080983309113
active_passive_voice,language,explicit,reasoning_elicitation,default,0.1765917284425318
active_passive_voice,language,implicit,affect_acknowledgement,default,0.018167027889685966
active_passive_voice,language,implicit,answer_reveal,default,0.059365970324389436
active_passive_voice,language,implicit,reasoning_elicitation,default,0.1511656466265363
active_passive_voice,language,peer_control,affect_acknowledgement,default,-0.002035722671939938
active_passive_voice,language,peer_control,answer_reveal,default,0.031038968056883484
active_passive_voice,language,peer_control,reasoning_elicitation,default,0.09415929096422011
all_different_constraint,logic_and_data,canonical,affect_acknowledgement,default,0.05029487231347313
all_different_constraint,logic_and_data,canonical,answer_reveal,default,0.10687877322124453
all_different_constraint,logic_and_data,canonical,reasoning_elicitation,default,0.1197793650834066
all_different_constraint,logic_and_data,explicit,affect_acknowledgement,default,-0.010039733124313444
all_different_constraint,logic_and_data,explicit,answer_reveal,default,0.13116118032338653
all_different_constraint,logic_and_data,explicit,reasoning_elicitation,default,0.15155725310770418
all_different_constraint,logic_and_data,implicit,affect_acknowledgement,default,0.02220740986864872
all_different_constraint,logic_and_data,implicit,answer_reveal,default,0.13303271132226646
all_different_constraint,logic_and_data,implicit,reasoning_elicitation,default,0.14551169163216704
all_different_constraint,logic_and_data,peer_control,affect_acknowledgement,default,-0.004154840500065149
all_different_constraint,logic_and_data,peer_control,answer_reveal,default,0.14204707384413537
all_different_constraint,logic_and_data,peer_control,reasoning_elicitation,default,0.1400174280339728
apostrophe_possession,language,canonical,affect_acknowledgement,default,0.027294980465585983
apostrophe_possession,language,canonical,answer_reveal,default,0.0037448587587243787
apostrophe_possession,language,canonical,reasoning_elicitation,default,0.14981140113128194
apostrophe_possession,language,explicit,affect_acknowledgement,default,0.019492901623615916
apostrophe_possession,language,explicit,answer_reveal,default,0.11379915888525083
apostrophe_possession,language,explicit,reasoning_elicitation,default,0.16585923657918616
apostrophe_possession,language,implicit,affect_acknowledgement,default,-0.010831219049430824
apostrophe_possession,language,implicit,answer_reveal,default,-0.0033592571186114445
apostrophe_possession,language,implicit,reasoning_elicitation,default,0.1424398110993888
apostrophe_possession,language,peer_control,affect_acknowledgement,default,0.03405321070557438
apostrophe_possession,language,peer_control,answer_reveal,default,0.10593647506328661
apostrophe_possession,language,peer_control,reasoning_elicitation,default,0.09794722627117214
binary_place_value,logic_and_data,canonical,affect_acknowledgement,default,0.03293677144507742
binary_place_value,logic_and_data,canonical,answer_reveal,default,0.11006249984544195
binary_place_value,logic_and_data,canonical,reasoning_elicitation,default,0.12596051187646806
binary_place_value,logic_and_data,explicit,affect_acknowledgement,default,0.022915268220549068
binary_place_value,logic_and_data,explicit,answer_reveal,default,0.13588012503563077
binary_place_value,logic_and_data,explicit,reasoning_elicitation,default,0.12713799000011397
binary_place_value,logic_and_data,implicit,affect_acknowledgement,default,0.009182784175076342
binary_place_value,logic_and_data,implicit,answer_reveal,default,0.11370146786871291
binary_place_value,logic_and_data,implicit,reasoning_elicitation,default,0.14864120309526208
binary_place_value,logic_and_data,peer_control,affect_acknowledgement,default,0.0001515274729970706
binary_place_value,logic_and_data,peer_control,answer_reveal,default,0.13938577544851988
binary_place_value,logic_and_data,peer_control,reasoning_elicitation,default,0.13479752826691882
binary_search_interval,logic_and_data,canonical,affect_acknowledgement,default,0.010513744530830232
binary_search_interval,logic_and_data,canonical,answer_reveal,default,0.06269779944694538
binary_search_interval,logic_and_data,canonical,reasoning_elicitation,default,0.14713618596565892
binary_search_interval,logic_and_data,explicit,affect_acknowledgement,default,0.010887047589426102
binary_search_interval,logic_and_data,explicit,answer_reveal,default,0.007004181490880473
binary_search_interval,logic_and_data,explicit,reasoning_elicitation,default,0.12015311668927119
binary_search_interval,logic_and_data,implicit,affect_acknowledgement,default,0.01104734818240205
binary_search_interval,logic_and_data,implicit,answer_reveal,default,0.05737520265571444
binary_search_interval,logic_and_data,implicit,reasoning_elicitation,default,0.10301089269347194
binary_search_interval,logic_and_data,peer_control,affect_acknowledgement,default,0.006021624972637418
binary_search_interval,logic_and_data,peer_control,answer_reveal,default,0.11202928246593465
binary_search_interval,logic_and_data,peer_control,reasoning_elicitation,default,0.14327144608018047
boyles_law,science,canonical,affect_acknowledgement,default,0.015296066672973702
boyles_law,science,canonical,answer_reveal,default,0.10704171585655185
boyles_law,science,canonical,reasoning_elicitation,default,0.09461400409430842
boyles_law,science,explicit,affect_acknowledgement,default,0.008611158923253912
boyles_law,science,explicit,answer_reveal,default,0.11547651696974288
boyles_law,science,explicit,reasoning_elicitation,default,0.1044270530598839
boyles_law,science,implicit,affect_acknowledgement,default,-0.01363905352225235
boyles_law,science,implicit,answer_reveal,default,0.14337393224529188
boyles_law,science,implicit,reasoning_elicitation,default,0.16615438396350826
boyles_law,science,peer_control,affect_acknowledgement,default,0.029744298977131767
boyles_law,science,peer_control,answer_reveal,default,0.10857451622339921
boyles_law,science,peer_control,reasoning_elicitation,default,0.1468384767888538
chemical_equation_balance,science,canonical,affect_acknowledgement,default,0.02666726112239437
chemical_equation_balance,science,canonical,answer_reveal,default,0.06303421872699347
chemical_equation_balance,science,canonical,reasoning_elicitation,default,0.14159170421199513
chemical_equation_balance,science,explicit,affect_acknowledgement,default,-0.00931361059333978
chemical_equation_balance,science,explicit,answer_reveal,default,0.11503782288934396
chemical_equation_balance,science,explicit,reasoning_elicitation,default,0.13369613563199034
chemical_equation_balance,science,implicit,affect_acknowledgement,default,0.0019881094378688957
chemical_equation_balance,science,implicit,answer_reveal,default,0.07678735864131238
