event,comparison,arm,sources,gain,bootstrap_95_low,bootstrap_95_high,source_standard_error,p_one_sided,test_note
affect_acknowledgement,conditional,explicit,32,-0.01614399885960932,-0.022539759332228536,-0.009899106729065927,0.003428986724333698,0.9999752485960045,
affect_acknowledgement,conditional,implicit,32,-0.01876072768593566,-0.02383711927331818,-0.013575998476873257,0.002856428112224313,0.9999998767351319,
affect_acknowledgement,default,explicit,32,-0.014876943049472664,-0.02125875744516794,-0.008327656009281733,0.003415000835560848,0.9999327613565635,
affect_acknowledgement,default,implicit,32,-0.015243316757220366,-0.02064350918138378,-0.010013781882398511,0.0028423499871453686,0.9999962074613526,
answer_reveal,conditional,explicit,32,0.0006127208159865909,-0.0003505753320969573,0.0016028939850090832,0.0005254488073502637,0.12623559207713753,
answer_reveal,conditional,implicit,32,0.00021609563910513776,-0.0010688948417943427,0.0013984534250741113,0.0006471199689705723,0.3703387843295273,
answer_reveal,default,explicit,32,0.0019126769011198579,-0.011835801652811381,0.015880028043388665,0.007421492005059912,0.3991625813384899,
answer_reveal,default,implicit,32,-0.013075531960706668,-0.025253120544502242,-0.0005185049166819669,0.0070027807221219145,0.9643217385200926,
reasoning_elicitation,conditional,explicit,32,0.0009425258419149744,-0.0002576002568170553,0.0021190550405174573,0.000667091441587942,0.08382533243202217,
reasoning_elicitation,conditional,implicit,32,0.0006801911133149988,-0.000583380765501384,0.0019142109930239254,0.0006607036983919789,0.15560653157932025,
reasoning_elicitation,default,explicit,32,-0.007583877126121052,-0.01823392537851776,0.0020518584658605664,0.005496554366948687,0.9112326093757659,
reasoning_elicitation,default,implicit,32,-0.010807763825320896,-0.022803963698408022,0.0007346511914598538,0.006642073431087611,0.9430874979501339,
