regime,arm,method,baseline,brier,answers
canonical_only,canonical,global_logistic,conditional_profile,0.14606021063474636,1280
canonical_only,canonical,global_logistic,domain_profile,0.15819059724348494,1280
canonical_only,canonical,identity,conditional_profile,0.14580602693602449,1280
canonical_only,canonical,identity,domain_profile,0.15828942312674746,1280
canonical_only,canonical,per_model_logistic,conditional_profile,0.14422078153922507,1280
canonical_only,canonical,per_model_logistic,domain_profile,0.14986668362454084,1280
canonical_only,explicit,global_logistic,conditional_profile,0.14294757946000272,1280
canonical_only,explicit,global_logistic,domain_profile,0.14008322512063637,1280
canonical_only,explicit,identity,conditional_profile,0.1445009667947607,1280
canonical_only,explicit,identity,domain_profile,0.14084036412587436,1280
canonical_only,explicit,per_model_logistic,conditional_profile,0.14548931131248216,1280
canonical_only,explicit,per_model_logistic,domain_profile,0.14464332769511223,1280
canonical_only,implicit,global_logistic,conditional_profile,0.1522181438306947,1280
canonical_only,implicit,global_logistic,domain_profile,0.14634700153497712,1280
canonical_only,implicit,identity,conditional_profile,0.1554114745170953,1280
canonical_only,implicit,identity,domain_profile,0.1491341430218826,1280
canonical_only,implicit,per_model_logistic,conditional_profile,0.16125166538491198,1280
canonical_only,implicit,per_model_logistic,domain_profile,0.15738797074137234,1280
target_arm,explicit,global_logistic,conditional_profile,0.1403744233022726,1280
target_arm,explicit,global_logistic,domain_profile,0.13513498322773748,1280
target_arm,explicit,identity,conditional_profile,0.1445009667947607,1280
target_arm,explicit,identity,domain_profile,0.14084036412587436,1280
target_arm,explicit,per_model_logistic,conditional_profile,0.13265707072838,1280
target_arm,explicit,per_model_logistic,domain_profile,0.12912304912249692,1280
target_arm,implicit,global_logistic,conditional_profile,0.1412860174914215,1280
target_arm,implicit,global_logistic,domain_profile,0.1308301982040017,1280
target_arm,implicit,identity,conditional_profile,0.1554114745170953,1280
target_arm,implicit,identity,domain_profile,0.1491341430218826,1280
target_arm,implicit,per_model_logistic,conditional_profile,0.13329329557482186,1280
target_arm,implicit,per_model_logistic,domain_profile,0.1250622895667572,1280
