regime,arm,method,gain,bootstrap_95_low,bootstrap_95_high,sources,identity_gain,gain_change_from_identity
canonical_only,canonical,global_logistic,0.012130386608738568,0.008658885202546417,0.015635397818065402,32,0.012483396190722964,-0.00035300958198439605
canonical_only,canonical,identity,0.012483396190722964,0.008899702541915189,0.016159463929107727,32,0.012483396190722964,0.0
canonical_only,canonical,per_model_logistic,0.005645902085315759,0.003523005691706229,0.007680433981095896,32,0.012483396190722964,-0.006837494105407205
canonical_only,explicit,global_logistic,-0.0028643543393663835,-0.007124275789568799,0.0017324607875594934,32,-0.0036606026688863562,0.0007962483295199728
canonical_only,explicit,identity,-0.0036606026688863562,-0.007973742024966295,0.000926957822068078,32,-0.0036606026688863562,0.0
canonical_only,explicit,per_model_logistic,-0.0008459836173699423,-0.0040115531894026465,0.002257223247190224,32,-0.0036606026688863562,0.002814619051516414
canonical_only,implicit,global_logistic,-0.00587114229571757,-0.009315379481905688,-0.0022391204349273826,32,-0.006277331495212696,0.00040618919949512566
canonical_only,implicit,identity,-0.006277331495212696,-0.0096460007964873,-0.0027277849374993204,32,-0.006277331495212696,0.0
canonical_only,implicit,per_model_logistic,-0.003863694643539645,-0.006323584458552893,-0.0011573678823383726,32,-0.006277331495212696,0.002413636851673051
target_arm,explicit,global_logistic,-0.005239440074535091,-0.009824453220579663,-0.00033574304430406167,32,-0.0036606026688863562,-0.0015788374056487351
target_arm,explicit,identity,-0.0036606026688863562,-0.007973742024966295,0.000926957822068078,32,-0.0036606026688863562,0.0
target_arm,explicit,per_model_logistic,-0.003534021605883093,-0.0076995219881316615,0.0006316049913439947,32,-0.0036606026688863562,0.00012658106300326337
target_arm,implicit,global_logistic,-0.010455819287419791,-0.015100334567133299,-0.005695219946124777,32,-0.006277331495212696,-0.004178487792207095
target_arm,implicit,identity,-0.006277331495212696,-0.0096460007964873,-0.0027277849374993204,32,-0.006277331495212696,0.0
target_arm,implicit,per_model_logistic,-0.008231006008064654,-0.011537946617015737,-0.0047084603335178585,32,-0.006277331495212696,-0.001953674512851958
