source_family,domain,fold
active_passive_voice,language,0
apostrophe_possession,language,0
contrast_connective,language,1
homophone_selection,language,1
direct_speech_punctuation,language,2
figurative_metaphor,language,2
parallel_structure,language,3
relative_clause_attachment,language,3
binary_place_value,logic_and_data,0
exclusive_or,logic_and_data,0
loop_accumulation,logic_and_data,1
weighted_graph_path,logic_and_data,1
binary_search_interval,logic_and_data,2
pigeonhole_principle,logic_and_data,2
all_different_constraint,logic_and_data,3
sampling_frame_bias,logic_and_data,3
least_common_multiple,mathematics,0
pythagorean_length,mathematics,0
factorial_counting,mathematics,1
median,mathematics,1
exponent_product,mathematics,2
rectangular_prism_volume,mathematics,2
signed_integer_addition,mathematics,3
triangle_area,mathematics,3
kinetic_energy,science,0
turning_moment,science,0
boyles_law,science,1
chemical_equation_balance,science,1
half_life,science,2
photosynthesis_inputs,science,2
pressure,science,3
trophic_energy_transfer,science,3
