model_group,training_arm,target_arm,method,fold,intercept,slope,converged,training_answers,boundary_hit,regime,baseline
all,canonical,canonical,global_logistic,0,-0.10748505767572436,0.9560733923622371,True,960,False,canonical_only,domain_profile
all,canonical,canonical,global_logistic,1,-0.049325657193889955,0.895860496189273,True,960,False,canonical_only,domain_profile
all,canonical,canonical,global_logistic,2,-0.06918910440395377,0.8987737144281692,True,960,False,canonical_only,domain_profile
all,canonical,canonical,global_logistic,3,-0.06324572704104116,0.9346623374533903,True,960,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,0,-0.8542182259304668,0.805598520173651,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,canonical,per_model_logistic,0,0.16928547447912012,0.6159534199945161,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,0,0.16963503934553975,0.5748404666333811,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,0,-0.19680143684976587,2.2851734135200696,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,canonical,per_model_logistic,0,0.1758558636228376,1.3105916446375925,True,192,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,1,-0.585100960127164,0.8086311518626911,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,canonical,per_model_logistic,1,0.5401013783033559,0.4755533396014839,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,1,0.11969042353803702,0.5461024047177876,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,1,-0.25431918897094347,2.0737500873164953,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,canonical,per_model_logistic,1,-0.07952360572548484,1.1669032779687192,True,192,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,2,-0.7544245256749229,0.743961642007867,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,canonical,per_model_logistic,2,0.38013758293658717,0.5310050311250833,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,2,0.4251240730335589,0.5859973151682822,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,2,-0.3242497087504882,2.117284034528905,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,canonical,per_model_logistic,2,-0.2563229778708983,1.1554990145068398,True,192,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,3,-0.5905265262527948,0.7623296752963858,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,canonical,per_model_logistic,3,0.34972621082113226,0.7183738794325117,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,3,0.12014016346478597,0.4861095981818257,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,3,-0.26626963387316815,2.2507574187600294,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,canonical,per_model_logistic,3,-0.08181620650777283,1.1799631609779317,True,192,False,canonical_only,domain_profile
all,canonical,canonical,global_logistic,0,-0.12399387881624935,0.9937434301245347,True,960,False,canonical_only,conditional_profile
all,canonical,canonical,global_logistic,1,-0.05873876939536541,0.9085892826294,True,960,False,canonical_only,conditional_profile
all,canonical,canonical,global_logistic,2,-0.08054118154957098,0.9140577670486926,True,960,False,canonical_only,conditional_profile
all,canonical,canonical,global_logistic,3,-0.07617277564606922,0.9708699004514363,True,960,False,canonical_only,conditional_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,0,-0.8714169280383175,0.7465957843810122,True,192,False,canonical_only,conditional_profile
MiniMax-M3,canonical,canonical,per_model_logistic,0,0.027660413469164827,0.8496601601946119,True,192,False,canonical_only,conditional_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,0,0.1372936648733633,1.1909615520356576,True,192,False,canonical_only,conditional_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,0,0.027972034386146278,1.2433229248996633,True,192,False,canonical_only,conditional_profile
glm-5.3,canonical,canonical,per_model_logistic,0,0.22235302853001332,0.9772081873181518,True,192,False,canonical_only,conditional_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,1,-0.6032461332318656,0.7296397547331737,True,192,False,canonical_only,conditional_profile
MiniMax-M3,canonical,canonical,per_model_logistic,1,0.4253619736074958,0.6594417557016943,True,192,False,canonical_only,conditional_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,1,0.08673251322458389,1.0762723021939142,True,192,False,canonical_only,conditional_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,1,-0.07626283846592107,1.0523916386003147,True,192,False,canonical_only,conditional_profile
glm-5.3,canonical,canonical,per_model_logistic,1,-0.044945296535652206,0.8542575407442872,True,192,False,canonical_only,conditional_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,2,-0.7694679290187886,0.677187667749007,True,192,False,canonical_only,conditional_profile
MiniMax-M3,canonical,canonical,per_model_logistic,2,0.23234684287123275,0.7663251596832713,True,192,False,canonical_only,conditional_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,2,0.4315031932215389,1.107674771663329,True,192,False,canonical_only,conditional_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,2,-0.13795645773440995,1.0688051276825392,True,192,False,canonical_only,conditional_profile
glm-5.3,canonical,canonical,per_model_logistic,2,-0.22579380762348894,0.8682264819166491,True,192,False,canonical_only,conditional_profile
MiniMax-M2.7,canonical,canonical,per_model_logistic,3,-0.6060547164850885,0.6993269449545305,True,192,False,canonical_only,conditional_profile
MiniMax-M3,canonical,canonical,per_model_logistic,3,0.16283381961537305,1.0373100243710258,True,192,False,canonical_only,conditional_profile
deepseek-v4-pro,canonical,canonical,per_model_logistic,3,0.0911587862822094,1.007790816459858,True,192,False,canonical_only,conditional_profile
doubao-seed-2.0-lite,canonical,canonical,per_model_logistic,3,-0.047870943410203,1.2224263305331875,True,192,False,canonical_only,conditional_profile
glm-5.3,canonical,canonical,per_model_logistic,3,-0.0471627566160244,0.8761503774027436,True,192,False,canonical_only,conditional_profile
all,canonical,explicit,global_logistic,0,-0.10748505767572436,0.9560733923622371,True,960,False,canonical_only,domain_profile
all,canonical,explicit,global_logistic,1,-0.049325657193889955,0.895860496189273,True,960,False,canonical_only,domain_profile
all,canonical,explicit,global_logistic,2,-0.06918910440395377,0.8987737144281692,True,960,False,canonical_only,domain_profile
all,canonical,explicit,global_logistic,3,-0.06324572704104116,0.9346623374533903,True,960,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,explicit,per_model_logistic,0,-0.8542182259304668,0.805598520173651,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,explicit,per_model_logistic,0,0.16928547447912012,0.6159534199945161,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,explicit,per_model_logistic,0,0.16963503934553975,0.5748404666333811,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,explicit,per_model_logistic,0,-0.19680143684976587,2.2851734135200696,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,explicit,per_model_logistic,0,0.1758558636228376,1.3105916446375925,True,192,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,explicit,per_model_logistic,1,-0.585100960127164,0.8086311518626911,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,explicit,per_model_logistic,1,0.5401013783033559,0.4755533396014839,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,explicit,per_model_logistic,1,0.11969042353803702,0.5461024047177876,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,explicit,per_model_logistic,1,-0.25431918897094347,2.0737500873164953,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,explicit,per_model_logistic,1,-0.07952360572548484,1.1669032779687192,True,192,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,explicit,per_model_logistic,2,-0.7544245256749229,0.743961642007867,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,explicit,per_model_logistic,2,0.38013758293658717,0.5310050311250833,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,explicit,per_model_logistic,2,0.4251240730335589,0.5859973151682822,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,explicit,per_model_logistic,2,-0.3242497087504882,2.117284034528905,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,explicit,per_model_logistic,2,-0.2563229778708983,1.1554990145068398,True,192,False,canonical_only,domain_profile
MiniMax-M2.7,canonical,explicit,per_model_logistic,3,-0.5905265262527948,0.7623296752963858,True,192,False,canonical_only,domain_profile
MiniMax-M3,canonical,explicit,per_model_logistic,3,0.34972621082113226,0.7183738794325117,True,192,False,canonical_only,domain_profile
deepseek-v4-pro,canonical,explicit,per_model_logistic,3,0.12014016346478597,0.4861095981818257,True,192,False,canonical_only,domain_profile
doubao-seed-2.0-lite,canonical,explicit,per_model_logistic,3,-0.26626963387316815,2.2507574187600294,True,192,False,canonical_only,domain_profile
glm-5.3,canonical,explicit,per_model_logistic,3,-0.08181620650777283,1.1799631609779317,True,192,False,canonical_only,domain_profile
all,canonical,explicit,global_logistic,0,-0.12399387881624935,0.9937434301245347,True,960,False,canonical_only,conditional_profile
