regime,arm,method,domain,source_family,conditional_profile,domain_profile,gain
canonical_only,canonical,global_logistic,language,active_passive_voice,0.17829914489070547,0.19934378310553635,0.02104463821483088
canonical_only,canonical,global_logistic,language,apostrophe_possession,0.18997299700621675,0.18671243900573248,-0.003260558000484276
canonical_only,canonical,global_logistic,language,contrast_connective,0.09329148638016674,0.103904413519139,0.010612927138972258
canonical_only,canonical,global_logistic,language,direct_speech_punctuation,0.1444191253203088,0.1549829889090411,0.01056386358873232
canonical_only,canonical,global_logistic,language,figurative_metaphor,0.12971982344804214,0.16053460431573924,0.030814780867697095
canonical_only,canonical,global_logistic,language,homophone_selection,0.14303670701558988,0.14802575941200066,0.004989052396410787
canonical_only,canonical,global_logistic,language,parallel_structure,0.14716189419427345,0.16729627888865245,0.020134384694379004
canonical_only,canonical,global_logistic,language,relative_clause_attachment,0.20662093748814453,0.21372874856982155,0.007107811081677018
canonical_only,canonical,global_logistic,logic_and_data,all_different_constraint,0.18979228095987116,0.19517674399023244,0.005384463030361275
canonical_only,canonical,global_logistic,logic_and_data,binary_place_value,0.13862366791259767,0.14998395830282613,0.011360290390228456
canonical_only,canonical,global_logistic,logic_and_data,binary_search_interval,0.11279512144546713,0.11907466435122546,0.0062795429057583285
canonical_only,canonical,global_logistic,logic_and_data,exclusive_or,0.12571351166656042,0.1302396062889649,0.00452609462240447
canonical_only,canonical,global_logistic,logic_and_data,loop_accumulation,0.13826643952486597,0.16494430361756712,0.026677864092701148
canonical_only,canonical,global_logistic,logic_and_data,pigeonhole_principle,0.15886919149485504,0.17015972487367254,0.011290533378817497
canonical_only,canonical,global_logistic,logic_and_data,sampling_frame_bias,0.13510297124380446,0.14420689950922924,0.009103928265424777
canonical_only,canonical,global_logistic,logic_and_data,weighted_graph_path,0.1370442678611014,0.14621036084992606,0.009166092988824648
canonical_only,canonical,global_logistic,mathematics,exponent_product,0.12929024205260076,0.1616286954617277,0.032338453409126944
canonical_only,canonical,global_logistic,mathematics,factorial_counting,0.14736056093894495,0.18660269202991675,0.0392421310909718
canonical_only,canonical,global_logistic,mathematics,least_common_multiple,0.12814863213003921,0.15159853147720515,0.02344989934716593
canonical_only,canonical,global_logistic,mathematics,median,0.16242902101978035,0.16947208920168172,0.0070430681819013685
