arm,event,baseline,brier,observed_rate,mean_forecast,answers
canonical,affect_acknowledgement,conditional_profile,0.14580602693602449,0.53671875,0.5499657047592476,1280
canonical,affect_acknowledgement,context,0.1835107501781431,0.53671875,0.5499544263201255,1280
canonical,affect_acknowledgement,default_profile,0.16034708080868254,0.53671875,0.5499547526470262,1280
canonical,affect_acknowledgement,domain_profile,0.15828942312674746,0.53671875,0.5499558930187894,1280
canonical,answer_reveal,conditional_profile,0.06276157705623168,0.8,0.7869596636292705,1280
canonical,answer_reveal,context,0.1581494439540897,0.8,0.7872503179590906,1280
canonical,answer_reveal,default_profile,0.06276051101462371,0.8,0.7870324021166152,1280
canonical,answer_reveal,domain_profile,0.06204116739886391,0.8,0.7869515658213724,1280
canonical,reasoning_elicitation,conditional_profile,0.08468786990520637,0.3171875,0.325120480179356,1280
canonical,reasoning_elicitation,context,0.2187289067088011,0.3171875,0.32551554046656384,1280
canonical,reasoning_elicitation,default_profile,0.08044593282066927,0.3171875,0.32512075362172566,1280
canonical,reasoning_elicitation,domain_profile,0.08339273465528267,0.3171875,0.32512119516413607,1280
explicit,affect_acknowledgement,conditional_profile,0.1445009667947607,0.48359375,0.5499657047592476,1280
explicit,affect_acknowledgement,context,0.14785434338059117,0.48359375,0.5499544263201255,1280
explicit,affect_acknowledgement,default_profile,0.13956761706060328,0.48359375,0.5499547526470262,1280
explicit,affect_acknowledgement,domain_profile,0.14084036412587436,0.48359375,0.5499558930187894,1280
explicit,answer_reveal,conditional_profile,0.06409963065332494,0.79609375,0.7869596636292705,1280
explicit,answer_reveal,context,0.16147031524693634,0.79609375,0.7872503179590906,1280
explicit,answer_reveal,default_profile,0.06416870540635052,0.79609375,0.7870324021166152,1280
explicit,answer_reveal,domain_profile,0.06399194181194376,0.79609375,0.7869515658213724,1280
explicit,reasoning_elicitation,conditional_profile,0.09036527430543255,0.31328125,0.325120480179356,1280
explicit,reasoning_elicitation,context,0.21716009778267775,0.31328125,0.32551554046656384,1280
explicit,reasoning_elicitation,default_profile,0.08646100102066695,0.31328125,0.32512075362172566,1280
explicit,reasoning_elicitation,domain_profile,0.09001266489742384,0.31328125,0.32512119516413607,1280
implicit,affect_acknowledgement,conditional_profile,0.1554114745170953,0.4265625,0.5499657047592476,1280
implicit,affect_acknowledgement,context,0.1567551009742026,0.4265625,0.5499544263201255,1280
implicit,affect_acknowledgement,default_profile,0.14883474836196237,0.4265625,0.5499547526470262,1280
implicit,affect_acknowledgement,domain_profile,0.1491341430218826,0.4265625,0.5499558930187894,1280
implicit,answer_reveal,conditional_profile,0.07819453437732089,0.79609375,0.7869596636292705,1280
implicit,answer_reveal,context,0.16019659675773518,0.79609375,0.7872503179590906,1280
implicit,answer_reveal,default_profile,0.07788319577897587,0.79609375,0.7870324021166152,1280
implicit,answer_reveal,domain_profile,0.07769022035905825,0.79609375,0.7869515658213724,1280
implicit,reasoning_elicitation,conditional_profile,0.09843389754449472,0.32734375,0.325120480179356,1280
implicit,reasoning_elicitation,context,0.22104928142255725,0.32734375,0.32551554046656384,1280
implicit,reasoning_elicitation,default_profile,0.09357407135974631,0.32734375,0.32512075362172566,1280
implicit,reasoning_elicitation,domain_profile,0.09781895340788603,0.32734375,0.32512119516413607,1280
