arm,model,observed_pole_difference,forecast_pole_difference
canonical,MiniMax-M2.7,0.3515625,0.5416730829044981
canonical,MiniMax-M3,0.328125,0.35970110531503485
canonical,deepseek-v4-pro,0.1875,0.2625327883284803
canonical,doubao-seed-2.0-lite,0.75,0.7454991875124174
canonical,glm-5.3,0.609375,0.6787877351276417
explicit,MiniMax-M2.7,0.4375,0.5416730829044981
explicit,MiniMax-M3,0.765625,0.35970110531503485
explicit,deepseek-v4-pro,0.484375,0.2625327883284803
explicit,doubao-seed-2.0-lite,0.7421875,0.7454991875124174
explicit,glm-5.3,0.640625,0.6787877351276417
implicit,MiniMax-M2.7,0.453125,0.5416730829044981
implicit,MiniMax-M3,0.75,0.35970110531503485
implicit,deepseek-v4-pro,0.5078125,0.2625327883284803
implicit,doubao-seed-2.0-lite,0.6484375,0.7454991875124174
implicit,glm-5.3,0.84375,0.6787877351276417
