request_id,judge_requested,judge_returned,valid,error
abd08b37eb0032ade9ab:glm-5.3,glm-5.3,glm-5.3,True,
ed8acc1064a85f6be7b5:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
5b2166e42aeb665ec267:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
ac05e1d9834186db3042:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
35d639e214900c8fc48c:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e0e51c4779f0d692fbd1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
01128438c68b2cf6646f:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
cd7a0bb348dc5b9b0e27:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
b438cd5d70153d4bde0b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
38301962b9c927d85bf6:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
e5ba5d5748745d92abba:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
371b234621fd55484790:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
bf3cfdc0afd1f10639a2:glm-5.3,glm-5.3,glm-5.3,True,
efc42114f467a7d35fec:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
8cd1913706eab00a0b71:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
25f6a765c479b24a59f6:glm-5.3,glm-5.3,glm-5.3,True,
2a87c8031f36e890365b:glm-5.3,glm-5.3,glm-5.3,True,
4a371ff911def7beebb8:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
72366a76b981690c8864:glm-5.3,glm-5.3,glm-5.3,True,
619fd0876b6eea48c91d:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
419eeaaf13584f3da2c3:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
a279f0b8e2fe1ad5389d:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
40055e9e41bf40cb0778:glm-5.3,glm-5.3,glm-5.3,True,
8fb599dac038a0c7652b:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
cfafd470605fbf19aeac:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
2193c3d382e86b880c04:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
28f96fab35d0f59f2503:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
ad22c211986bf0cd45b1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
339e839606f70443edf8:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
5cfd27bcf01b562968a4:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
6b59d23bf565a1a4bd2c:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
47f4e8e9dae56c661846:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
5a40dfc56fc1c1b0447c:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
f31ef38e324423dc5125:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ba682818b1dbf58b07be:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
e202e871627f33cef913:glm-5.3,glm-5.3,glm-5.3,True,
c18c47bc2d19c4bf69ca:glm-5.3,glm-5.3,glm-5.3,True,
9581cf96a949d6d0b8a2:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
c71d734854716e798e55:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
3adbb4c114773122e36d:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
793e8094213b6addc3df:glm-5.3,glm-5.3,glm-5.3,True,
5d4b7c5a585736f37baa:glm-5.3,glm-5.3,glm-5.3,True,
2d7957f70e2f409ee1a7:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
4e3c39f4ace467c80cd2:glm-5.3,glm-5.3,glm-5.3,True,
2247804f0b1da3bbfe1a:glm-5.3,glm-5.3,glm-5.3,True,
fe7a06adadfce6e10d47:glm-5.3,glm-5.3,glm-5.3,True,
74767bff5b90e88d8983:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
3d6821c9b2ada2529bb5:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
49ae686cf963465f64f5:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
7bf050cd0cb53aad3fcd:glm-5.3,glm-5.3,glm-5.3,True,
8ea0e5ac0aae4e86a9a2:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
7a65684ade0fd9950752:glm-5.3,glm-5.3,glm-5.3,True,
b9ec16e5e709437a973a:glm-5.3,glm-5.3,glm-5.3,True,
f7cf4861a410828d41f2:glm-5.3,glm-5.3,glm-5.3,True,
b9fd2de29bd854109783:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
d7d45e9963d6378e6eaf:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
33a59ec6e950c5a51f24:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
04bf3771f1f066905773:glm-5.3,glm-5.3,glm-5.3,True,
e7e2d06d4f1fe957ccb4:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
c35bce6fcffdea27d2a2:glm-5.3,glm-5.3,glm-5.3,True,
93b0e7cac8f9045bc184:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
f5b1c5477a665105a385:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
738787171c1df493678b:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
60c32bdb77faef525bcb:glm-5.3,glm-5.3,glm-5.3,True,
fdbfc14753ee0ede6e4a:glm-5.3,glm-5.3,glm-5.3,True,
a973122ad94a657f943a:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
11a8e678e33cea9006e5:glm-5.3,glm-5.3,glm-5.3,True,
5750995257ded154bd8a:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
a2e131c91b4aebf2d7c0:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
3faef6872ba4f4eafab8:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
6bbf45ac8617d0dc6a7a:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
788287ff01be0093f74f:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
5d9208baf94aa85effbe:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
893cfa24da7ae559ae06:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
9ff136849e68e98394c9:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
0f28ce025ed6f4f78d95:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
5db70e4a4331234103e9:glm-5.3,glm-5.3,glm-5.3,True,
45be041eeda3408b405f:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
fe584381d24527339983:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
0731018a33d3fd719e99:glm-5.3,glm-5.3,glm-5.3,True,
2b1f10deac400a9fa586:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
0e36e5767731e9c35bea:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
232252ad3473bde74fee:glm-5.3,glm-5.3,glm-5.3,True,
146f673b4bb70b00bcf0:glm-5.3,glm-5.3,glm-5.3,True,
85ca96dcab1a3b245ca3:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
5501bf70cf6a9d2c3669:glm-5.3,glm-5.3,glm-5.3,True,
674b15dacad339022296:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
37c0f3ecd602ad49390e:glm-5.3,glm-5.3,glm-5.3,True,
27220475b4acc9bc58f1:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
0a15aa55d1e56d7a8455:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
d3b2648d78d1094814f9:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
8af1cd35124fd90c7ce9:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
1bf0617d1975ee9ce963:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
55353cb21516ce8e32d7:glm-5.3,glm-5.3,glm-5.3,True,
de16de4f52c14bc89179:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
135fcc14e2f0351c1555:glm-5.3,glm-5.3,glm-5.3,True,
bbe2dcfa918c507c653c:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
99554e1c3a15fa2d407b:MiniMax-M3,MiniMax-M3,MiniMax-M3,True,
ca125ce084f6809b65a7:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
b01e422ca1588d38da09:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
cda2009a4332e7375af0:deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,True,
