model,category,n,abstention_propensity,accuracy
deepseek-v4-pro,1,50,0.98,0.98
deepseek-v4-pro,2,50,0.94,0.94
deepseek-v4-pro,3,50,0.64,0.64
deepseek-v4-pro,4,50,0.88,0.88
deepseek-v4-pro,5,50,0.92,0.92
deepseek-v4-pro,answerable,250,0.06,0.912
doubao-seed-2.0-pro,1,50,0.96,0.96
doubao-seed-2.0-pro,2,50,0.94,0.94
doubao-seed-2.0-pro,3,50,0.52,0.52
doubao-seed-2.0-pro,4,50,0.88,0.88
doubao-seed-2.0-pro,5,50,0.86,0.86
doubao-seed-2.0-pro,answerable,250,0.036,0.94
glm-5.2,1,50,0.96,0.96
glm-5.2,2,50,0.94,0.94
glm-5.2,3,50,0.62,0.62
glm-5.2,4,50,0.9,0.9
glm-5.2,5,50,0.88,0.88
glm-5.2,answerable,250,0.036,0.932
minimax-m2.7,1,50,0.86,0.86
minimax-m2.7,2,50,0.9,0.9
minimax-m2.7,3,50,0.6,0.6
minimax-m2.7,4,50,0.82,0.82
minimax-m2.7,5,50,0.56,0.56
minimax-m2.7,answerable,250,0.024,0.928
minimax-m3,1,50,0.92,0.92
minimax-m3,2,50,0.9,0.9
minimax-m3,3,50,0.42,0.42
minimax-m3,4,50,0.76,0.76
minimax-m3,5,50,0.74,0.74
minimax-m3,answerable,250,0.004,0.956
qwen3.5-4b,1,50,0.9,0.9
qwen3.5-4b,2,50,0.94,0.94
qwen3.5-4b,3,50,0.86,0.86
qwen3.5-4b,4,50,0.94,0.94
qwen3.5-4b,5,50,0.92,0.92
qwen3.5-4b,answerable,250,0.048,0.916
