family,feature,models_positive,models_negative,models_zero,model_count,min_model_mean_delta,max_model_mean_delta
mathdial_bridge,question_rate,9,0,0,9,1.999199524770669,3.382979488787589
mathdial_bridge_hard,question_rate,9,0,0,9,1.877860829901567,3.4734773088015376
mathdial_bridge,answer_reveal_rate,1,8,0,9,-0.16524956569217716,0.02948627825683217
mathdial_bridge_hard,answer_reveal_rate,3,6,0,9,-0.21607415389363402,0.05854130168136069
mathdial_bridge,praise_rate,6,3,0,9,-0.9507487031609184,1.2890870174230598
mathdial_bridge_hard,praise_rate,6,3,0,9,-1.113351001798566,1.0302651610493285
mathdial_bridge,imperative_rate,7,2,0,9,-0.5236064170349334,1.0638214470276035
mathdial_bridge_hard,imperative_rate,5,4,0,9,-0.49697855576985106,0.828046545580269
mathdial_bridge,first_plural_rate,6,3,0,9,-0.24441199255137128,0.7003373196504313
mathdial_bridge_hard,first_plural_rate,6,3,0,9,-0.20590866318057055,0.6769283069902438
mathdial_bridge,hedge_rate,9,0,0,9,0.04906354115819738,0.6071957246315615
mathdial_bridge_hard,hedge_rate,8,1,0,9,-0.04705087120573136,0.3818534966317495
mathdial_bridge,explanation_rate,3,6,0,9,-0.3439859334468833,0.20535363775439028
mathdial_bridge_hard,explanation_rate,2,7,0,9,-0.32233624993246235,0.3914947855276138
mathdial_bridge,diagnosis_rate,0,9,0,9,-0.5245665569483617,-0.027111556800405442
mathdial_bridge_hard,diagnosis_rate,0,9,0,9,-0.5425269934622092,-0.02325880361668118
mathdial_bridge,log_tokens,0,9,0,9,-0.47804645228204307,-0.19163775235286565
mathdial_bridge_hard,log_tokens,0,9,0,9,-0.4506020258059241,-0.20107279898056837
