feature,icc3_1,mean_pairwise_spearman,task_count
emoji_rate,0.9805605290039079,0.875,4
mean_sentence_tokens,0.8594971044518575,0.9111111111111111,4
log_chars,0.8252466626940422,0.8583333333333333,4
log_tokens,0.8120027171904222,0.8388888888888889,4
latex_rate,0.7451040887841145,0.7944444444444444,4
explanation_rate,0.7280847536260654,0.725,4
first_plural_rate,0.7110196632365532,0.7999999999999999,4
second_person_rate,0.692043772422272,0.7277777777777777,4
answer_reveal_rate,0.6705937512061063,0.5583333333333333,4
imperative_rate,0.6691520630925619,0.6333333333333333,4
hedge_rate,0.6664326674193854,0.6944444444444445,4
history_reference_rate,0.6363603559748254,0.6666666666666666,4
line_count,0.6117024712483701,0.9252726438534401,4
sentence_count,0.5671604038502455,0.7388888888888889,4
question_rate,0.4803257850109671,0.4222222222222223,4
diagnosis_rate,0.4723638765109744,0.5944444444444444,4
praise_rate,0.4448400731313474,0.3833333333333333,4
ends_question,0.3047957898698278,0.19444444444444445,4
encouragement_rate,0.27662469827013264,0.28333333333333327,4
exactly_one_question,0.2316362406834211,0.09468902972401172,4
numbered_step_rate,0.13715713133315055,0.46489158784493906,4
markdown_heading_rate,,,4
bullet_rate,,,4
table_present,,,4
