condition_factor,condition_level,contrast,mean_difference
question_policy,question_first,direct_minus_explore_reveal,0.07343749999999999
question_policy,question_first,explore_minus_direct_question,-0.06093749999999998
question_policy,explain_only,direct_minus_explore_reveal,0.07343749999999999
question_policy,explain_only,explore_minus_direct_question,0.0
answer_policy,reveal,direct_minus_explore_reveal,0.14531249999999996
answer_policy,reveal,explore_minus_direct_question,-0.0390625
answer_policy,withhold,direct_minus_explore_reveal,0.0015625
answer_policy,withhold,explore_minus_direct_question,-0.021874999999999978
tone_policy,warm,direct_minus_explore_reveal,0.0625
tone_policy,warm,explore_minus_direct_question,-0.04531249999999998
tone_policy,neutral,direct_minus_explore_reveal,0.08437499999999998
tone_policy,neutral,explore_minus_direct_question,-0.015625
