problem_family,factor,metric,mean_difference
arithmetic_mean,question_policy,question_first,0.775
arithmetic_mean,answer_policy,answer_reveal_correct,0.928125
arithmetic_mean,tone_policy,warmth_marker,0.659375
fraction_addition,question_policy,question_first,0.7875
fraction_addition,answer_policy,answer_reveal_correct,0.8781249999999999
fraction_addition,tone_policy,warmth_marker,0.58125
linear_equation,question_policy,question_first,0.778125
linear_equation,answer_policy,answer_reveal_correct,0.896875
linear_equation,tone_policy,warmth_marker,0.6125
percentage_discount,question_policy,question_first,0.75
percentage_discount,answer_policy,answer_reveal_correct,0.878125
percentage_discount,tone_policy,warmth_marker,0.5249999999999999
