axis,left_pool,right_pool,spearman,exact_two_sided_p,model_count
communal_expression,non_tutoring,default_tutoring,0.8285714285714287,0.059639389736477116,6
communal_expression,non_tutoring,prompted_tutoring,0.2571428571428572,0.6588072122052705,6
communal_expression,default_tutoring,prompted_tutoring,0.3142857142857143,0.5644937586685159,6
dialogic_engagement,non_tutoring,default_tutoring,0.6571428571428573,0.17614424410540916,6
dialogic_engagement,non_tutoring,prompted_tutoring,0.2,0.7142857142857143,6
dialogic_engagement,default_tutoring,prompted_tutoring,-0.028571428571428574,1.0,6
directive_expression,non_tutoring,default_tutoring,-0.08571428571428573,0.9195561719833565,6
directive_expression,non_tutoring,prompted_tutoring,0.4285714285714286,0.420249653259362,6
directive_expression,default_tutoring,prompted_tutoring,0.6,0.24271844660194175,6
epistemic_caution_language,non_tutoring,default_tutoring,-0.2,0.7142857142857143,6
epistemic_caution_language,non_tutoring,prompted_tutoring,-0.6,0.24271844660194175,6
epistemic_caution_language,default_tutoring,prompted_tutoring,0.6,0.24271844660194175,6
boundary_refusal_expression,non_tutoring,default_tutoring,-0.2571428571428572,0.6588072122052705,6
boundary_refusal_expression,non_tutoring,prompted_tutoring,-0.028571428571428574,1.0,6
boundary_refusal_expression,default_tutoring,prompted_tutoring,0.7142857142857143,0.13730929264909847,6
organizational_style,non_tutoring,default_tutoring,0.6,0.24271844660194175,6
organizational_style,non_tutoring,prompted_tutoring,0.5408987230262506,0.26768377253814146,6
organizational_style,default_tutoring,prompted_tutoring,0.5408987230262506,0.26768377253814146,6
verbosity,non_tutoring,default_tutoring,0.7714285714285715,0.10402219140083217,6
verbosity,non_tutoring,prompted_tutoring,0.4285714285714286,0.420249653259362,6
verbosity,default_tutoring,prompted_tutoring,0.8857142857142858,0.03467406380027739,6
