axis,omitted_non_tutoring_domain,spearman,exact_two_sided_p,model_count
communal_expression,educational_assessment,0.7142857142857143,0.13730929264909847,6
dialogic_engagement,educational_assessment,0.6571428571428573,0.17614424410540916,6
directive_expression,educational_assessment,-0.08571428571428573,0.9195561719833565,6
epistemic_caution_language,educational_assessment,-0.2,0.7142857142857143,6
boundary_refusal_expression,educational_assessment,-0.2571428571428572,0.6588072122052705,6
organizational_style,educational_assessment,0.6,0.24271844660194175,6
verbosity,educational_assessment,0.7714285714285715,0.10402219140083217,6
communal_expression,general_reasoning,0.6571428571428573,0.17614424410540916,6
dialogic_engagement,general_reasoning,0.6,0.24271844660194175,6
directive_expression,general_reasoning,0.028571428571428574,1.0,6
epistemic_caution_language,general_reasoning,-0.3714285714285715,0.49791955617198336,6
boundary_refusal_expression,general_reasoning,-0.2571428571428572,0.6588072122052705,6
organizational_style,general_reasoning,0.6571428571428573,0.17614424410540916,6
verbosity,general_reasoning,0.7714285714285715,0.10402219140083217,6
communal_expression,instruction_following,0.8285714285714287,0.059639389736477116,6
dialogic_engagement,instruction_following,0.6571428571428573,0.17614424410540916,6
directive_expression,instruction_following,-0.5428571428571429,0.29819694868238555,6
epistemic_caution_language,instruction_following,-0.2,0.7142857142857143,6
boundary_refusal_expression,instruction_following,-0.2571428571428572,0.6588072122052705,6
organizational_style,instruction_following,0.6,0.24271844660194175,6
verbosity,instruction_following,0.7714285714285715,0.10402219140083217,6
communal_expression,safety_assistance,0.7142857142857143,0.13730929264909847,6
dialogic_engagement,safety_assistance,0.7142857142857143,0.13730929264909847,6
directive_expression,safety_assistance,0.14285714285714288,0.8030513176144244,6
epistemic_caution_language,safety_assistance,-0.6,0.24271844660194175,6
boundary_refusal_expression,safety_assistance,0.2,0.7142857142857143,6
organizational_style,safety_assistance,0.6571428571428573,0.17614424410540916,6
verbosity,safety_assistance,0.8857142857142858,0.03467406380027739,6
communal_expression,self_monitoring,0.942857142857143,0.018030513176144243,6
dialogic_engagement,self_monitoring,0.6571428571428573,0.17614424410540916,6
directive_expression,self_monitoring,-0.2,0.7142857142857143,6
epistemic_caution_language,self_monitoring,-0.2,0.7142857142857143,6
boundary_refusal_expression,self_monitoring,-0.2571428571428572,0.6588072122052705,6
organizational_style,self_monitoring,0.6,0.24271844660194175,6
verbosity,self_monitoring,0.8285714285714287,0.059639389736477116,6
