benchmark,domain,condition,model,communal_expression,dialogic_engagement,directive_expression,epistemic_caution_language,boundary_refusal_expression,organizational_style,verbosity
agieval,general_reasoning,baseline,deepseek-v4-pro,-0.06486823051888066,-0.1281846931016694,-0.06825830423495392,0.06271059371027285,0.06312869199324724,-0.5555289132739195,-0.9976718296163896
agieval,general_reasoning,baseline,doubao-seed-2.0-pro,0.08283023991744999,0.06971516323940867,-0.040213653849607865,0.015435254853803738,-0.010188847496160157,0.47544617643072257,0.6045266685063546
agieval,general_reasoning,baseline,glm-5.2,0.16275196730510924,0.16708350788104462,0.09063433527898046,0.06398762699278968,0.024575239073703348,-0.23999213036037326,0.20473461924045516
agieval,general_reasoning,baseline,minimax-m2.7,-0.07642044719996041,-0.1201698869594937,0.035082869564130294,-0.20254974767607448,-0.031077806324620427,-0.011397413264648252,-0.7427776651915519
agieval,general_reasoning,baseline,minimax-m3,-0.10373268996758692,-0.09000069046374061,0.020724229415993205,0.05310421452362813,0.011557070213262763,0.193915419065697,-0.006017089139374045
agieval,general_reasoning,baseline,qwen3.5-4b,-0.0005608395361311898,0.10155659940445046,-0.03796947617454216,0.007312057595580082,-0.057994347459432764,0.13755686140252155,0.9372052962005056
eduguard_adversarial,safety_assistance,baseline,deepseek-v4-pro,0.18991694219412253,0.16868739063452046,0.014058338210169863,-0.06381524010407556,-0.17597763018188262,-0.1754255391690476,0.5961111462293938
eduguard_adversarial,safety_assistance,baseline,doubao-seed-2.0-pro,0.02511497047374888,-0.014281817183576554,0.06279627518091602,-0.1609631059506387,-0.24099674126478351,0.023640030187173033,0.8825274645938718
eduguard_adversarial,safety_assistance,baseline,glm-5.2,0.009375976323346236,-0.03050140638449762,0.10332173986192439,0.07853080165225912,0.0699037612595092,-0.14594956217447627,-0.06955132672087877
eduguard_adversarial,safety_assistance,baseline,minimax-m2.7,-0.2665809904902901,-0.24155680412185285,-0.1551550088567592,0.0376672029451525,0.5122935043134637,-0.12535265471764018,-1.4729594276374716
eduguard_adversarial,safety_assistance,baseline,minimax-m3,-0.09903098336988161,-0.026670975164411304,-0.017303822853402043,-0.013658559550698687,-0.10380074440938732,0.32680907272254317,-0.09398018126387594
eduguard_adversarial,safety_assistance,baseline,qwen3.5-4b,0.1412040848689541,0.14432361221981782,-0.00771752154284903,0.12223890100800137,-0.061422149716919484,0.09627865315144786,0.15785232479896055
ifeval,instruction_following,baseline,deepseek-v4-pro,0.0112221102122016,0.003753796984838099,-0.03917298607722259,0.017697166183778115,-0.01952965049920111,-0.08456655866145858,-0.20781691741774028
ifeval,instruction_following,baseline,doubao-seed-2.0-pro,-0.055278941180782325,-0.043420973858633805,-0.030439321611666296,-0.04910813154070824,-0.07222491329701498,-0.02176062563312786,1.0521732142795157
ifeval,instruction_following,baseline,glm-5.2,0.054901324658032775,0.08549613241917826,-0.020520521799572592,0.037072724823220715,0.010824256269901023,-0.009562177199379683,-0.11964477738186859
ifeval,instruction_following,baseline,minimax-m2.7,-0.04911670387924078,-0.07435315813289568,1.6072433321611308e-05,-0.022005132718603652,0.04138972526705883,0.03218552936595177,-0.13660091637269073
ifeval,instruction_following,baseline,minimax-m3,0.010049586529398389,0.010171980073609586,-0.00014889513417410544,0.024232562190050023,0.044294970653176,0.11026761038535739,0.22797006013014243
ifeval,instruction_following,baseline,qwen3.5-4b,0.028222623660390328,0.018352222513903508,0.090265652189314,-0.007889188937736961,-0.00475438839391977,-0.026563778257343,-0.8160806632373587
longtutor_teaching,default_tutoring,default_tutoring,deepseek-v4-pro,0.17540669019397115,0.06279463776426207,-0.12521727057738624,0.24792960293639268,0.09073199340947079,-0.468715584532107,-0.04704693672992498
longtutor_teaching,default_tutoring,default_tutoring,doubao-seed-2.0-pro,0.8049535310683028,0.835272939755571,0.04684057272175335,-0.17085649688455412,-0.03694431209500922,-0.11067286141157966,-0.6910445907106786
longtutor_teaching,default_tutoring,default_tutoring,glm-5.2,-0.05342875827600767,0.11196897195002638,-0.07620365757742877,-0.04748023872217365,0.025696794940161777,-0.052858980648839836,-0.5417581678487325
longtutor_teaching,default_tutoring,default_tutoring,minimax-m2.7,-0.41030081581551153,-0.6807996871462191,0.10114372426659875,-0.047703311679144766,-0.10749002285032809,0.270240567233871,0.5300772054937477
longtutor_teaching,default_tutoring,default_tutoring,minimax-m3,-0.2886292353660131,-0.10752927769048286,-0.07698857931560477,0.025494337142512532,0.010919955670149287,0.38705352825295153,0.31675269074087103
longtutor_teaching,default_tutoring,default_tutoring,qwen3.5-4b,-0.2280014118047416,-0.22170758463315757,0.13042521048206765,-0.0073838927930326564,0.017085590925555453,-0.02504666889429613,0.43301979905471777
mathtutorbench_mistake_correction,educational_assessment,baseline,deepseek-v4-pro,-0.32833707368041576,-0.32577285199618855,-0.0373508017675255,-0.06449753947421699,-0.01893288132953842,-0.34137239484900145,-0.545551773379777
mathtutorbench_mistake_correction,educational_assessment,baseline,doubao-seed-2.0-pro,0.48303860572677976,0.47121574332738053,-0.154490739485871,0.12311958781965747,-0.013819417029988559,-0.09273535352782965,0.9522276953615922
mathtutorbench_mistake_correction,educational_assessment,baseline,glm-5.2,0.4546968019961989,0.43901488883862855,0.21626861083467105,-0.008258864864345117,-0.014951718916765397,-0.27958172980833773,-0.19185648107606249
mathtutorbench_mistake_correction,educational_assessment,baseline,minimax-m2.7,-0.6429624684981802,-0.4975175258841186,-0.14399958602228924,-0.17019207736995542,-0.01376849519703179,0.3883461593373643,-0.8799129875634815
mathtutorbench_mistake_correction,educational_assessment,baseline,minimax-m3,-0.23301132879811093,-0.2581398357048817,0.07415440783508984,0.004463410277830799,0.017950402335712465,0.3959923360677274,-0.12171092317303757
mathtutorbench_mistake_correction,educational_assessment,baseline,qwen3.5-4b,0.2665754632537281,0.17119958141917965,0.04541810860592482,0.11536548361102927,0.04352211013761168,-0.0706490172199229,0.7868044698307665
mathtutorbench_pedagogy,prompted_tutoring,pedagogy_prompt,deepseek-v4-pro,-0.0005419489276639079,0.2644515041092536,-0.1616157790223807,0.06695429428701766,-0.013145734899275952,-0.00439586982263858,-0.67088670681433
mathtutorbench_pedagogy,prompted_tutoring,pedagogy_prompt,doubao-seed-2.0-pro,0.03822783702249651,-0.09553792257075004,0.08794164065975879,-0.08133917131749885,0.021839363632826212,-0.00439586982263858,0.2370577528116512
mathtutorbench_pedagogy,prompted_tutoring,pedagogy_prompt,glm-5.2,-0.02345439439627901,-0.03144272159153768,0.06632131010879194,-0.0004969377795825958,0.01773280839249461,-0.00439586982263858,0.2155952816059068
mathtutorbench_pedagogy,prompted_tutoring,pedagogy_prompt,minimax-m2.7,-0.01479614559049446,-0.1005856216840092,-0.12034394775146456,0.07941835712293091,-0.012407006135479473,-0.00439586982263858,-0.20571135979937216
mathtutorbench_pedagogy,prompted_tutoring,pedagogy_prompt,minimax-m3,0.042019033724011674,-0.07250495723643728,0.05504979024232697,-0.05351015542174899,-0.020533022537240708,-0.00439586982263858,0.3819546321146727
mathtutorbench_pedagogy,prompted_tutoring,pedagogy_prompt,qwen3.5-4b,-0.04145438183207082,0.035619718973480596,0.07264698576296759,-0.011026386891118137,0.006513591546675321,0.021979349113192898,0.0419904000814716
mathtutorbench_pedagogy_hard,prompted_tutoring,pedagogy_prompt,deepseek-v4-pro,-0.05387539197016879,0.18809596628178374,-0.14014761763713915,0.03572263980723387,-0.0013593187814428611,-0.008243656113824967,-0.5668689036287102
mathtutorbench_pedagogy_hard,prompted_tutoring,pedagogy_prompt,doubao-seed-2.0-pro,0.06679091343607255,-0.0348449964050059,0.08674422127560628,-0.0988328145404208,-0.01571424418645102,-0.008243656113824967,0.31073686805704387
mathtutorbench_pedagogy_hard,prompted_tutoring,pedagogy_prompt,glm-5.2,-0.012228373957197083,-0.0023257864207005727,0.016140426823222774,-0.0020424774221400877,0.03850158540306094,-0.008243656113824967,0.012542237050534292
mathtutorbench_pedagogy_hard,prompted_tutoring,pedagogy_prompt,minimax-m2.7,-0.021830669328487373,-0.13027780973783828,-0.1443076862893235,0.08389036943025796,-0.03066729148333452,-0.008243656113824967,-0.16059273173898186
mathtutorbench_pedagogy_hard,prompted_tutoring,pedagogy_prompt,minimax-m3,0.005962206564291512,-0.03733419065462578,0.030821618407541468,0.005237020273311022,0.039906560531501996,-0.008243656113824967,0.25545202574372033
mathtutorbench_pedagogy_hard,prompted_tutoring,pedagogy_prompt,qwen3.5-4b,0.015181315255489181,0.016686816936386777,0.1507490374200921,-0.02397473754824195,-0.03066729148333452,0.041218280569124834,0.14873050451639303
