benchmark,model,n,mean_difference_m3_minus_deepseek,bootstrap_ci_low,bootstrap_ci_high
mathtutorbench_pedagogy,deepseek-v4-pro,1150,-0.029130434782608697,-0.043478260869565216,-0.014347826086956521
mathtutorbench_pedagogy,doubao-seed-2.0-pro,1150,-0.03826086956521739,-0.05391304347826087,-0.022608695652173914
mathtutorbench_pedagogy,glm-5.2,1150,-0.029565217391304348,-0.043043478260869565,-0.01565217391304348
mathtutorbench_pedagogy,minimax-m2.7,1150,-0.04652173913043478,-0.06347826086956522,-0.029130434782608697
mathtutorbench_pedagogy,minimax-m3,1150,-0.01565217391304348,-0.03,-0.0008695652173913044
mathtutorbench_pedagogy_hard,deepseek-v4-pro,327,-0.0030581039755351682,-0.03058103975535168,0.02599388379204893
mathtutorbench_pedagogy_hard,doubao-seed-2.0-pro,327,-0.021406727828746176,-0.053516819571865444,0.012232415902140673
mathtutorbench_pedagogy_hard,glm-5.2,327,-0.022935779816513763,-0.0581039755351682,0.012232415902140673
mathtutorbench_pedagogy_hard,minimax-m2.7,327,-0.02599388379204893,-0.06422018348623854,0.012270642201835002
mathtutorbench_pedagogy_hard,minimax-m3,327,-0.0030581039755351682,-0.03669724770642202,0.03211009174311927
mathtutorbench_scaffolding,deepseek-v4-pro,1150,-0.02608695652173913,-0.04521739130434783,-0.006956521739130435
mathtutorbench_scaffolding,doubao-seed-2.0-pro,1150,-0.00391304347826087,-0.021304347826086957,0.013478260869565217
mathtutorbench_scaffolding,glm-5.2,1150,-0.02434782608695652,-0.042608695652173914,-0.00608695652173913
mathtutorbench_scaffolding,minimax-m2.7,1150,-0.0052173913043478265,-0.019130434782608695,0.00826086956521739
mathtutorbench_scaffolding,minimax-m3,1150,-0.006956521739130435,-0.022608695652173914,0.009130434782608696
mathtutorbench_scaffolding_hard,deepseek-v4-pro,327,-0.0290519877675841,-0.06422018348623854,0.0061162079510703364
mathtutorbench_scaffolding_hard,doubao-seed-2.0-pro,327,-0.027522935779816515,-0.06269113149847094,0.0061162079510703364
mathtutorbench_scaffolding_hard,glm-5.2,327,-0.03211009174311927,-0.06880733944954129,0.0045871559633027525
mathtutorbench_scaffolding_hard,minimax-m2.7,327,0.0061162079510703364,-0.019877675840978593,0.032148318042813595
mathtutorbench_scaffolding_hard,minimax-m3,327,-0.016819571865443424,-0.05045871559633028,0.013761467889908258
