judge,family,model,n_pairs,scaffolding_mean,pedagogy_mean,mean_delta,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p
deepseek-v4-flash,hard,deepseek-v4-pro,327,0.4418960244648318,0.8562691131498471,0.41437308868501527,0.36085626911314983,0.4709480122324159,9.387250680157491e-29
deepseek-v4-flash,hard,doubao-seed-2.0-pro,327,0.37003058103975534,0.8853211009174312,0.5152905198776758,0.463302752293578,0.5688455657492356,1.4616045748632095e-36
deepseek-v4-flash,hard,glm-5.2,327,0.5932721712538226,0.8577981651376146,0.26452599388379205,0.21406727828746178,0.3149847094801223,2.1931876999354448e-18
deepseek-v4-flash,hard,minimax-m2.7,327,0.12385321100917432,0.6880733944954128,0.5642201834862385,0.5107033639143731,0.6162461773700307,6.996010521081696e-39
deepseek-v4-flash,hard,minimax-m3,327,0.2415902140672783,0.790519877675841,0.5489296636085627,0.4938837920489297,0.6055045871559633,6.134019085175707e-38
deepseek-v4-flash,standard,deepseek-v4-pro,1150,0.5265217391304348,0.8686956521739131,0.3421739130434783,0.3134782608695652,0.3704456521739131,4.41409954587836e-77
deepseek-v4-flash,standard,doubao-seed-2.0-pro,1150,0.35347826086956524,0.9052173913043479,0.5517391304347826,0.5230326086956523,0.5791304347826087,2.3697050913385608e-132
deepseek-v4-flash,standard,glm-5.2,1150,0.6191304347826087,0.8878260869565218,0.26869565217391306,0.24217391304347827,0.2952173913043478,1.1358550957360432e-60
deepseek-v4-flash,standard,minimax-m2.7,1150,0.14782608695652175,0.7913043478260869,0.6434782608695652,0.6182608695652174,0.67,7.564040117677834e-155
deepseek-v4-flash,standard,minimax-m3,1150,0.2782608695652174,0.8473913043478261,0.5691304347826087,0.5412934782608696,0.5973913043478261,3.936139768109007e-136
minimax-m3,hard,deepseek-v4-pro,327,0.41284403669724773,0.8532110091743119,0.44036697247706424,0.38837920489296635,0.4938837920489297,2.18286012498705e-31
minimax-m3,hard,doubao-seed-2.0-pro,327,0.3425076452599388,0.863914373088685,0.5214067278287462,0.46636085626911317,0.573394495412844,4.652138187183011e-36
minimax-m3,hard,glm-5.2,327,0.5611620795107034,0.8348623853211009,0.27370030581039756,0.22018348623853212,0.3256880733944954,2.7671788304762228e-18
minimax-m3,hard,minimax-m2.7,327,0.12996941896024464,0.6620795107033639,0.5321100917431193,0.481651376146789,0.5856269113149847,1.2479610743137612e-38
minimax-m3,hard,minimax-m3,327,0.22477064220183487,0.7874617737003058,0.5626911314984709,0.5091743119266054,0.6162461773700307,3.0090762411198696e-38
minimax-m3,hard,qwen3.5-4b,327,0.21865443425076453,0.6284403669724771,0.40978593272171254,0.3577981651376147,0.45871559633027525,1.9529083329945795e-29
minimax-m3,standard,deepseek-v4-pro,1150,0.5004347826086957,0.8395652173913043,0.3391304347826087,0.3091304347826087,0.3691304347826087,1.4261986314519828e-72
minimax-m3,standard,doubao-seed-2.0-pro,1150,0.34956521739130436,0.8669565217391304,0.5173913043478261,0.4891304347826087,0.5460869565217391,1.0043954815509846e-123
minimax-m3,standard,glm-5.2,1150,0.5947826086956521,0.8582608695652174,0.2634782608695652,0.23652173913043478,0.29043478260869565,7.848719056970045e-57
minimax-m3,standard,minimax-m2.7,1150,0.1426086956521739,0.7447826086956522,0.6021739130434782,0.5743478260869566,0.63,9.002722708490436e-144
minimax-m3,standard,minimax-m3,1150,0.271304347826087,0.8317391304347826,0.5604347826086956,0.5330434782608696,0.5878260869565217,1.0551439276673219e-131
minimax-m3,standard,qwen3.5-4b,1150,0.24217391304347827,0.7395652173913043,0.4973913043478261,0.4708695652173913,0.5234782608695652,1.827510068828479e-122
