benchmark,model,main_rows,swap_rows,main_unique_items,swap_unique_items,common_items,response_mismatches,only_main,only_swap,byte_identical_files
mathtutorbench_scaffolding,minimax-m3,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_scaffolding,minimax-m2.7,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_scaffolding,glm-5.2,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_scaffolding,deepseek-v4-pro,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_scaffolding,doubao-seed-2.0-pro,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_pedagogy,minimax-m3,1151,1150,1150,1150,1150,0,0,0,False
mathtutorbench_pedagogy,minimax-m2.7,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_pedagogy,glm-5.2,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_pedagogy,deepseek-v4-pro,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_pedagogy,doubao-seed-2.0-pro,1150,1150,1150,1150,1150,0,0,0,True
mathtutorbench_scaffolding_hard,minimax-m3,327,327,327,327,327,0,0,0,True
mathtutorbench_scaffolding_hard,minimax-m2.7,327,327,327,327,327,0,0,0,True
mathtutorbench_scaffolding_hard,glm-5.2,379,327,327,327,327,0,0,0,False
mathtutorbench_scaffolding_hard,deepseek-v4-pro,327,327,327,327,327,0,0,0,True
mathtutorbench_scaffolding_hard,doubao-seed-2.0-pro,327,327,327,327,327,0,0,0,True
mathtutorbench_pedagogy_hard,minimax-m3,327,327,327,327,327,0,0,0,True
mathtutorbench_pedagogy_hard,minimax-m2.7,327,327,327,327,327,0,0,0,True
mathtutorbench_pedagogy_hard,glm-5.2,327,327,327,327,327,0,0,0,True
mathtutorbench_pedagogy_hard,deepseek-v4-pro,327,327,327,327,327,0,0,0,True
mathtutorbench_pedagogy_hard,doubao-seed-2.0-pro,327,327,327,327,327,0,0,0,True
